OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotPerformedCycles,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
86.00,PACIFIC REPRODUCTIVE CENTER,,TORRANCE,CALIFORNIA,0.99,0.99,0.02,0.01,0.11,0.17,0.17,0.19,0.11,0.04,0.48,0.15,0.02,0.09,0.21,301.00,8.00,"Rifaat Salem, MD, PhD",116.00,50.00,49.00,25.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.20,2.80,2.60,2.00,2.50,37.10,32.10,19.70,17.70,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,37.90,32.00,20.40,16.00,0.00,0.00,0.90,0.00,2.00,0.00,0.00,0.00,52.60,42.00,32.70,20.00,0.00,0.00,58.60,56.00,38.80,32.00,0.00,0.00,115.00,50.00,49.00,24.00,5.00,2.00,38.30,32.00,20.40,16.70,0.00,0.00,0.90,0.00,2.00,0.00,0.00,0.00,53.00,42.00,32.70,20.80,0.00,0.00,59.10,56.00,38.80,33.30,0.00,0.00,68.00,28.00,19.00,8.00,0.00,0.00,64.70,57.10,0.53,0.50,=,=,1.50,0.00,0.05,0.00,=,=,89.70,75.00,0.84,0.63,=,=,12.00,11.00,4.00,3.00,0.00,1.00,12.00,11.00,4.00,3.00,0.00,1.00,2.00,2.80,2.00,=,0.00,=,2.30,2.40,2.80,3.00,=,2.00,21.40,23.10,0.00,0.11,=,1.00,0.33,0.18,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,0.00,0.42,0.36,0.00,0.00,=,1.00,0.42,0.36,0.00,0.33,=,1.00,14.00,1.00,14.00,1.00,2.10,1.00,37.90,0.00,0.14,0.00,0.43,0.00,0.50,0.00,Pacific Reproductive Center,Yes,No,Yes,Yes,Yes,Yes,Yes,0.00,CA
87.00,UNIVERSITY FERTILITY CENTER,,TORRANCE,CALIFORNIA,1.00,0.63,0.00,0.02,0.06,0.24,0.07,0.07,0.03,0.01,0.24,0.13,0.24,0.01,0.02,216.00,0.00,"Omid A. Khorram, MD, PhD",63.00,31.00,34.00,13.00,4.00,0.00,3.20,9.70,5.90,0.08,0.00,=,2.40,2.40,2.80,3.60,1.80,=,28.50,32.30,14.90,11.60,0.00,=,0.00,3.70,0.00,0.00,0.00,=,20.60,29.00,17.60,0.23,0.00,=,0.00,0.00,0.00,0.00,0.00,=,31.70,45.20,20.60,0.23,0.00,=,47.60,51.60,35.30,0.38,0.00,=,60.00,27.00,31.00,12.00,4.00,0.00,21.70,33.30,19.40,0.25,0.00,=,0.00,0.00,0.00,0.00,0.00,=,33.30,51.90,22.60,0.25,0.00,=,50.00,59.30,38.70,0.42,0.00,=,30.00,16.00,12.00,5.00,0.00,0.00,43.30,0.56,0.50,0.60,=,=,0.00,0.00,0.00,0.00,=,=,66.70,0.88,0.58,0.60,=,=,23.00,11.00,13.00,3.00,2.00,0.00,22.00,11.00,13.00,3.00,2.00,0.00,1.50,5.50,1.30,=,2.00,=,3.00,3.00,3.30,3.70,2.50,=,31.70,15.20,20.00,0.18,0.20,=,18.20,0.00,0.08,0.33,0.50,=,4.50,0.00,0.00,0.00,0.00,=,50.00,0.18,0.23,0.33,0.50,=,50.00,0.27,0.38,0.67,0.50,=,12.00,7.00,11.00,7.00,2.20,3.00,29.20,38.10,0.18,0.29,0.36,0.43,0.45,0.57,University Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,0.00,CA
88.00,ADVANCED REPRODUCTIVE MEDICINE,UNIVERSITY OF COLORADO,AURORA,COLORADO,1.00,0.57,0.00,0.01,0.01,0.11,0.12,0.39,0.03,0.04,0.40,0.10,0.05,0.06,0.16,149.00,18.00,"Ruben J. Alvero, MD",37.00,28.00,8.00,1.00,0.00,2.00,8.10,17.90,0.13,0.00,=,0.00,1.90,2.30,2.60,4.00,=,3.50,37.10,22.60,0.06,0.00,=,0.00,15.20,9.10,0.00,0.00,=,0.00,18.90,28.60,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,0.00,40.50,28.60,0.00,0.00,=,0.00,45.90,32.10,0.25,0.00,=,0.00,33.00,23.00,7.00,1.00,0.00,2.00,21.20,34.80,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,0.00,45.50,34.80,0.00,0.00,=,0.00,51.50,39.10,0.29,0.00,=,0.00,17.00,9.00,2.00,0.00,0.00,0.00,0.41,0.89,0.00,=,=,=,0.00,0.00,0.00,=,=,=,0.88,0.89,0.00,=,=,=,20.00,6.00,5.00,0.00,1.00,0.00,20.00,6.00,5.00,0.00,1.00,0.00,1.20,0.70,0.80,=,=,0.00,1.60,1.80,2.00,=,2.00,=,22.60,0.18,0.10,=,0.00,=,25.00,0.00,0.20,=,0.00,=,0.00,0.00,0.00,=,0.00,=,30.00,0.17,0.20,=,0.00,=,35.00,0.33,0.20,=,0.00,=,15.00,8.00,15.00,8.00,1.90,1.90,51.70,0.53,0.40,0.38,0.60,0.63,0.73,0.75,"Advanced Reproductive Medicine, University of Colorado",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,CO
89.00,REPRODUCTIVE MEDICINE & FERTILITY CENTER,,COLORADO SPRINGS,COLORADO,1.00,0.92,0.00,0.02,0.06,0.19,0.12,0.19,0.01,0.02,0.76,0.11,0.02,0.01,0.38,137.00,8.00,"Paul C. Magarelli, MD, PhD",41.00,22.00,17.00,1.00,1.00,0.00,4.90,9.10,0.18,0.00,0.00,=,2.50,2.70,2.80,2.00,4.00,=,37.70,23.50,16.10,0.50,0.00,=,0.00,0.00,0.00,0.00,0.00,=,24.40,13.60,0.18,1.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,43.90,22.70,0.18,1.00,0.00,=,43.90,40.90,0.29,1.00,0.00,=,28.00,19.00,11.00,1.00,1.00,0.00,35.70,0.16,0.27,1.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,64.30,0.26,0.27,1.00,0.00,=,64.30,0.47,0.45,1.00,0.00,=,18.00,9.00,5.00,1.00,0.00,0.00,0.56,0.33,0.60,1.00,=,=,0.00,0.00,0.00,0.00,=,=,1.00,0.56,0.60,1.00,=,=,20.00,3.00,1.00,0.00,0.00,0.00,18.00,2.00,1.00,0.00,0.00,0.00,1.60,0.50,0.50,0.00,=,=,2.30,1.50,3.00,=,=,=,26.80,0.00,0.00,=,=,=,0.17,0.00,0.00,=,=,=,0.06,0.00,0.00,=,=,=,0.33,0.00,0.00,=,=,=,0.50,0.50,0.00,=,=,=,12.00,11.00,9.00,11.00,2.30,2.20,23.80,16.70,0.56,0.09,0.56,0.18,0.67,0.36,Reproductive Medicine & Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,0.00,CO
90.00,"ERIC H. SILVERSTEIN, MD, PROFESSIONAL LLC DBA",THE FERTILITY CENTER OF COLORADO,COLORADO SPRINGS,COLORADO,1.00,0.81,0.00,0.00,0.03,0.20,0.27,0.41,0.09,0.04,0.31,0.10,0.01,0.19,0.20,70.00,0.00,"Eric H. Silverstein, MD",18.00,5.00,9.00,5.00,0.00,0.00,0.11,0.00,0.00,0.00,=,=,1.50,2.00,1.80,2.50,=,=,38.10,0.30,0.14,0.20,=,=,0.42,0.20,0.14,0.00,=,=,0.33,0.20,0.00,0.40,=,=,0.00,0.00,0.00,0.00,=,=,0.39,0.40,0.00,0.40,=,=,0.39,0.40,0.11,0.40,=,=,14.00,5.00,8.00,4.00,0.00,0.00,0.43,0.20,0.00,0.50,=,=,0.00,0.00,0.00,0.00,=,=,0.50,0.40,0.00,0.50,=,=,0.50,0.40,0.13,0.50,=,=,7.00,2.00,1.00,2.00,0.00,0.00,0.86,0.50,0.00,1.00,=,=,0.00,0.00,0.00,0.00,=,=,1.00,1.00,0.00,1.00,=,=,9.00,3.00,6.00,0.00,0.00,0.00,9.00,3.00,6.00,0.00,0.00,0.00,3.00,1.50,1.20,=,=,=,1.70,2.30,2.00,=,=,=,0.20,0.14,0.00,=,=,=,0.22,0.33,0.00,=,=,=,0.00,0.00,0.00,=,=,=,0.22,0.33,0.00,=,=,=,0.33,0.33,0.17,=,=,=,6.00,9.00,5.00,9.00,1.40,1.80,0.57,0.25,0.40,0.33,0.60,0.33,0.60,0.56,"Eric H. Silverstein, MD, Professional LLC dba, The Fertility Center of Colorado",Yes,No,Yes,No,Yes,Yes,Yes,0.00,CO
91.00,COLORADO REPRODUCTIVE ENDOCRINOLOGY,,DENVER,COLORADO,1.00,0.28,0.00,0.00,0.02,0.10,0.16,0.34,0.06,0.07,0.11,0.04,0.26,0.08,0.05,108.00,0.00,"Susan W. Trout, MD",21.00,15.00,8.00,9.00,0.00,0.00,0.00,0.07,0.50,0.22,=,=,1.90,2.10,2.50,2.80,=,=,14.30,11.10,0.00,0.06,=,=,0.06,0.10,0.00,0.00,=,=,19.00,0.13,0.00,0.00,=,=,0.00,0.00,0.00,0.00,=,=,19.00,0.13,0.00,0.00,=,=,23.80,0.40,0.00,0.11,=,=,18.00,13.00,4.00,6.00,0.00,0.00,0.22,0.15,0.00,0.00,=,=,0.00,0.00,0.00,0.00,=,=,0.22,0.15,0.00,0.00,=,=,0.28,0.46,0.00,0.17,=,=,5.00,6.00,0.00,1.00,0.00,0.00,0.80,0.33,=,0.00,=,=,0.00,0.00,=,0.00,=,=,0.80,0.33,=,0.00,=,=,19.00,7.00,5.00,2.00,0.00,1.00,15.00,7.00,5.00,1.00,0.00,0.00,2.10,1.80,1.30,=,=,=,2.00,2.30,2.40,2.00,=,=,26.70,0.19,0.33,0.00,=,=,0.13,0.43,0.40,0.00,=,=,0.00,0.00,0.00,0.00,=,=,0.33,0.43,0.60,0.00,=,=,0.47,0.43,0.60,0.00,=,=,8.00,13.00,6.00,9.00,1.80,1.90,0.27,0.29,0.17,0.11,0.17,0.33,0.50,0.33,Colorado Reproductive Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,CO
92.00,ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,,FORT COLLINS,COLORADO,1.00,1.00,0.00,0.00,0.00,0.27,0.15,0.25,0.08,0.00,0.37,0.00,0.12,0.12,0.12,52.00,0.00,"Kevin E. Bachus, MD",18.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,=,=,=,2.10,2.80,3.00,=,=,=,31.60,0.18,0.33,=,=,=,0.00,0.00,0.00,=,=,=,0.28,0.50,1.00,=,=,=,0.00,0.00,0.00,=,=,=,0.44,0.50,1.00,=,=,=,0.56,0.50,1.00,=,=,=,18.00,4.00,1.00,0.00,0.00,0.00,0.28,0.50,1.00,=,=,=,0.00,0.00,0.00,=,=,=,0.44,0.50,1.00,=,=,=,0.56,0.50,1.00,=,=,=,10.00,2.00,1.00,0.00,0.00,0.00,0.50,1.00,1.00,=,=,=,0.00,0.00,0.00,=,=,=,0.80,1.00,1.00,=,=,=,9.00,4.00,1.00,0.00,1.00,0.00,9.00,4.00,1.00,0.00,1.00,0.00,1.00,4.00,=,=,=,=,2.40,2.80,2.00,=,1.00,=,18.20,0.18,0.00,=,1.00,=,0.44,0.50,0.00,=,0.00,=,0.00,0.00,0.00,=,0.00,=,0.44,0.50,0.00,=,0.00,=,0.56,0.50,0.00,=,1.00,=,6.00,8.00,6.00,8.00,2.50,2.50,0.53,20.00,0.33,0.00,0.67,0.00,1.00,0.25,Rocky Mountain Center for Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes,0.00,CO
93.00,CONCEPTIONS REPRODUCTIVE ASSOCIATES,,LITTLETON,COLORADO,1.00,0.96,0.00,0.01,0.01,0.09,0.11,0.58,0.03,0.02,0.53,0.09,0.05,0.06,0.38,597.00,199.00,"Mark R. Bush, MD",90.00,25.00,11.00,4.00,2.00,0.00,1.10,4.00,0.00,0.00,0.00,=,1.60,1.80,1.60,1.80,2.00,=,58.60,56.30,0.33,0.14,0.00,=,32.40,0.13,0.30,0.00,0.00,=,35.60,36.00,0.45,0.25,0.00,=,0.00,0.00,0.00,0.00,0.00,=,57.80,44.00,0.45,0.25,0.00,=,61.10,52.00,0.55,0.25,0.00,=,80.00,18.00,11.00,4.00,2.00,0.00,40.00,0.50,0.45,0.25,0.00,=,0.00,0.00,0.00,0.00,0.00,=,65.00,0.61,0.45,0.25,0.00,=,68.80,0.72,0.55,0.25,0.00,=,55.00,13.00,6.00,1.00,0.00,0.00,58.20,0.69,0.83,1.00,=,=,0.00,0.00,0.00,0.00,=,=,94.50,0.85,0.83,1.00,=,=,72.00,46.00,35.00,5.00,5.00,1.00,72.00,46.00,35.00,5.00,5.00,1.00,0.90,1.00,0.70,0.20,0.40,1.00,1.60,1.50,1.40,1.80,1.60,2.00,70.50,64.70,54.00,0.67,0.38,0.00,50.00,41.30,54.30,0.20,0.60,0.00,1.40,2.20,0.00,0.00,0.00,0.00,76.40,63.00,60.00,0.60,0.60,0.00,80.60,67.40,77.10,0.60,0.60,0.00,52.00,50.00,45.00,50.00,1.80,1.40,69.60,56.90,20.00,52.00,66.70,62.00,75.60,70.00,Conceptions Reproductive Associates,Yes,No,Yes,Yes,Yes,Yes,Yes,0.00,CO
94.00,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,,LONE TREE,COLORADO,1.00,0.91,0.00,0.02,0.00,0.05,0.11,0.56,0.10,0.11,0.25,0.30,0.11,0.29,0.16,3015.00,1523.00,"William B. Schoolcraft, MD",136.00,61.00,51.00,6.00,17.00,0.00,2.20,1.60,5.90,0.00,0.06,=,1.80,2.00,2.30,2.40,3.10,=,52.70,38.70,26.10,0.08,2.00,=,19.50,8.50,2.30,0.00,0.00,=,39.00,27.90,29.40,0.17,0.06,=,0.00,0.00,0.00,0.00,0.00,=,60.30,45.90,39.20,0.17,0.06,=,69.90,57.40,41.20,0.17,0.06,=,133.00,60.00,48.00,5.00,16.00,0.00,39.80,28.30,31.30,0.20,0.06,=,0.00,0.00,0.00,0.00,0.00,=,61.70,46.70,41.70,0.20,0.06,=,71.40,58.30,43.80,0.20,0.06,=,95.00,35.00,21.00,1.00,1.00,0.00,55.80,48.60,71.40,1.00,1.00,=,0.00,0.00,0.00,0.00,0.00,=,86.30,80.00,95.20,1.00,1.00,=,303.00,233.00,253.00,114.00,64.00,15.00,303.00,233.00,251.00,114.00,62.00,12.00,0.80,0.80,0.60,0.40,0.40,0.30,1.70,1.70,1.70,1.50,1.90,1.60,63.60,59.60,50.70,45.70,37.40,0.44,43.20,41.20,37.50,32.50,29.00,0.33,0.30,0.40,0.40,0.00,0.00,0.00,69.30,62.70,57.00,44.70,41.90,0.50,78.50,73.40,69.30,61.40,53.20,0.50,107.00,132.00,106.00,131.00,1.60,1.80,74.90,55.70,57.50,36.60,83.00,60.30,91.50,74.00,Colorado Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,CO
95.00,"ROCKY MOUNTAIN FERTILITY CENTER, PC",,PARKER,COLORADO,1.00,0.87,0.00,0.00,0.04,0.14,0.18,0.61,0.03,0.03,0.30,0.08,0.03,0.11,0.21,137.00,11.00,"Deborah L. Smith, MD",49.00,22.00,18.00,4.00,3.00,0.00,6.10,4.50,0.11,0.25,0.00,=,2.00,2.20,2.10,2.70,3.30,=,45.70,39.00,19.40,0.25,0.00,=,8.90,0.11,0.08,0.00,0.00,=,44.90,45.50,0.11,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,59.20,50.00,0.22,0.00,0.00,=,63.30,59.10,0.28,0.50,0.00,=,45.00,19.00,15.00,3.00,3.00,0.00,48.90,0.53,0.13,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,64.40,0.58,0.27,0.00,0.00,=,68.90,0.68,0.33,0.67,0.00,=,31.00,13.00,5.00,2.00,0.00,0.00,71.00,0.77,0.40,0.00,=,=,0.00,0.00,0.00,0.00,=,=,93.50,0.85,0.80,0.00,=,=,11.00,2.00,4.00,1.00,0.00,0.00,11.00,2.00,4.00,1.00,0.00,0.00,1.40,0.70,1.30,=,=,=,1.80,2.00,1.50,2.00,=,=,35.00,0.50,0.33,0.00,=,=,0.27,1.00,0.25,0.00,=,=,0.00,0.00,0.00,0.00,=,=,0.45,1.00,0.25,0.00,=,=,0.45,1.00,0.50,0.00,=,=,10.00,2.00,10.00,2.00,1.80,2.50,0.56,0.00,0.60,0.00,0.60,0.00,0.80,0.00,"Rocky Mountain Fertility Center, PC",Yes,No,Yes,Yes,Yes,Yes,Yes,0.00,CO
96.00,CONNECTICUT FERTILITY ASSOCIATES,,BRIDGEPORT,CONNECTICUT,1.00,0.35,0.01,0.12,0.11,0.05,0.02,0.31,0.03,0.15,0.11,0.38,0.10,0.12,0.04,353.00,43.00,"Michael B. Doyle, MD",26.00,13.00,34.00,14.00,5.00,2.00,0.00,0.08,5.90,0.14,0.00,0.50,2.30,2.20,2.70,2.70,2.80,=,33.90,38.50,10.80,12.50,0.00,=,7.70,0.09,0.00,0.00,0.00,=,42.30,0.23,8.80,0.21,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,53.80,0.46,14.70,0.21,0.00,0.00,65.40,0.54,20.60,0.36,0.00,0.00,26.00,12.00,27.00,12.00,4.00,0.00,42.30,0.25,11.10,0.25,0.00,=,3.80,0.00,0.00,0.00,0.00,=,53.80,0.50,18.50,0.25,0.00,=,65.40,0.58,25.90,0.42,0.00,=,17.00,7.00,7.00,5.00,0.00,0.00,0.65,0.43,0.43,0.60,=,=,0.06,0.00,0.00,0.00,=,=,0.82,0.86,0.71,0.60,=,=,19.00,6.00,11.00,1.00,0.00,2.00,19.00,6.00,11.00,1.00,0.00,2.00,1.50,0.50,0.60,0.30,0.00,0.30,2.50,2.00,2.20,2.00,=,2.50,21.30,0.25,16.70,0.50,=,0.20,0.21,0.17,0.18,1.00,=,0.50,0.00,0.00,0.00,0.00,=,0.00,0.32,0.33,0.18,1.00,=,0.50,0.32,0.33,0.45,1.00,=,0.50,93.00,84.00,91.00,84.00,2.00,2.20,50.80,19.80,36.30,22.60,60.40,27.40,72.50,39.30,Connecticut Fertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,CT
97.00,THE CENTER FOR ADVANCED REPRODUCTIVE SERVICES AT THE UNIVERSITY OF CONNECTICUT HEALTH CENTER,,FARMINGTON,CONNECTICUT,1.00,0.76,0.00,0.01,0.05,0.12,0.15,0.07,0.13,0.06,0.37,0.29,0.15,0.12,0.19,1218.00,10.00,"John C. Nulsen, MD",411.00,190.00,180.00,113.00,67.00,9.00,8.30,16.80,26.70,16.80,32.80,0.33,1.80,1.80,2.40,3.20,3.40,4.20,37.30,24.90,27.80,8.70,4.10,0.00,21.00,11.20,3.10,0.00,0.00,0.00,29.40,24.20,17.20,9.70,4.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,38.70,25.80,26.70,12.40,4.50,0.00,44.30,32.10,32.20,20.40,11.90,0.00,350.00,137.00,114.00,75.00,36.00,6.00,34.60,33.60,27.20,14.70,8.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,45.40,35.80,42.10,18.70,8.30,0.00,52.00,44.50,50.90,30.70,22.20,0.00,182.00,61.00,58.00,23.00,8.00,0.00,66.50,75.40,53.40,47.80,0.38,=,1.10,0.00,0.00,0.00,0.00,=,87.40,80.30,82.80,60.90,0.38,=,101.00,45.00,37.00,8.00,4.00,4.00,97.00,40.00,34.00,8.00,4.00,3.00,1.70,3.60,2.10,8.00,1.00,=,1.50,1.60,1.80,2.30,2.30,1.70,39.30,38.10,28.30,0.28,0.33,0.20,36.10,50.00,17.60,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.30,55.00,29.40,0.13,0.50,0.00,55.70,60.00,38.20,0.50,0.50,0.33,18.00,21.00,18.00,20.00,1.80,1.60,54.50,34.40,0.39,25.00,0.67,35.00,0.72,45.00,The Center for Advanced Reproductive Services at the University of Connecticut Health Center,Yes,No,Yes,Yes,Yes,Yes,Yes,0.00,CT
98.00,"GREENWICH FERTILITY AND IVF CENTER, PC",,GREENWICH,CONNECTICUT,1.00,0.31,0.00,0.00,0.04,0.11,0.05,0.39,0.05,0.01,0.29,0.04,0.25,0.06,0.12,212.00,5.00,"Barry R. Witt, MD",48.00,38.00,39.00,22.00,13.00,6.00,8.30,10.50,12.80,4.50,0.31,0.33,1.80,1.90,2.20,2.80,3.00,2.70,34.60,35.00,19.40,10.70,3.70,0.00,20.50,3.30,3.40,0.00,0.00,0.00,29.20,23.70,23.10,22.70,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.70,36.80,25.60,22.70,0.08,0.00,50.00,52.60,33.30,27.30,0.08,0.00,43.00,31.00,33.00,20.00,9.00,3.00,32.60,29.00,27.30,25.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.50,45.20,30.30,25.00,0.11,0.00,55.80,64.50,39.40,30.00,0.11,0.00,24.00,20.00,13.00,6.00,1.00,0.00,58.30,45.00,0.69,0.83,1.00,=,0.00,0.00,0.00,0.00,0.00,=,83.30,70.00,0.77,0.83,1.00,=,14.00,14.00,4.00,5.00,2.00,0.00,11.00,13.00,4.00,3.00,1.00,0.00,5.50,2.20,1.30,0.50,1.00,=,1.90,1.80,1.80,2.30,2.00,=,52.40,25.00,0.57,0.43,0.00,=,0.45,0.31,0.25,0.33,0.00,=,0.00,0.00,0.00,0.00,0.00,=,0.64,0.38,0.50,0.67,0.00,=,0.73,0.38,0.75,0.67,0.00,=,0.00,2.00,0.00,2.00,=,1.00,=,0.00,=,0.00,=,0.00,=,0.00,"Greenwich Fertility and IVF Center, PC",No,No,Yes,No,Yes,Yes,Yes,0.00,CT
