ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
IVF PHOENIX,PHOENIX,ARIZONA,Yes,Yes,No,No,No,66%,21%,13%,28%,0%,25%,0%,0%,7%,31%,7%,30%,21,10,8,38.1,1/10,3/8,28.6,1/10,3/8,(9.2 - 47.9),,,28.6,1/10,3/8,30.0,1/10,3/8,0.0,0/10,0/8,3.8,3.9,5.1,1/8,0/1,1/3,1/6,0/1,0/3,1,1,3,0/1,0/1,0/3,2.0,6.0,5.0,0,0,0,,,,0,0,0,,,,,,
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,ARKANSAS,Yes,No,No,Yes,No,97%,3%,0%,18%,1%,40%,18%,0%,18%,11%,3%,10%,95,39,16,34.7,20.5,1/16,32.6,15.4,1/16,(23.2 - 42.1),(4.1 - 26.7),,36.9,18.8,1/9,38.3,18.8,1/8,11.6,17.9,7/16,3.6,3.2,4.0,27.3,0/8,1/1,29.0,0/6,1/1,30,15,2,13.3,2/15,0/2,3.5,2.7,4.0,0,1,3,,0/1,0/3,0,2,1,,0/2,0/1,,3.3,3.3
INTRAVAGINAL CULTURE FERTILIZATION PROGRAM,LITTLE ROCK,ARKANSAS,Yes,No,No,No,No,100%,0%,0%,0%,0%,61%,0%,0%,26%,4%,0%,9%,14,6,3,5/14,1/6,0/3,4/14,0/6,0/3,,,,4/12,0/5,0/2,4/10,0/4,0/1,2/14,1/6,1/3,2.0,1.3,1.0,1/5,0/1,,1/4,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
CHR-LOS ANGELES,TARZANA,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,34%,0%,25%,4%,1%,18%,28%,8%,16%,66,47,21,53.0,46.8,33.3,45.5,29.8,23.8,(33.4 - 57.5),(16.7 - 42.9),(5.6 - 42.0),46.2,31.8,5/18,47.6,35.0,5/16,1.5,6.4,14.3,4.7,3.9,3.9,57.1,40.9,2/7,56.7,8/14,2/5,0,0,1,,,0/1,,,5.0,1,1,18,0/1,0/1,13/18,0,0,0,,,,4.0,3.0,3.9
SCRIPPS CLINIC FERTILITY CENTER,LA JOLLA,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,60%,2%,11%,34%,0%,13%,38%,4%,0%,16,21,11,4/16,14.3,0/11,4/16,9.5,0/11,,(0.0 - 22.1),,4/16,2/19,0/10,4/14,2/18,0/8,0/16,9.5,1/11,3.9,4.7,3.4,2/4,0/3,,2/4,0/2,,0,1,1,,0/1,0/1,,2.0,3.0,1,1,2,1/1,1/1,1/2,0,0,0,,,,6.0,4.0,6.0
SAN ANTONIO FERTILITY CENTER,UPLAND,CALIFORNIA,Yes,Yes,No,Yes,No,89%,11%,0%,21%,0%,33%,4%,0%,38%,7%,11%,7%,10,7,2,2/10,2/7,0/2,1/10,2/7,0/2,,,,1/8,2/6,0/2,1/8,2/6,0/1,2/10,1/7,0/2,4.0,2.7,5.0,1/2,1/2,,0/1,1/2,,1,5,0,0/1,0/5,,3.0,3.8,,0,1,1,,1/1,0/1,0,0,0,,,,,4.0,4.0
TYLER MEDICAL CLINIC,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,No,Yes,23%,77%,0%,0%,0%,11%,41%,2%,24%,4%,18%,0%,7,10,14,4/7,6/10,3/14,3/7,3/10,2/14,,,,3/7,3/10,2/14,3/7,3/10,2/14,0/7,0/10,0/14,4.9,5.1,4.9,2/4,1/6,1/3,1/3,1/3,1/2,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
REPRODUCTIVE GENETICS IN VITRO,DENVER,COLORADO,Yes,Yes,No,No,No,100%,0%,0%,15%,0%,69%,23%,0%,8%,0%,0%,0%,10,6,4,4/10,1/6,1/4,4/10,1/6,1/4,,,,4/8,1/4,1/3,4/8,1/4,1/2,2/10,2/6,1/4,3.6,3.5,4.0,2/4,0/1,1/1,2/4,0/1,1/1,1,0,0,0/1,,,5.0,,,0,0,0,,,,0,0,0,,,,,,
GREATER VALLEY CENTER FOR REPRODUCTIVE MEDICINE,ENCINO,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,27%,0%,21%,3%,7%,3%,7%,31%,28%,8,5,2,4/8,1/5,1/2,3/8,1/5,1/2,,,,3/7,1/5,1/2,3/7,1/5,1/2,1/8,0/5,0/2,5.3,4.8,4.5,2/4,0/1,0/1,1/3,0/1,0/1,0,1,0,,0/1,,,3.0,,0,0,8,,,4/8,0,0,0,,,,,,5.5
THE FERTILITY INSTITUTES,TARZANA,CALIFORNIA,Yes,Yes,Yes,Yes,No,83%,13%,4%,35%,0%,37%,13%,2%,9%,33%,3%,3%,31,30,8,32.3,23.3,3/8,29.0,23.3,3/8,(13.1 - 45.0),(8.2 - 38.5),,29.0,25.0,3/6,31.0,26.9,3/6,0.0,6.7,2/8,4.4,4.3,4.5,2/10,2/7,1/3,2/9,2/7,1/3,7,1,3,3/7,0/1,0/3,3.7,6.0,4.3,0,0,3,,,1/3,0,0,0,,,,,,4.3
WEST COAST FERTILITY CENTERS,FULLERTON,CALIFORNIA,Yes,Yes,Yes,Yes,No,66%,33%,1%,13%,0%,35%,17%,1%,28%,11%,5%,3%,54,33,13,31.5,27.3,1/13,29.6,24.2,1/13,(17.5 - 41.8),(9.6 - 38.9),,34.8,28.6,1/8,37.2,32.0,1/8,14.8,15.2,5/13,4.9,5.1,3.1,6/17,3/9,0/1,6/16,3/8,0/1,4,9,1,1/4,1/9,0/1,4.3,4.2,1.0,2,2,6,1/2,0/2,3/6,0,0,0,,,,3.0,5.5,4.3
HUNTINGTON REPRODUCTIVE CENTER,PASADENA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,79%,1%,20%,55%,1%,21%,8%,10%,18%,29%,7%,7%,120,115,63,40.8,29.6,20.6,35.8,24.3,14.3,(27.3 - 44.4),(16.5 - 32.2),(5.6 - 22.9),35.8,25.0,14.3,35.8,25.0,15.0,0.0,2.6,0.0,4.3,4.2,3.7,49.0,41.2,3/13,46.5,46.4,2/9,17,11,15,4/17,3/11,2/15,3.1,2.9,2.8,5,16,43,2/5,7/16,48.8,0,1,2,,1/1,1/2,4.4,3.8,4.3
PACIFIC COAST REPRODUCTIVE CENTER,REDONDO BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,32%,1%,32%,8%,3%,10%,36%,7%,4%,88,67,39,40.9,31.3,10.3,34.1,25.4,5.1,(24.2 - 44.0),(15.0 - 35.8),(0.0 - 12.1),35.7,26.6,5.3,36.1,26.6,5.3,4.5,4.5,2.6,5.6,5.2,5.1,27.8,47.6,1/4,26.7,9/17,1/2,13,5,4,0/13,1/5,1/4,4.8,5.0,4.8,2,2,7,0/2,1/2,3/7,0,0,0,,,,4.0,4.0,5.0
SHER-BRODY INSTITUTE FOR REPRODUCTIVE MEDICINE,SAN DIEGO,CALIFORNIA,Yes,Yes,Yes,Yes,No,96%,4%,0%,20%,0%,25%,39%,3%,8%,19%,6%,0%,8,8,9,4/8,3/8,3/9,4/8,3/8,3/9,,,,4/6,3/5,3/5,4/6,3/5,3/5,2/8,3/8,4/9,4.5,5.0,2.6,2/4,2/3,1/3,2/4,2/3,1/3,1,3,1,0/1,0/3,0/1,1.0,2.0,2.0,0,2,2,,1/2,1/2,0,0,0,,,,,4.0,2.5
NOVA IN VITRO FERTILIZATION,PALO ALTO,CALIFORNIA,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,0%,48%,4%,6%,3%,14%,0%,25%,20,43,39,25.0,16.3,10.3,25.0,14.0,10.3,(6.0 - 44.0),(3.6 - 24.3),(0.7 - 19.8),25.0,15.8,13.3,5/17,16.7,13.8,0.0,11.6,23.1,5.5,5.4,5.8,3/5,6/7,3/4,3/5,5/6,1/4,2,1,2,1/2,0/1,0/2,2.0,4.0,3.5,0,2,3,,1/2,1/3,0,0,0,,,,,3.5,4.3
CENTRAL CALIFORNIA  IVF PROGRAM,FRESNO,CALIFORNIA,Yes,Yes,No,Yes,No,40%,57%,3%,0%,0%,27%,41%,0%,5%,8%,5%,14%,28,33,7,39.3,30.3,0/7,32.1,27.3,0/7,(14.8 - 49.4),(12.1 - 42.5),,34.6,28.1,0/6,37.5,30.0,0/6,7.1,3.0,1/7,5.3,4.5,3.2,4/11,1/10,,3/9,1/9,,1,0,0,1/1,,,2.0,,,1,1,0,1/1,1/1,,0,0,0,,,,4.0,4.0,
ASTARTE FERTILITY MEDICAL CENTER,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,No,82%,9%,9%,32%,3%,37%,19%,1%,18%,14%,11%,0%,50,57,19,36.0,33.3,6/19,30.0,29.8,4/19,(17.3 - 42.7),(17.9 - 41.7),,32.6,34.7,4/16,32.6,34.7,4/16,8.0,14.0,3/19,4.4,4.2,4.1,9/18,5/19,2/6,9/15,2/17,2/4,6,2,0,0/6,0/2,,3.5,3.0,,0,2,13,,2/2,4/13,2,0,4,0/2,,0/4,3.0,4.5,4.4
REPRODUCTIVE SPECIALTY MEDICAL CENTER,NEWPORT BEACH,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,25%,11%,22%,0%,22%,11%,34%,0%,2,1,1,1/2,0/1,0/1,1/2,0/1,0/1,,,,1/2,0/1,0/1,1/2,0/1,0/1,0/2,0/1,0/1,4.0,5.0,1.0,1/1,,,1/1,,,0,0,0,,,,,,,1,0,1,0/1,,0/1,0,0,0,,,,3.0,,4.0
"NORTH BAY FERTILITY CENTER, INC.",SANTA ROSA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,34%,0%,15%,5%,11%,37%,20%,4%,8%,42,53,22,35.7,30.2,9.1,33.3,18.9,9.1,(19.1 - 47.6),(8.3 - 29.4),(0.0 - 21.1),35.9,20.0,2/19,36.8,21.3,2/18,7.1,5.7,13.6,5.2,6.6,6.7,8/15,5/16,0/2,8/14,3/10,0/2,5,4,2,1/5,0/4,0/2,6.2,7.8,3.5,6,7,24,1/6,2/7,45.8,1,1,6,0/1,0/1,1/6,5.7,5.3,5.1
NORTHERN CALIFORNIA FERTILITY CENTER,ROSEVILLE,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,24%,0%,42%,6%,2%,18%,12%,20%,0%,39,31,16,20.5,32.3,1/16,15.4,22.6,1/16,(4.1 - 26.7),(7.9 - 37.3),,17.1,23.3,1/12,19.4,24.1,1/11,10.3,3.2,4/16,5.1,5.5,5.6,3/8,5/10,1/1,3/6,5/7,1/1,1,3,2,0/1,1/3,1/2,7.0,5.7,5.5,4,6,16,1/4,1/6,7/16,1,0,1,0/1,,0/1,4.8,4.5,6.1
STANFORD UNIVERSITY MEDICAL CENTER,STANFORD,CALIFORNIA,Yes,Yes,No,No,No,92%,8%,0%,24%,0%,21%,17%,5%,2%,21%,4%,30%,72,122,61,29.2,28.7,13.1,22.2,22.1,6.6,(12.6 - 31.8),(14.8 - 29.5),(0.3 - 12.8),23.9,24.3,7.8,25.0,25.7,10.0,6.9,9.0,16.4,4.8,5.1,4.1,47.6,22.9,1/8,6/16,22.2,0/4,6,1,0,0/6,0/1,,2.8,3.0,,0,0,0,,,,0,0,0,,,,,,
SHARP FERTILITY CENTER,SAN DIEGO,CALIFORNIA,Yes,Yes,No,Yes,No,82%,16%,2%,26%,4%,39%,12%,0%,2%,17%,12%,18%,60,47,41,23.3,25.5,4.9,16.7,21.3,4.9,(7.2 - 26.1),(9.6 - 33.0),(0.0 - 11.5),18.5,23.3,5.9,21.7,25.6,6.5,10.0,8.5,17.1,4.0,4.5,3.8,4/14,3/12,0/2,4/10,3/10,0/2,34,18,6,20.6,5/18,0/6,4.2,3.7,3.8,5,1,6,1/5,0/1,3/6,0,4,6,,1/4,2/6,4.0,4.6,4.6
CENTER FOR ADVANCED REPRODUCTIVE CARE,REDONDO BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,93%,6%,1%,36%,0%,18%,17%,3%,5%,17%,28%,12%,46,103,64,37.0,36.9,26.6,32.6,35.0,12.5,(19.1 - 46.2),(25.7 - 44.2),(4.4 - 20.6),35.7,41.4,15.7,35.7,41.9,16.7,8.7,15.5,20.3,3.9,4.1,4.5,8/17,50.0,3/17,8/15,47.2,2/8,14,19,10,5/14,5/19,3/10,3.8,3.6,3.8,5,4,30,1/5,2/4,50.0,1,2,18,0/1,1/2,3/18,3.3,3.7,3.2
WERLIN-ZARUTSKIE FERTILITY CENTERS,IRVINE,CALIFORNIA,Yes,Yes,Yes,Yes,No,83%,14%,3%,20%,1%,34%,12%,4%,16%,19%,15%,0%,95,96,74,25.3,24.0,9.5,22.1,22.9,6.8,(13.8 - 30.4),(14.5 - 31.3),(1.0 - 12.5),23.1,24.7,8.3,25.3,27.8,11.6,4.2,7.3,18.9,4.3,4.3,4.2,25.0,21.7,2/7,28.6,22.7,2/5,27,26,10,3.7,7.7,1/10,3.6,3.2,3.0,2,5,17,0/2,3/5,5/17,2,0,9,0/2,,2/9,3.8,5.4,4.5
FERTILITY AND REPRODUCTIVE HEALTH INSTITUTE,SAN JOSE,CALIFORNIA,Yes,Yes,No,Yes,No,86%,13%,<1%,19%,0%,27%,33%,4%,10%,13%,10%,3%,65,92,58,33.8,23.9,15.5,29.2,16.3,10.3,(18.2 - 40.3),(8.8 - 23.9),(2.5 - 18.2),30.6,17.0,12.5,31.7,17.0,13.3,4.6,4.3,17.2,4.7,5.1,4.2,36.4,27.3,2/9,7/19,6/15,2/6,9,19,1,3/9,4/19,0/1,3.7,3.8,3.0,0,1,2,,0/1,1/2,0,0,0,,,,,5.0,4.0
IGO MEDICAL GROUP OF SAN DIEGO,SAN DIEGO,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,26%,0%,52%,14%,0%,17%,6%,9%,2%,14,26,10,0/14,26.9,1/10,0/14,23.1,1/10,,(6.9 - 39.3),,0/12,28.6,1/9,0/11,28.6,1/5,2/14,19.2,1/10,3.1,4.2,3.8,,5/7,1/1,,4/6,1/1,4,6,2,0/4,0/6,0/2,2.8,5.0,2.5,1,0,3,0/1,,1/3,0,0,0,,,,5.0,,3.7
CENTER FOR ASSISTED REPRODUCTIVE MEDICINE,SANTA MONICA,CALIFORNIA,Yes,Yes,Yes,Yes,No,90%,10%,0%,56%,2%,20%,8%,5%,11%,22%,10%,24%,64,115,145,35.9,25.2,11.7,31.3,21.7,7.6,(19.9 - 42.6),(14.2 - 29.3),(3.3 - 11.9),31.7,23.6,8.7,32.8,24.8,9.4,1.6,7.8,13.1,4.1,4.3,4.1,56.5,20.7,1/17,45.0,12.0,1/11,22,45,21,18.2,0.0,4.8,3.5,3.2,2.9,2,6,51,2/2,3/6,47.1,0,4,41,,0/4,19.5,4.0,3.9,3.9
CENTURY CITY HOSPITAL,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,99%,<1%,<1%,38%,0%,22%,11%,2%,18%,29%,11%,7%,189,237,176,43.4,26.2,14.8,33.3,17.7,9.1,(26.6 - 40.1),(12.9 - 22.6),(4.8 - 13.3),38.9,21.2,11.9,40.9,22.8,13.2,14.3,16.5,23.9,4.1,3.9,3.7,42.7,30.6,19.2,42.9,40.5,3/16,27,30,19,25.9,30.0,2/19,3.7,3.7,4.3,6,14,58,2/6,5/14,34.5,0,1,0,,0/1,,4.2,4.1,4.3
REPRODUCTIVE SCIENCE CENTER OF SAN DIEGO,LA JOLLA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,76%,15%,9%,52%,0%,10%,7%,10%,1%,41%,26%,5%,81,97,38,27.2,27.8,10.5,19.8,22.7,10.5,(11.1 - 28.4),(14.3 - 31.0),(0.8 - 20.3),23.5,29.7,14.3,24.6,30.6,18.2,16.0,23.7,26.3,5.0,4.7,4.6,50.0,18.5,0/4,8/16,22.7,0/4,18,15,4,2/18,0/15,0/4,5.2,4.5,4.0,2,9,21,2/2,5/9,52.4,0,2,9,,1/2,4/9,5.5,4.8,5.0
UNIVERSITY OF CALIFORNIA DAVIS ART PROGRAM,SACRAMENTO,CALIFORNIA,Yes,Yes,No,Yes,No,98%,2%,0%,0%,0%,58%,8%,0%,6%,10%,8%,10%,27,24,3,29.6,50.0,0/3,22.2,37.5,0/3,(6.5 - 37.9),(18.1 - 56.9),,23.1,42.9,0/3,23.1,42.9,0/3,3.7,12.5,0/3,4.0,4.9,3.0,2/8,4/12,,2/6,3/9,,3,4,1,0/3,1/4,0/1,5.3,3.0,6.0,0,2,4,,1/2,1/4,0,0,2,,,0/2,,4.5,4.2
PACIFIC FERTILITY CENTER-SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,60%,0%,25%,20%,1%,5%,17%,32%,0%,177,233,115,52.0,39.5,16.5,41.2,33.0,10.4,(34.0 - 48.5),(27.0 - 39.1),(4.8 - 16.0),41.5,33.3,10.8,42.2,34.4,12.0,0.6,0.9,3.5,4.9,5.5,5.2,47.8,38.0,8/19,45.2,36.4,5/12,39,23,6,17.9,4.3,0/6,5.1,4.3,6.7,9,10,87,2/9,3/10,39.1,2,5,30,0/2,0/5,10.0,5.6,4.9,5.4
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,Yes,No,95%,3%,2%,17%,8%,18%,4%,9%,14%,6%,27%,22%,15,24,25,6/15,16.7,8.0,5/15,16.7,4.0,,(1.8 - 31.6),(0.0 - 11.7),5/15,16.7,4.0,5/15,17.4,4.3,0/15,0.0,0.0,3.1,3.4,4.3,0/6,3/4,0/2,0/5,2/4,0/1,10,14,7,1/10,1/14,1/7,3.2,2.5,2.9,2,7,30,1/2,3/7,30.0,5,6,35,2/5,2/6,22.9,3.4,3.7,3.3
REPRODUCTIVE SCIENCE CENTER OF BAY AREA,SAN RAMON,CALIFORNIA,Yes,Yes,Yes,Yes,No,75%,22%,3%,31%,0%,20%,14%,1%,29%,19%,6%,11%,67,63,38,29.9,20.6,15.8,20.9,15.9,7.9,(11.2 - 30.6),(6.8 - 24.9),(0.0 - 16.5),23.3,19.2,10.3,23.7,21.3,10.7,10.4,17.5,23.7,4.1,5.5,6.4,40.0,6/13,2/6,7/14,5/10,1/3,28,20,2,14.3,35.0,0/2,4.9,5.2,5.5,5,9,38,2/5,4/9,47.4,4,0,33,1/4,,21.2,4.2,3.9,4.5
UNIVERSITY INFERTILITY ASSOCIATES,LONG BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,49%,51%,0%,21%,0%,23%,14%,2%,8%,22%,26%,5%,68,88,48,52.9,34.1,29.2,45.6,29.5,27.1,(33.8 - 57.4),(20.0 - 39.1),(14.5 - 39.7),49.2,31.7,34.2,50.8,32.1,34.2,7.4,6.8,20.8,4.1,4.3,4.8,41.7,50.0,4/14,45.2,53.8,3/13,20,33,15,15.0,15.2,1/15,3.3,2.9,3.2,2,3,21,2/2,2/3,33.3,0,0,2,,,0/2,4.0,4.0,3.7
LOMA LINDA UNIVERSITY,LOMA  LINDA,CALIFORNIA,Yes,No,Yes,Yes,No,94%,6%,0%,39%,0%,26%,6%,0%,8%,20%,22%,18%,18,16,2,6/18,3/16,0/2,6/18,2/16,0/2,,,,6/15,2/13,0/2,6/14,2/11,0/2,3/18,3/16,0/2,4.4,3.0,5.0,5/6,2/3,,4/6,1/2,,3,2,0,0/3,0/2,,3.7,1.5,,0,1,5,,0/1,2/5,0,0,1,,,0/1,,3.0,3.7
UNIVERSITY OF CALIFORNIA AT LOS ANGELES FERTILITY CENTER,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,Yes,No,97%,3%,0%,45%,0%,32%,5%,2%,23%,19%,7%,12%,13,11,5,0/13,0/11,0/5,0/13,0/11,0/5,,,,0/12,0/9,0/5,0/12,0/9,0/4,1/13,2/11,0/5,3.3,3.2,3.3,,,,,,,1,0,0,0/1,,,4.0,,,0,0,8,,,0/8,0,0,1,,,0/1,,,4.1
