PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
REPRODUCTIVE SCIENCE CENTER OF,,WASHINTON,DISTRICT OF COLUMBIA,Yes,No,No,No,No,>99%,<1%,0%,0%,23%,0%,44%,6%,0%,26%,6%,1%,17%,228,78,88,36,33.8,29.5,19.3,16.7,28.5,24.4,14.8,8.3,(22.6 - 34.4),(14.8 - 33.9),(7.4 - 22.2),(0.0 - 17.4),34.6,31.7,20.3,11.1,34.8,33.3,21.7,11.1,17.5,23.1,27.3,25.0,3.9,3.9,4.1,4.2,23.4,26.1,4/17,1/6,14.3,17.4,1/17,0/6,36.9,9/19,4/13,1/3,1,3,2,0,0/1,0/3,1/2,,5.0,2.0,5.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
SOUTHERN ILLINOIS UNIVERSITY,SPRINGFIELD,SPRINGFIELD,ILLINOIS,No,Yes,No,No,No,75%,23%,1%,1%,0%,0%,23%,8%,1%,48%,16%,0%,3%,47,10,13,0,8.5,2/10,0/13,,6.4,2/10,0/13,,(0.0 - 13.4),,,,6.7,2/10,0/12,,6.7,2/10,0/12,,4.3,0/10,1/13,,4.3,4.8,3.3,,0/4,0/2,,,1/4,0/2,,,1/3,0/2,,,3,0,0,0,0/3,,,,3.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,EDISON,EDISON,NEW JERSEY,Yes,Yes,No,No,No,100%,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%,2,0,0,0,1/2,,,,1/2,,,,,,,,1/2,,,,1/2,,,,0/2,,,,2.0,,,,0/1,,,,1/1,,,,1/1,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
UNIVERSITY OF SOUTH ALABAMA,MOBILE,MOBILE,ALABAMA,Yes,No,No,No,No,100%,0%,0%,0%,71%,0%,58%,18%,0%,16%,6%,2%,0%,30,10,4,4,40.0,3/10,0/4,1/4,26.7,2/10,0/4,1/4,(10.8 - 42.5),,,,26.7,2/10,0/4,1/4,28.6,2/9,0/4,1/4,0.0,0/10,0/4,0/4,4.2,4.4,4.0,4.3,2/12,1/3,,0/1,3/12,1/3,,0/1,5/8,2/2,,0/1,1,0,1,0,0/1,,0/1,,2.0,,3.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
ADVANCED REPRODUCTIVE SPECIALISTS,CHESTERFIELD,CHESTERFIELD,MISSOURI,Yes,No,No,No,No,100%,0%,0%,0%,0%,0%,54%,20%,4%,1%,19%,0%,2%,69,17,21,9,34.8,4/17,19.0,1/9,31.9,4/17,9.5,0/9,(20.9 - 42.9),,(0.0 - 22.1),,36.1,4/15,2/16,0/7,40.7,4/13,2/12,0/6,11.6,2/17,23.8,2/9,3.9,4.5,4.0,5.7,25.0,0/4,0/4,0/1,8.3,1/4,0/4,0/1,22.7,1/4,0/2,,4,4,0,1,0/4,0/4,,0/1,4.3,2.5,,4.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR WOMEN'S MEDICINE,GREENVILLE,GREENVILLE,SOUTH CAROLINA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,41%,0%,31%,28%,4%,9%,16%,12%,0%,33,12,7,2,57.6,6/12,2/7,1/2,48.5,5/12,0/7,0/2,(31.4 - 65.5),,,,50.0,5/10,0/7,0/2,50.0,5/9,0/7,0/2,3.0,2/12,0/7,0/2,3.7,4.2,3.9,3.0,9/19,2/6,0/2,0/1,0/19,1/6,0/2,0/1,8/16,3/5,,,4,1,0,0,1/4,1/1,,,3.5,3.0,,,0,1,0,2,,1/1,,0/2,0,0,0,4,,,,1/4,,4.0,,3.7
CENTER FOR REPRODUCTIVE MEDICINE,CHARLESTON,CHARLESTON,WEST VIRGINIA,Yes,Yes,No,Yes,No,92%,8%,0%,0%,24%,0%,33%,9%,0%,14%,5%,9%,29%,29,11,18,4,34.5,2/11,5/18,0/4,13.8,2/11,3/18,0/4,(1.2 - 26.3),,,,16.7,2/9,3/17,0/1,17.4,2/9,3/17,0/1,17.2,2/11,1/18,3/4,4.4,4.6,4.1,5.0,2/10,1/2,1/5,,1/10,0/2,0/5,,2/4,0/2,0/3,,7,2,4,0,0/7,0/2,0/4,,2.6,4.0,2.8,,2,0,1,2,0/2,,0/1,0/2,1,0,0,3,0/1,,,1/3,5.0,,4.0,4.8
CENTER FOR REPRODUCTIVE MEDICINE,DEARBORN,DEARBORN,MICHIGAN,Yes,Yes,Yes,Yes,No,>99%,<1%,0%,0%,21%,0%,22%,11%,1%,8%,56%,2%,0%,117,53,59,46,21.4,24.5,5.1,8.7,17.9,20.8,3.4,4.3,(11.0 - 24.9),(9.8 - 31.7),(0.0 - 8.0),(0.0 - 10.2),24.4,30.6,6.5,10.0,27.6,32.4,8.0,2/17,26.5,32.1,47.5,56.5,3.5,3.4,2.9,3.9,20.0,3/13,1/3,0/4,24.0,1/13,1/3,0/4,42.9,2/11,2/2,0/2,18,2,3,0,0/18,0/2,0/3,,2.6,3.5,2.7,,2,0,1,1,0/2,,0/1,1/1,0,0,0,0,,,,,1.5,,2.0,6.0
DIVISION OF REPRODUCTIVE ENDOCRINOLOGY,STONY BROOK,STONY BROOK,NEW YORK,Yes,Yes,No,No,No,98%,0%,0%,2%,44%,2%,21%,13%,1%,23%,17%,21%,4%,68,27,14,21,47.1,25.9,3/14,19.0,39.7,22.2,1/14,14.3,(28.1 - 51.3),(6.5 - 37.9),,(0.0 - 29.3),45.8,23.1,1/14,3/19,48.2,24.0,1/14,3/17,13.2,3.7,0/14,9.5,3.8,3.7,4.2,5.2,31.3,2/7,0/3,0/4,9.4,0/7,0/3,0/4,33.3,1/6,0/1,0/3,13,16,5,2,2/13,4/16,1/5,0/2,3.5,3.3,4.0,5.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,
FERTILITY AND REPRODUCTIVE HEALTH INSTITUTE,SAN JOSE,SAN JOSE,CALIFORNIA,Yes,Yes,Yes,Yes,No,89%,9%,2%,0%,25%,0%,20%,23%,2%,29%,14%,8%,4%,73,37,76,45,38.4,24.3,13.2,13.3,32.9,13.5,10.5,2.2,(22.1 - 43.7),(2.5 - 24.5),(3.6 - 17.4),(0.0 - 6.5),35.8,14.7,14.0,3.1,35.8,14.7,14.0,3.4,8.2,8.1,25.0,28.9,3.9,4.4,4.3,4.7,21.4,2/9,3/10,1/6,14.3,1/9,0/10,0/6,41.7,2/5,3/8,0/1,3,3,3,0,0/3,1/3,0/3,,2.3,2.7,2.7,,0,1,5,7,,1/1,2/5,3/7,0,0,0,2,,,,0/2,,6.0,4.6,3.7
GREATER CINCINNATI INSTITUTE FOR REPRODUCTIVE HEALTH,CINCINNATI,CINCINNATI,OHIO,Yes,Yes,No,Yes,Yes,>99%,0%,0%,<1%,35%,0%,28%,29%,3%,20%,12%,6%,2%,268,165,96,35,38.1,32.1,18.8,11.4,32.8,24.8,13.5,8.6,(27.2 - 38.5),(18.3 - 31.4),(6.7 - 20.4),(0.0 - 17.8),35.5,28.9,16.7,11.1,37.1,29.7,18.1,11.5,7.5,13.9,18.8,22.9,3.8,4.1,4.5,5.3,22.5,11.3,2/18,1/4,17.6,11.3,2/18,0/4,38.6,26.8,4/13,1/3,74,29,27,2,25.7,13.8,11.1,0/2,3.9,4.0,4.3,6.5,8,5,14,18,5/8,3/5,7/14,10/18,3,3,4,10,2/3,1/3,0/4,4/10,3.7,3.1,3.9,3.8
HALLMARK HEALTH FERTILITY SERVICES,MALDEN,MALDEN,MASSACHUSETTS,Yes,Yes,No,No,No,91%,9%,0%,0%,0%,0%,45%,3%,3%,10%,26%,13%,0%,8,8,3,3,3/8,1/8,1/3,0/3,1/8,1/8,0/3,0/3,,,,,1/8,1/7,0/2,0/3,1/7,1/6,0/2,0/3,0/8,1/8,1/3,0/3,4.1,3.8,4.5,4.0,0/3,0/1,0/1,,0/3,0/1,0/1,,0/1,0/1,,,4,5,0,0,1/4,1/5,,,3.5,2.8,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
IVF FLORIDA/NORTHWEST CENTER FOR,MARGATE,MARGATE,FLORIDA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,43%,0%,36%,19%,2%,22%,6%,13%,2%,168,92,75,24,48.8,40.2,24.0,12.5,41.1,34.8,16.0,12.5,(33.6 - 48.5),(25.1 - 44.5),(7.7 - 24.3),(0.0 - 25.7),43.9,39.5,19.7,15.0,44.5,40.5,20.3,15.0,6.5,12.0,18.7,16.7,3.1,3.2,3.3,2.9,32.9,29.7,4/18,1/3,18.3,13.5,0/18,0/3,50.7,37.5,2/12,1/3,16,9,6,6,2/16,2/9,0/6,1/6,3.7,4.0,3.8,3.8,8,2,8,37,2/8,1/2,4/8,37.8,0,0,0,0,,,,,2.5,3.5,3.1,3.4
MICHIGAN STATE UNIVERSITY,LANSING,LANSING,MICHIGAN,Yes,Yes,No,No,No,0%,20%,80%,0%,60%,0%,0%,20%,0%,40%,40%,0%,0%,2,1,2,0,0/2,1/1,0/2,,0/2,1/1,0/2,,,,,,0/2,1/1,0/2,,0/2,1/1,,,0/2,0/1,0/2,,3.0,6.0,,,,0/1,,,,0/1,,,,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
PROGRAM FOR ASSISTED REPRODUCTION,CHARLOTTE,CHARLOTTE,NORTH CAROLINA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,34%,0%,31%,21%,1%,31%,16%,0%,0%,36,12,7,1,52.8,3/12,2/7,0/1,38.9,3/12,2/7,0/1,(23.0 - 54.8),,,,40.0,3/6,2/5,,40.0,3/6,2/5,,2.8,6/12,2/7,1/1,3.9,4.0,4.2,,3/19,0/3,2/2,,3/19,0/3,0/2,,6/14,0/3,1/2,,0,2,1,1,,0/2,0/1,0/1,,3.0,4.0,2.0,0,0,0,0,,,,,0,1,0,0,,1/1,,,,4.0,,
RENE FERNANDEZ-PELEGRINA,RIO PIEDRAS,RIO PIEDRAS,PUERTO RICO,Yes,No,No,No,No,100%,0%,0%,0%,35%,0%,34%,13%,10%,37%,6%,0%,0%,66,15,15,10,48.5,7/15,3/15,3/10,47.0,6/15,2/15,1/10,(34.9 - 59.0),,,,50.8,6/13,2/13,1/9,52.5,6/13,2/12,1/8,7.6,2/15,2/15,1/10,1.9,1.9,2.0,1.8,56.3,3/7,0/3,0/3,15.6,0/7,0/3,0/3,58.1,3/6,0/2,0/1,2,1,0,0,1/2,0/1,,,2.0,3.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"REPRODUCTIVE GYNECOLOGISTS, P.C.",CHERRY HILL,CHERRY HILL,NEW JERSEY,Yes,Yes,No,Yes,No,99%,1%,0%,0%,36%,0%,28%,15%,0%,35%,12%,5%,5%,42,17,20,5,26.2,4/17,10.0,0/5,23.8,4/17,10.0,0/5,(10.9 - 36.7),,(0.0 - 23.1),,30.3,4/12,2/14,,30.3,4/12,2/14,,21.4,5/17,30.0,5/5,3.6,4.1,3.2,,5/11,0/4,1/2,,2/11,0/4,0/2,,4/10,0/4,1/2,,10,1,2,0,1/10,0/1,0/2,,3.2,2.0,2.5,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
PENN STATE GEISINGER HEALTH SYSTEM,HERSHEY,HERSHEY,PENNSYLVANIA,Yes,No,No,Yes,No,99%,0%,0%,1%,18%,0%,28%,16%,2%,6%,19%,15%,14%,44,30,8,1,20.5,13.3,3/8,0/1,18.2,10.0,3/8,0/1,(6.8 - 29.6),(0.0 - 20.7),,,21.6,14.3,3/7,0/1,26.7,3/17,3/6,0/1,15.9,30.0,1/8,0/1,2.8,2.8,3.0,1.0,4/9,0/4,1/3,,0/9,0/4,1/3,,3/8,0/3,2/3,,30,9,3,0,16.7,1/9,0/3,,2.9,2.7,2.7,,0,1,0,2,,1/1,,0/2,0,0,1,4,,,0/1,1/4,,3.0,4.0,3.0
THE REPRODUCTIVE SCIENCE CENTER OF BOSTON,WALTHAM,WALTHAM,MASSACHUSETTS,Yes,Yes,No,Yes,Yes,97%,3%,0%,0%,36%,<1%,24%,10%,1%,34%,12%,13%,6%,387,231,219,136,41.1,31.2,28.8,18.4,35.9,24.7,19.6,9.6,(31.1 - 40.7),(19.1 - 30.2),(14.4 - 24.9),(4.6 - 14.5),38.2,27.7,23.6,11.8,40.2,29.1,25.1,13.4,5.9,10.8,16.9,19.1,2.9,3.3,3.5,3.9,32.1,30.6,27.0,16.0,6.9,8.3,4.8,4.0,33.8,42.1,32.6,2/13,76,29,20,20,34.2,10.3,20.0,5.0,2.5,2.6,2.9,2.6,13,7,14,42,10/13,4/7,3/14,47.6,0,0,0,0,,,,,2.6,2.6,2.6,2.9
TOLL CENTER FOR REPRODUCTIVE SCIENCES,ABINGTON,ABINGTON,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,92%,7%,<1%,<1%,23%,0%,16%,9%,3%,18%,30%,<1%,24%,182,90,66,36,40.7,40.0,28.8,16.7,31.9,34.4,24.2,2.8,(25.1 - 38.6),(24.6 - 44.3),(13.9 - 34.6),(0.0 - 8.1),33.1,36.5,26.2,2.9,35.2,37.3,27.6,3.1,3.8,5.6,7.6,5.6,4.2,4.3,3.9,4.2,24.3,22.2,6/19,2/6,14.9,2.8,0/19,0/6,36.2,25.8,3/16,1/1,84,30,17,5,29.8,20.0,3/17,1/5,3.9,3.6,3.5,3.4,0,0,4,6,,,2/4,1/6,0,0,0,2,,,,0/2,,,4.0,4.0
UNIVERSITY FERTILITY CONSULTANTS,PORTLAND,PORTLAND,OREGON,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,28%,0%,34%,7%,2%,22%,5%,27%,5%,70,32,31,8,24.3,21.9,16.1,0/8,21.4,15.6,9.7,0/8,(11.8 - 31.0),(3.0 - 28.2),(0.0 - 20.1),,27.8,22.7,14.3,0/5,29.4,23.8,15.0,0/4,22.9,31.3,32.3,3/8,3.5,4.1,3.9,5.3,11/17,2/7,1/5,,1/17,0/7,1/5,,11/15,2/5,1/3,,27,21,8,3,29.6,23.8,2/8,1/3,3.8,3.7,3.6,3.3,5,4,9,16,2/5,1/4,3/9,7/16,2,3,4,20,2/2,0/3,1/4,30.0,3.4,3.6,3.4,3.3
NOVA IN VITRO FERTILIZATION,PALO ALTO,PALO ALTO,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,7%,1%,34%,7%,3%,20%,7%,0%,29%,28,27,26,16,35.7,40.7,26.9,0/16,35.7,25.9,23.1,0/16,(18.0 - 53.5),(9.4 - 42.5),(6.9 - 39.3),,38.5,26.9,26.1,0/12,41.7,29.2,28.6,0/11,7.1,3.7,11.5,4/16,4.2,5.4,5.0,5.0,3/10,1/11,4/7,,3/10,3/11,1/7,,4/10,3/7,3/6,,1,2,2,0,0/1,0/2,0/2,,3.0,3.5,2.5,,1,1,2,11,1/1,1/1,0/2,2/11,0,0,0,0,,,,,3.0,4.0,3.5,3.6
CENTER FOR ADVANCED REPRODUCTIVE CARE,REDONDO BEACH,REDONDO BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,92%,7%,0%,<1%,49%,0%,20%,15%,1%,38%,6%,15%,5%,70,54,75,56,41.4,40.7,36.0,12.5,40.0,38.9,29.3,5.4,(28.5 - 51.5),(25.9 - 51.9),(19.0 - 39.6),(0.0 - 11.3),45.2,47.7,36.7,7.0,47.5,48.8,37.3,7.3,11.4,18.5,20.0,23.2,3.5,4.1,4.2,5.2,24.1,31.8,18.5,0/7,13.8,13.6,7.4,0/7,35.7,28.6,31.8,0/3,11,11,12,11,2/11,3/11,1/12,0/11,4.5,4.0,4.6,3.9,3,0,7,28,1/3,,2/7,35.7,1,0,1,14,0/1,,1/1,8/14,3.3,,4.4,3.5
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,ROSEVILLE,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,97%,<1%,0%,3%,38%,0%,36%,9%,1%,19%,7%,22%,6%,68,47,37,23,39.7,19.1,24.3,4.3,36.8,8.5,16.2,0.0,(25.3 - 48.2),(0.5 - 16.5),(4.3 - 28.1),,37.9,9.3,17.6,0.0,38.5,9.8,18.8,0.0,2.9,8.5,8.1,4.3,4.9,4.4,5.8,4.0,22.2,1/9,0/9,0/1,18.5,2/9,2/9,0/1,40.0,2/4,1/6,,10,2,6,4,0/10,0/2,1/6,0/4,5.8,4.5,6.3,4.3,1,1,4,26,1/1,1/1,2/4,50.0,0,0,0,5,,,,0/5,4.0,6.0,6.5,5.1
UNIVERSITY OF CALIFORNIA DAVIS ART PROGRAM,SACRAMENTO,SACRAMENTO,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,2%,2%,51%,13%,3%,1%,5%,5%,22%,26,8,8,5,23.1,3/8,1/8,0/5,19.2,2/8,0/8,0/5,(4.1 - 34.4),,,,22.7,2/7,0/6,0/4,22.7,2/7,0/6,0/3,15.4,1/8,2/8,1/5,4.6,5.0,5.3,1.7,0/6,0/3,0/1,,3/6,1/3,0/1,,3/5,1/2,,,10,1,4,0,3/10,1/1,0/4,,4.4,6.0,3.5,,0,1,1,0,,1/1,0/1,,0,1,0,2,,1/1,,0/2,,6.0,4.0,4.5
IGO MEDICAL GROUP OF SAN DIEGO,SAN DIEGO,SAN DIEGO,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,43%,0%,45%,24%,1%,13%,12%,4%,1%,31,18,13,12,19.4,1/18,1/13,1/12,16.1,1/18,1/13,1/12,(3.2 - 29.1),,,,17.9,1/16,1/10,1/5,19.2,1/15,1/9,1/4,9.7,2/18,3/13,7/12,5.3,4.0,3.7,3.3,1/6,0/1,0/1,0/1,2/6,0/1,0/1,0/1,1/5,0/1,0/1,0/1,6,0,2,1,1/6,,0/2,0/1,3.8,,4.5,1.0,0,1,0,1,,0/1,,0/1,0,0,0,1,,,,0/1,,4.0,,4.0
