Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
UNIVERSITY OF ARKANSAS IVF PROGRAM,LITTLE ROCK,ARKANSAS,YES,NO,YES,0%,97%,3%,0%,9%,46%,11%,2%,13%,25%,3%,   70,   33,   16,34.3,21.2,2/16,26.3 (18.6-34.1),30.0,21.2,1/16,21.7 (14.6-28.8),32.3,25.9,1/14,24.7 (16.6-32.9),33.9,31.8,1/14,27.5 (18.5-36.6),7.1,27.3,2/16,3.8,3.6,3.6,6.5,13.6,0/14,1.6,0.0,0/14,38,6,2,15.8,0/6,0/2,3.3,3.0,4.0,3,0,3,0/3,,0/3,3.3,,4.7
ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,CALIFORNIA,YES,YES,YES,30%,99%,1%,0%,13%,48%,15%,0%,20%,6%,11%,   30,   43,   30,23.3,25.6,10.0,21.7 (13.1-30.4),16.7,20.9,10.0,17.0 (9.2-24.8),16.7,25.0,13.6,19.1 (10.7-27.5),16.7,25.7,15.0,19.6 (11.1-28.2),0.0,16.3,26.7,4.7,4.3,4.8,10.0,8.6,5.0,3.3,0.0,0.0,3,6,7,2/3,0/6,0/7,3.3,2.2,2.7,1,3,33,1/1,2/3,42.4,4.0,4.7,4.3
WEST COAST INFERTILITY AND REPRODUCTIVE ASSOCIATES,BEVERLY HILLS,CALIFORNIA,YES,YES,YES,0%,90%,10%,0%,10%,50%,10%,0%,10%,14%,16%,   11,   21,   11,1/11,19.1,1/11,12.7 (2.4-23.1),1/11,14.3,1/11,11.0 (1.0-20.9),1/11,15.0,1/10,11.4 (1.2-21.6),1/11,15.0,1/10,11.4 (1.2-21.6),0/11,4.8,1/11,1.8,3.4,2.4,0/11,0.0,0/10,0/11,0.0,0/10,0,0,0,,,,,,,4,3,15,0/4,0/3,2/15,3.8,3.0,4.3
CENTRAL CALIFORNIA IVF PROGRAM,FRESNO,CALIFORNIA,YES,NO,NO,0%,48%,49%,3%,0%,26%,46%,5%,12%,5%,6%,   23,   21,   20,30.4,28.6,10.0,26.1 (14.7-37.4),26.1,28.6,5.0,24.1 (13.0-35.2),26.1,28.6,1/19,23.3 (12.3-34.2),27.3,33.3,1/18,25.6 (13.8-37.3),0.0,0/18,10.0,4.9,4.5,4.9,9.1,0/18,0/18,0.0,0/18,0/18,1,1,0,0/1,0/1,,5.0,6.0,,1,1,2,0/1,0/1,0/2,5.0,6.0,5.5
WEST COAST FERTILITY CENTERS,FULLERTON,CALIFORNIA,YES,YES,YES,0%,49%,51%,0%,4%,23%,24%,21%,16%,7%,9%,   57,   30,   13,33.3,30.0,1/13,27.5 (19.0-36.1),28.1,26.7,0/13,22.5 (14.7-30.3),37.2,33.3,0/7,29.1 (19.6-38.6),39.0,34.8,0/5,30.5 (20.7-40.3),24.6,20.0,6/13,5.4,5.9,3.0,14.6,17.4,0/5,2.4,0.0,0/5,2,3,4,0/2,0/3,1/4,5.0,5.7,5.5,3,3,5,2/3,1/3,1/5,7.7,4.0,5.2
WERLIN AND ZARUTSKIE FERTILITY CENTER,IRVINE,CALIFORNIA,YES,YES,YES,0%,74%,17%,9%,5%,30%,20%,1%,21%,14%,14%,   61,   67,   33,26.2,13.4,9.1,18.5 (12.4-24.7),23.0,11.9,3.0,15.4 (9.7-21.1),24.6,13.3,3.6,16.7 (10.6-22.9),29.2,16.0,4.2,19.8 (12.7-26.9),6.7,10.5,15.2,3.8,4.3,4.1,0.0,8.0,3.0,0.0,4.0,0.0,12,7,5,1/12,1/7,1/5,3.3,3.1,3.8,2,4,12,1/2,3/4,3/12,4.5,4.0,4.3
REPRODUCTIVE SCIENCES CENTER,LA JOLLA,CALIFORNIA,YES,YES,YES,21%,79%,9%,12%,31%,10%,13%,9%,38%,26%,4%,   80,   56,   39,25.0,23.2,15.4,22.6 (16.4-28.9),21.3,21.4,12.8,19.8 (13.8-25.8),24.6,24.0,13.9,22.5 (15.8-29.1),30.9,35.3,23.8,29.2 (21.0-32.5),12.5,8.9,5.1,4.5,4.8,5.0,7.3,11.8,9.5,9.1,2.9,0.0,20,8,6,25.0,0/8,0/6,4.6,4.5,4.2,2,5,21,0/2,2/5,28.6,5.0,5.0,5.0
LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA LINDA,CALIFORNIA,YES,NO,YES,0%,92%,8%,0%,8%,38%,12%,0%,12%,8%,30%,   14,    6,    6,3/14,1/6,0/6,15.9 (1.3-30.5),2/14,1/6,0/6,12.6 (0.0-26.2),2/12,1/6,0/3,,2/8,1/6,0/2,,2/14,0/6,3/6,3.9,3.0,6.5,1/8,1/6,0/2,0/8,0/6,0/2,5,2,0,1/5,0/2,,3.8,1.5,,0,0,0,,,,,,
UNIVERSITY INFERTILITY ASSOCIATES,LONG BEACH,CALIFORNIA,YES,YES,YES,0%,48%,52%,0%,16%,25%,18%,0%,16%,31%,10%,   84,   80,   73,33.7,30.0,6.9,27.6 (21.6-33.5),26.7,21.3,4.2,20.7 (15.3-26.1),29.5,24.6,5.6,23.4 (17.4-29.5),32.4,24.6,5.8,24.8 (18.5-31.1),9.3,13.8,25.0,3.8,4.0,4.2,14.1,8.7,0.0,1.4,1.5,0.0,37,40,19,10.8,7.5,3/19,3.6,2.8,2.8,4,3,10,2/4,2/3,5/10,4.0,3.3,3.9
CENTURY CITY HOSPITAL CENTER FOR REPRODUCTIVE MEDICINE,LOS ANGELES,CALIFORNIA,YES,YES,YES,10%,97%,3%,0%,24%,23%,18%,2%,32%,16%,9%,  181,  240,  190,32.0,23.3,10.5,25.0 (21.3-28.8),27.1,15.8,6.8,19.4 (15.9-22.9),29.5,19.7,8.7,22.2 (18.4-26.1),31.0,21.7,9.9,23.2 (19.2-27.2),6.6,17.1,15.8,4.3,4.5,4.0,13.3,6.9,0.8,0.6,1.1,0.0,22,25,11,22.7,28.0,0/11,4.4,3.4,3.7,4,9,44,3/4,2/9,34.1,6.3,5.6,4.7
TYLER MEDICAL CLINIC,LOS ANGELES,CALIFORNIA,YES,YES,YES,50%,9%,91%,0%,0%,4%,53%,13%,2%,11%,17%,   14,   15,   16,6/14,6/15,2/16,36.4(21.2-51.5),5/14,2/15,1/16,22.4 (9.1-35.6),5/14,2/15,1/15,22.4 (9.1-35.7),5/12,2/14,1/7,23.7 (9.9-37.5),0/14,0/15,1/16,4.7,5.4,8.9,2/12,0/14,0/7,0/12,0/14,1/7,1,0,0,0/1,,,2.0,,,0,0,0,,,,,,
UCLA FERTILITY CENTER IVF PROGRAM,LOS ANGELES,CALIFORNIA,YES,YES,YES,0%,100%,0%,0%,13%,62%,8%,0%,8%,0%,22%,   14,   10,    0,1/14,1/10,,,1/14,0/10,,,1/14,1/10,,,1/11,0/8,,,0/14,0/10,,3.1,3.4,,1/11,0/8,,0/11,0/8,,1,0,1,0/1,,0/1,2,,5,0,0,12,,,3/12,,,4.8
UNIVERSITY OF SOUTHERN CALIFORNIA IVF PROGRAM,LOS ANGELES,CALIFORNIA,YES,YES,YES,0%,99%,1%,0%,2%,27%,4%,12%,7%,15%,35%,   28,   45,   19,14.3,20.0,2/19,15.7 (8.0-23.4),10.7,17.8,0/19,11.3 (4.7-18.0),10.7,17.8,0/19,11.3 (4.7-18.0),11.1,20.0,0/18,11.6 (4.9-18.4),0.0,0.0,1/19,3.8,3.8,3.9,0.0,2.5,0/18,7.4,0.0,0/18,29,25,35,10.3,8.0,8.6,3.7,3.6,3.3,8,6,45,0/8,0/6,33.3,3.6,4.0,4.3
NOVA IN VITRO FERTILIZATION,PALO ALTO,CALIFORNIA,YES,YES,NO,0%,100%,0%,0%,0%,50%,5%,0%,17%,7%,21%,   34,   43,   32,35.3,32.6,18.8,31.3 (22.1-40.6),35.3,30.2,15.6,29.9 (20.8-39.1),37.5,33.3,18.5,32.6 (22.8-42.3),44.4,34.2,20.8,35.8 (25.3-46.2),5.9,9.3,15.6,7.6,6.6,5.8,18.5,10.5,4.2,0.0,0.0,0.0,1,2,0,0/1,0/2,,2.0,2.5,,0,3,5,,1/3,1/5,,3.7,5.4
HUNTINGTON REPRODUCTIVE CENTER,PASADENA,CALIFORNIA,YES,YES,YES,0%,84%,3%,13%,20%,24%,16%,9%,30%,21%,0%,  113,  104,   59,47.8,44.2,30.5,43.4 (37.6-49.2),39.8,33.7,18.6,33.8 (28.2-39.4),40.2,35.0,19.6,34.6 (28.9-40.3),41.3,36.5,22.5,36.2 (30.3-42.0),0.9,1.0,1.7,4.1,3.8,4.1,10.1,12.5,4.1,3.7,4.2,4.1,21,25,20,28.6,20.0,25.0,3.4,3.0,2.9,8,17,44,4/8,8/17,43.2,4.4,4.0,3.7
CENTER FOR ADVANCED REPRODUCTIVE CARE,REDONDO BEACH,CALIFORNIA,YES,YES,YES,0%,95%,3%,2%,35%,22%,23%,3%,17%,25%,11%,   55,   81,   59,41.8,50.6,30.5,43.0 (35.5-50.4),40.0,44.4,20.3,38.1 (30.7-45.4),43.1,49.3,23.1,41.8 (34.0-49.5),43.1,50.0,24.0,42.2 (34.4-50.0),7.3,9.9,11.9,4.3,4.5,4.5,11.8,16.7,2.0,9.8,1.4,0.0,12,14,6,1/12,3/14,1/6,3.6,3.5,3.7,2,8,19,2/2,2/8,9/19,4.0,3.8,3.8
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,YES,YES,YES,5%,99%,1%,0%,0%,61%,12%,5%,6%,5%,11%,   31,   30,   16,32.3,16.7,2/16,23.1 (13.7-32.5),32.3,13.3,1/16,20.8 (11.8-29.8),35.7,14.8,1/15,23.0 (13.2-32.7),37.0,16.7,1/15,24.0 (13.9-34.1),9.7,10.0,1/16,5.4,5.5,4.9,14.8,0.0,0/15,3.7,4.2,0/15,5,5,6,2/5,0/5,0/6,6.0,5.0,4.8,2,5,17,1/2,2/5,7/17,5.0,6.6,5.9
PACIFIC FERTILITY CENTER AT SACRAMENTO,SACRAMENTO,CALIFORNIA,YES,YES,YES,45%,100%,0%,0%,23%,50%,6%,0%,29%,11%,4%,  110,   97,   34,35.5,30.9,20.6,31.2 (25.3-37.0),31.8,29.9,8.8,27.0 (21.6-32.5),33.3,33.0,9.7,29.0 (23.2-34.7),34.0,34.5,9.7,29.8 (23.9-35.7),4.6,9.3,8.8,4.7,5.5,5.7,9.7,13.1,3.2,1.0,2.4,0.0,11,10,0,4/11,2/10,,4.5,4.9,,1,5,16,0/1,3/5,10/16,4.0,4.2,4.4
UC-DAVIS ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,SACRAMENTO,CALIFORNIA,YES,YES,NO,0%,92%,8%,0%,0%,53%,8%,0%,5%,3%,31%,   16,   17,    7,5/16,4/17,0/7,22.8 (10.1-35.6),4/16,4/17,0/7,20.0 (7.8-32.1),4/11,4/13,0/5,27.8 (11.9-43.7),4/11,4/12,0/5,28.7 (12.5-45.0),5/16,4/17,2/7,4.3,4.3,4.8,0/11,0/12,0/5,1/11,0/12,0/5,6,7,1,1/6,0/7,0/1,3.8,4.1,6.0,0,0,0,,,,,,
IGO MEDICAL GROUP,SAN DIEGO,CALIFORNIA,YES,YES,NO,0%,91%,7%,2%,0%,53%,29%,5%,3%,6%,4%,   33,   36,   27,21.2,8.3,0.0,12.7 (5.6-19.9),21.2,5.6,0.0,11.8 (4.8-18.7),21.9,6.5,0.0,12.4 (5.1-19.7),23.3,7.7,0/16,13.5 (5.6-21.4),3.0,13.9,18.5,4.6,5.2,2.9,6.7,0.0,0/16,0.0,0.0,0/16,8,3,1,2/8,0/3,0/1,3.6,4.7,6.0,0,1,1,,0/1,0/1,,3.0,6.0
REPRODUCTIVE ENDOCRINE ASSOCIATES,SAN DIEGO,CALIFORNIA,YES,YES,YES,0%,100%,0%,0%,0%,33%,44%,23%,0%,0%,0%,    7,    4,    7,4/7,1/4,1/7,,3/7,1/4,1/7,,3/7,1/3,1/5,,3/7,1/3,1/5,,0/7,1/4,2/7,4.0,4.3,3.2,1/7,0/3,0/5,1/7,0/3,0/5,5,2,0,0/5,0/2,,3.0,4.0,,0,0,2,,,0/2,,,6.0
SHARP FERTILITY CENTER IVF,SAN DIEGO,CALIFORNIA,YES,YES,YES,0%,77%,20%,3%,8%,35%,19%,5%,23%,2%,16%,   68,   41,   24,20.6,4.9,4.2,12.0 (6.8-17.2),16.2,4.9,4.2,10.0 (5.1-14.8),17.7,5.7,1/19,11.2 (5.7-16.7),28.2,9.1,1/17,17.2 (9.2-25.1),8.8,14.6,20.8,4.9,4.1,4.1,5.1,0.0,0/17,2.6,0.0,0/17,11,5,5,3/11,1/5,2/5,3.9,4.8,3.6,0,0,1,,,0/1,,,4.0
ASTARTE FERTILITY MEDICAL CENTER,SAN FRANCISCO,CALIFORNIA,YES,YES,YES,5%,95%,0%,5%,9%,39%,20%,4%,18%,15%,4%,   62,   38,   17,24.2,13.2,3/17,19.0 (12.0-26.1),21.0,10.5,3/17,16.6 (9.9-23.3),24.1,12.9,3/15,19.3 (11.6-27.0),26.0,13.3,3/14,20.4 (12.4-28.3),12.9,18.4,2/17,5.1,5.8,5.9,6.0,6.7,0/14,6.0,0.0,0/14,12,4,6,0/12,0/4,0/6,4.0,2.0,4.2,4,5,6,0/4,1/5,0/6,5.5,4.6,4.8
PACIFIC FERTILITY CENTER-SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,YES,YES,YES,18%,100%,0%,0%,45%,25%,15%,6%,18%,29%,7%,  189,  243,  151,47.1,30.5,17.9,35.8 (31.8-39.9),43.9,23.1,11.9,30.6 (26.7-34.5),43.9,23.3,12.4,30.8 (26.9-34.7),45.1,24.9,13.6,32.1 (28.1-36.2),0.0,1.7,7.3,5.6,5.7,5.6,24.5,8.4,3.8,4.4,0.4,0.0,36,25,25,13.9,16.0,16.0,5.3,5.0,5.4,8,19,74,1/8,9/19,45.9,5.9,5.2,6.0
SAN FRANCISCO CENTER FOR REPRODUCTIVE MEDICINE,SAN FRANCISCO,CALIFORNIA,YES,YES,YES,0%,98%,2%,0%,21%,26%,25%,8%,35%,2%,4%,   75,  116,  117,30.7,30.2,18.8,28.4 (22.6-34.2),30.7,22.4,11.1,24.2 (18.6-29.8),34.3,24.5,15.1,27.3 (20.9-33.7),35.4,25.2,15.7,28.2 (21.7-34.7),13.3,11.2,29.0,3.7,4.7,3.9,20.0,8.7,2.4,1.5,1.0,0.0,8,14,14,2/8,3/14,2/14,3.6,3.9,2.6,4,10,45,0/4,4/10,44.4,2.8,5.1,4.9
UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,YES,YES,NO,0%,92%,2%,6%,12%,30%,9,6%,19%,2%,34%,   87,  109,   47,26.4,25.7,19.2,24.9 (19.3-30.4),24.1,24.8,10.6,21.9 (16.6-27.2),30.9,34.6,19.2,30.1 (23.2-37.0),32.8,38.6,20.0,31.9 (24.8-39.1),21.8,27.5,42.6,4.5,4.4,4.9,9.4,12.9,8.0,4.7,0.0,0.0,18,13,11,5/18,4/13,0/11,3.8,4.5,3.8,0,10,29,,3/10,58.6,,3.4,4.5
FERTILITY AND REPRODUCTIVE HEALTH INSTITUTE,SAN JOSE,CALIFORNIA,YES,YES,YES,0%,81%,19%,0%,9%,22%,38%,8%,18%,12%,2%,   65,   82,   34,30.8,20.7,20.6,25.3 (18.8-31.9),26.2,12.2,2.9,17.0 (11.3-22.6),26.6,13.0,3.7,17.6 (11.8-23.4),28.3,13.5,4.2,18.3 (12.3-24.3),1.5,6.1,20.6,4.9,4.5,6.0,8.3,2.7,4.2,3.3,0.0,0.0,2,8,2,2/2,1/8,0/2,6.0,5.6,5.0,1,0,5,1/1,,3/5,9.0,,5.0
CENTER FOR REPRODUCTIVE MEDICINE,SAN RAMON,CALIFORNIA,YES,YES,YES,5%,72%,28%,0%,21%,24%,21%,6%,25%,7%,17%,   73,   90,   49,37.0,24.4,24.5,30.2 (23.8-36.6),34.3,16.7,18.4,25.1 (19.0-31.1),34.7,19.2,23.1,27.1 (20.6-33.5),38.5,20.3,24.3,29.4 (22.5-36.2),1.4,13.3,20.4,4.8,5.4,6.2,12.3,9.5,0.0,1.5,0.0,0.0,26,29,32,26.9,20.7,21.9,4.4,4.7,4.7,8,12,51,2/8,8/12,45.1,5.0,4.8,4.3
CALIFORNIA FERTILITY ASSOCIATES IVF PROGRAM,SANTA MONICA,CALIFORNIA,YES,YES,YES,0%,70%,30%,0%,18%,24%,10%,3%,22%,18%,23%,   82,  126,  137,34.0,15.7,12.4,23.5 (18.2-28.9),26.8,12.5,8.0,18.3 (13.3-23.2),29.3,14.6,11.4,20.8 (15.4-26.2),29.7,15.5,12.5,21.5 (15.9-27.1),6.1,12.3,29.3,4.2,4.4,4.0,9.4,2.9,1.1,4.0,0.0,0.0,35,42,64,14.2,16.6,17.7,3.8,3.6,2.7,6,5,58,2/6,1/5,36.2,4.1,4.1,4.5
STANFORD HEALTH SERVICES,STANFORD,CALIFORNIA,YES,YES,NO,0%,85%,15%,0%,4%,25%,25%,1%,16%,3%,30%,   58,   73,   52,29.3,19.2,5.8,21.4 (15.0-27.8),25.9,15.1,0.0,17.3 (11.4-23.3),29.4,17.2,0.0,19.7 (13.1-26.4),31.3,18.6,0.0,21.1 (14.1-28.1),12.1,12.3,11.5,9.7,6.0,4.7,10.4,3.4,0.0,2.1,3.4,0.0,8,2,1,0/8,0/2,0/1,4.4,4.0,3.0,0,0,0,,,,,,
THE FERTILITY INSTITUTES,TARZANA,CALIFORNIA,YES,YES,YES,0%,90%,10%,0%,22%,37%,18%,0%,25%,6%,14%,   32,   17,    2,21.9,6/17,1/2,,21.9,5/17,0/2,,22.6,5/15,0/2,,25.9,5/14,0/2,,3.1,2/17,0/2,4.1,5.0,2.5,10.7,2/14,0/2,0.0,1/14,0/2,9,3,0,5/9,0/3,,5.1,2.3,,0,2,2,,0/2,2/2,,4.0,7.0
COLORADO SPRINGS CENTER FOR REPRODUCTIVE HEALTH,COLORADO SPRINGS,COLORADO,YES,YES,YES,0%,97%,3%,0%,0%,34%,22%,9%,9%,22%,4%,   15,   12,    5,3/15,4/12,1/5,24.8 (10.0-39.6),3/15,4/12,1/5,24.8 (10.0-39.6),3/14,4/12,1/4,,3/13,4/10,1/4,,1/15,0/12,1/5,4.1,3.9,5.0,1/13,1/10,0/4,0/13,0/10,0/4,1,2,1,0/1,1/2,0/1,4.0,5.5,6.0,1,1,0,1/1,1/1,,6.0,5.0,
COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,YES,YES,YES,0%,88%,12%,0%,11%,38%,13%,13%,18%,1%,17%,   43,   47,   14,18.6,25.5,1/14,19.0 (11.6-26.4),14.0,23.4,1/14,16.1 (9.2-23.0),15.0,26.2,1/10,18.1 (10.4-25.9),17.6,33.3,1/5,21.4 (12.0-30.8),7.0,10.6,4/14,3.5,3.9,4.0,8.8,15.2,0/5,2.9,3.0,0/5,3,3,2,0/3,0/3,0/2,2.3,2.0,2.5,0,5,15,,1/5,8/15,,4.5,3.6
