PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
SOUTHWEST FERTILITY CENTER,,PHOENIX,AZ,100%,0%,0%,0%,16%,0%,20%,13%,16%,39%,5%,2%,5%,Sujatha,,Gunnala,", M.D.",19,4,4,5,8/19,0/4,1/4,0/5,7/19,0/4,1/4,0/5,,,,,7/19,0/4,1/4,0/5,7/19,0/4,1/4,0/5,0/19,0/4,0/4,0/5,4.4,4.0,4.3,4.4,1/8,,0/1,,1/8,,0/1,,2/7,,0/1,,0,2,2,1,,1/2,0/2,0/1,,4.0,4.0,4.0,1,1,1,3,0/1,0/1,1/1,0/3,5.0,5.0,5.0,4.0,0,0,0,0,,,,,,,,,Southwest Fertility Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,AZ,11%,62%,26%,1%,20%,0%,52%,16%,3%,9%,0%,12%,8%,Jay,S.,Nemiro,", M.D.",94,40,38,20,40.4,37.5,15.8,25.0,33.0,25.0,15.8,10.0,(23.5 - 42.5),(11.6 - 38.4),(4.2 - 27.4),(0.0 - 23.1),33.7,25.6,16.7,2/16,38.3,29.4,20.7,2/11,2.1,2.5,5.3,20.0,5.0,4.5,4.6,4.0,26.3,2/15,2/6,0/5,10.5,1/15,1/6,0/5,38.7,3/10,2/6,0/2,1,3,0,0,1/1,1/3,,,6.0,4.3,,,3,4,4,11,2/3,1/4,2/4,3/11,4.3,3.3,5.8,4.9,0,0,2,2,,,0/2,0/2,,,5.0,4.5,Arizona Center for Fertility Studies,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,AZ,100%,0%,0%,0%,63%,0%,11%,50%,12%,16%,3%,3%,5%,Anita,P.,Singh,", M.D.",22,14,7,5,50.0,2/14,2/7,3/5,50.0,2/14,1/7,2/5,(29.1 - 70.9),,,,55.0,2/12,1/7,2/5,55.0,2/11,1/7,2/5,9.1,2/14,0/7,0/5,3.3,3.6,4.1,3.4,4/11,1/2,1/2,1/3,1/11,1/2,0/2,0/3,5/11,1/2,1/1,1/2,9,1,2,3,5/9,0/1,0/2,1/3,3.9,4.0,4.0,4.3,0,0,0,3,,,,3/3,,,,2.7,0,0,0,5,,,,0/5,,,,4.4,Mayo Clinic Scottsdale,,Yes,No,Yes,No,Yes,Yes,Yes
UNIVERSITY OF ARIZONA PROGRAM OF ART,,TUCSON,AZ,97%,<1%,0%,2%,23%,0%,21%,23%,31%,11%,5%,1%,8%,Timothy,,Gelety,", M.D.",64,44,29,34,20.3,18.2,3.4,0.0,18.8,13.6,3.4,0.0,(9.2 - 28.3),(3.5 - 23.8),(0.0 - 10.1),,21.4,16.2,4.5,0.0,23.5,17.1,4.5,0.0,12.5,15.9,24.1,29.4,4.9,4.1,4.0,4.6,5/13,2/8,0/1,,0/13,2/8,0/1,,5/12,4/6,0/1,,35,20,8,9,8.6,10.0,1/8,0/9,4.2,4.5,4.4,4.0,2,5,3,8,0/2,1/5,1/3,2/8,5.0,5.0,5.0,5.4,2,1,2,14,0/2,0/1,0/2,3/14,3.0,5.0,6.0,5.4,Arizona Center for Reproductive Endocrinology and Infertility,,Yes,Yes,Yes,No,Yes,Yes,Pending
"GIL N. MILEIKOWSKY, M.D.",,BEL AIR,CA,100%,0%,0%,0%,11%,0%,16%,21%,16%,5%,5%,37%,0%,Gil,N.,Mileikowsky,", M.D.",5,1,3,9,2/5,0/1,2/3,0/9,2/5,0/1,1/3,0/9,,,,,2/5,0/1,1/3,0/6,2/5,0/1,1/3,0/4,0/5,0/1,0/3,3/9,4.6,5.0,3.7,3.8,0/2,,0/2,,0/2,,0/2,,0/2,,0/1,,0,0,0,0,,,,,,,,,0,0,0,1,,,,0/1,,,,6.0,0,0,0,0,,,,,,,,,"Gil N. Mileikowsky, M.D.",,Yes,Yes,Yes,Yes,Yes,No,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CA,98%,1%,0%,1%,33%,0%,13%,28%,28%,10%,8%,3%,10%,Ryszard,J.,Chetkowski,", M.D.",16,14,29,29,10/16,5/14,31.0,13.8,8/16,4/14,20.7,10.3,,,(5.9 - 35.4),(0.0 - 21.4),8/15,4/12,21.4,12.0,8/15,4/12,21.4,12.0,1/16,2/14,3.4,13.8,2.7,3.0,3.7,4.2,3/10,2/5,1/9,0/4,0/10,0/5,0/9,0/4,3/8,2/4,1/6,0/3,4,2,3,2,1/4,0/2,0/3,0/2,2.5,2.0,3.3,1.0,1,0,3,22,0/1,,1/3,54.5,2.0,,3.0,2.8,1,0,2,6,0/1,,0/2,1/6,2.0,,2.0,2.7,Alta Bates In Vitro Fertilization Program,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND SURGERY ASSOCIATES,,BEVERLY HILLS,CA,98%,<1%,<1%,<1%,40%,0%,23%,25%,9%,13%,7%,3%,20%,Mark,W.,Surrey,", M.D.",87,58,89,116,46.0,43.1,31.5,13.8,41.4,41.4,24.7,7.8,(31.0 - 51.7),(28.7 - 54.1),(15.8 - 33.7),(2.9 - 12.6),42.4,43.6,25.9,9.0,45.0,47.1,27.8,9.6,2.3,5.2,4.5,13.8,3.4,3.8,3.6,3.7,20.0,28.0,21.4,3/16,25.0,12.0,7.1,0/16,41.7,41.7,22.7,2/9,27,16,18,8,22.2,0/16,4/18,3/8,3.7,3.8,3.9,4.3,2,1,1,14,2/2,0/1,1/1,8/14,3.0,5.0,3.0,3.6,0,0,1,3,,,0/1,2/3,,,3.0,3.3,Southern California Reproductive Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CA,100%,0%,0%,0%,24%,0%,21%,22%,9%,20%,0%,20%,8%,Michael,,Kamrava,", M.D.",28,18,12,18,7.1,3/18,1/12,3/18,7.1,3/18,1/12,3/18,(0.0 - 16.7),,,,7.7,3/17,1/10,3/18,7.7,3/17,1/9,3/17,7.1,1/18,2/12,0/18,4.7,3.9,4.7,5.2,0/2,1/3,0/1,0/3,0/2,0/3,0/1,0/3,0/2,0/3,0/1,0/3,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"West Coast Infertility Medical Clinic, Inc.",,Yes,No,Yes,Yes,Yes,Yes,Pending
FERTILITY CARE OF ORANGE COUNTY,,BREA,CA,100%,0%,0%,0%,44%,0%,50%,30%,15%,0%,0%,0%,5%,C. Terence,,Lee,", M.D.",7,4,5,0,3/7,1/4,0/5,,3/7,1/4,0/5,,,,,,3/6,1/4,0/3,,3/6,1/4,0/2,,1/7,0/4,2/5,,4.2,4.8,1.0,,0/3,0/1,,,1/3,0/1,,,1/3,0/1,,,1,0,1,0,0/1,,0/1,,3.0,,4.0,,0,0,0,2,,,,1/2,,,,3.5,0,0,0,0,,,,,,,,,Fertility Care of Orange County,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GREATER VALLEY CENTER FOR REPRODUCTIVE MEDICINE,,ENCINO,CA,100%,0%,0%,0%,29%,0%,21%,10%,13%,20%,6%,30%,0%,Gary,D.,Hubert,", M.D.",11,14,10,13,3/11,4/14,1/10,3/13,2/11,2/14,1/10,2/13,,,,,2/11,2/14,1/10,2/13,2/11,2/14,1/10,2/11,0/11,0/14,0/10,0/13,4.5,4.8,5.0,5.2,0/3,0/4,0/1,1/3,0/3,1/4,0/1,1/3,0/2,0/2,0/1,1/2,1,3,1,1,0/1,0/3,0/1,0/1,4.0,3.0,6.0,4.0,1,0,1,6,0/1,,1/1,2/6,3.0,,6.0,6.0,0,0,0,4,,,,3/4,,,,4.8,Greater Valley Center for Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CA,82%,15%,0%,3%,31%,0%,31%,16%,34%,9%,<1%,8%,2%,David,G.,Diaz,", M.D.",66,23,28,14,36.4,30.4,28.6,3/14,28.8,26.1,17.9,2/14,(17.9 - 39.7),(8.1 - 44.0),(3.7 - 32.0),,29.7,27.3,19.2,2/12,32.8,28.6,20.0,2/11,3.0,4.3,7.1,2/14,5.5,5.6,5.9,4.4,29.2,0/7,2/8,0/3,8.3,0/7,1/8,0/3,8/19,0/6,3/5,0/2,8,2,3,1,1/8,0/2,0/3,0/1,4.1,3.0,4.7,7.0,9,2,5,13,4/9,1/2,2/5,6/13,5.1,4.0,6.0,5.5,2,0,0,4,0/2,,,0/4,3.0,,,3.5,West Coast Fertility Centers,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WERLIN-ZARUTSKIE FERTILITY CENTERS,,IRVINE,CA,98%,<1%,0%,1%,51%,0%,20%,33%,16%,10%,3%,18%,0%,Lawrence,B.,Werlin,", M.D.",109,71,74,51,33.0,29.6,16.2,3.9,27.5,21.1,13.5,0.0,(19.1 - 35.9),(11.6 - 30.6),(5.7 - 21.3),,29.4,22.7,16.4,0.0,31.6,23.4,17.9,0.0,6.4,7.0,17.6,39.2,4.3,4.4,4.0,3.2,38.9,23.8,1/12,0/2,19.4,19.0,0/12,0/2,56.7,6/15,0/10,,16,12,8,4,5/16,4/12,0/8,0/4,4.2,3.3,3.1,2.3,1,4,6,16,1/1,1/4,2/6,10/16,5.0,5.8,5.0,5.3,0,0,0,7,,,,2/7,,,,4.9,Werlin-Zarutskie Fertility Centers,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS-SAN DIEGO,,LA JOLLA,CA,99%,<1%,0%,0%,52%,0%,18%,27%,9%,12%,9%,15%,10%,Gabriel,V.,Garzo,", M.D.",32,34,22,16,62.5,29.4,36.4,2/16,59.4,23.5,22.7,0/16,(42.4 - 76.4),(9.3 - 37.8),(5.2 - 40.2),,70.4,25.8,5/19,0/11,70.4,25.8,5/19,0/11,15.6,8.8,13.6,5/16,3.0,3.4,3.6,3.6,20.0,2/10,1/8,0/2,30.0,1/10,0/8,0/2,10/19,3/8,1/5,,10,5,1,0,2/10,2/5,0/1,,3.1,3.8,4.0,,2,2,7,6,1/2,2/2,3/7,4/6,2.5,3.0,3.0,3.0,0,2,1,2,,0/2,0/1,0/2,,2.5,3.0,3.5,Reproductive Partners-San Diego,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA,CA,98%,0%,0%,2%,52%,0%,12%,36%,4%,4%,14%,25%,5%,Samuel,H.,Wood,", M.D., Ph.D.",30,28,25,19,63.3,32.1,28.0,4/19,50.0,28.6,24.0,3/19,(32.1 - 67.9),(11.8 - 45.3),(7.3 - 40.7),,55.6,30.8,25.0,3/16,57.7,33.3,6/19,3/14,10.0,7.1,4.0,3/19,3.9,4.5,4.1,3.9,5/19,2/9,2/7,0/4,5/19,0/9,0/7,0/4,9/15,2/8,1/6,0/3,7,1,6,0,2/7,0/1,1/6,,4.1,3.0,3.5,,2,0,5,10,2/2,,4/5,5/10,4.5,,4.8,4.0,0,0,2,9,,,0/2,2/9,,,5.5,3.4,Reproductive Sciences Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCRIPPS CLINIC,,LA JOLLA,CA,100%,0%,0%,0%,32%,2%,17%,28%,13%,34%,3%,2%,3%,Jeffrey,S.,Rakoff,", M.D.",18,11,13,11,3/18,2/11,0/13,0/11,3/18,2/11,0/13,0/11,,,,,3/15,2/11,0/10,0/7,3/15,2/10,0/10,0/7,3/18,0/11,3/13,4/11,3.0,3.6,3.3,3.4,0/3,1/2,,,0/3,0/2,,,0/3,1/2,,,15,8,6,4,1/15,0/8,0/6,0/4,3.0,2.9,2.2,2.8,1,0,0,5,1/1,,,2/5,2.0,,,4.4,0,0,0,3,,,,0/3,,,,3.0,Scripps Clinic,,Yes,No,Yes,Yes,Yes,Yes,Yes
"JANE L. FREDERICK, M.D., INC.",,LAGUNA HILLS,CA,100%,0%,0%,0%,31%,0%,22%,30%,9%,7%,14%,2%,16%,Jane,L.,Frederick,", M.D.",5,5,6,10,1/5,1/5,1/6,2/10,0/5,1/5,1/6,2/10,,,,,0/5,1/3,1/6,2/7,0/5,1/3,1/6,2/5,0/5,2/5,0/6,3/10,3.0,3.3,3.5,4.0,0/1,0/1,0/1,0/2,0/1,0/1,1/1,0/2,,0/1,1/1,0/2,6,4,3,2,2/6,0/4,0/3,0/2,3.5,3.8,3.0,3.5,0,0,0,3,,,,3/3,,,,2.3,0,0,3,1,,,1/3,0/1,,,3.3,3.0,"Jane L. Frederick, M.D., Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LOMA LINDA UNIVERSITY,CENTER FOR FERTILITY AND IVF,LOMA LINDA,CA,100%,0%,0%,0%,62%,0%,39%,19%,1%,7%,4%,19%,11%,John,D.,Jacobson,", M.D.",34,22,20,8,35.3,40.9,30.0,1/8,29.4,36.4,20.0,1/8,(14.1 - 44.7),(16.3 - 56.5),(2.5 - 37.5),,33.3,8/18,4/12,1/4,35.7,8/17,4/12,1/4,11.8,18.2,40.0,4/8,3.4,3.7,3.4,4.3,2/12,2/9,1/6,0/1,2/12,1/9,0/6,0/1,4/10,3/8,0/4,0/1,7,2,1,1,1/7,0/2,0/1,0/1,3.1,3.5,2.0,1.0,0,3,2,5,,0/3,2/2,2/5,,2.7,3.5,2.8,0,1,0,1,,0/1,,0/1,,2.0,,2.0,Loma Linda University Center for Fertility and IVF,,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS-LONG BEACH,,LONG BEACH,CA,61%,37%,0%,2%,23%,0%,33%,21%,12%,9%,3%,21%,1%,Bill,,Yee,", M.D.",69,54,49,28,46.4,29.6,51.0,7.1,42.0,27.8,30.6,0.0,(30.4 - 53.7),(15.8 - 39.7),(17.7 - 43.5),,49.2,34.9,31.9,0.0,50.0,34.9,33.3,0.0,14.5,20.4,4.1,28.6,3.4,3.9,4.1,5.5,43.8,5/16,12.0,0/2,12.5,2/16,4.0,0/2,48.3,6/15,2/15,,9,14,10,8,2/9,2/14,1/10,1/8,3.2,3.4,3.1,2.9,1,0,0,10,0/1,,,5/10,4.0,,,2.9,0,0,3,6,,,0/3,1/6,,,3.0,3.5,Reproductive Partners-Long Beach,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TYLER MEDICAL CLINIC,,LOS ANGELES,CA,33%,54%,0%,13%,20%,0%,6%,6%,32%,50%,0%,6%,0%,Jaroslav,J.,Marik,", M.D.",8,4,2,1,2/8,3/4,0/2,0/1,2/8,2/4,0/2,0/1,,,,,2/8,2/4,0/2,0/1,2/7,2/4,0/2,0/1,0/8,0/4,0/2,0/1,3.9,5.3,5.0,2.0,1/2,1/3,,,0/2,0/3,,,1/2,1/2,,,0,0,0,0,,,,,,,,,1,0,0,0,0/1,,,,5.0,,,,0,0,0,0,,,,,,,,,Tyler Medical Clinic,,Yes,Yes,Yes,Yes,Yes,No,No
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",FERTILITY CENTER,LOS ANGELES,CA,100%,0%,0%,0%,35%,1%,14%,16%,6%,10%,2%,8%,44%,Joseph,C.,Gambone,", D.O., M.P.H.",24,31,25,15,29.2,16.1,0.0,1/15,29.2,16.1,0.0,1/15,(11.0 - 47.4),(3.2 - 29.1),,,29.2,17.9,0.0,1/12,29.2,20.0,0.0,1/12,0.0,9.7,4.0,3/15,4.0,2.9,4.2,3.3,2/7,2/5,,0/1,2/7,0/5,,0/1,3/7,1/5,,0/1,3,2,3,1,1/3,1/2,1/3,1/1,3.7,3.0,2.0,10.0,0,0,1,2,,,0/1,1/2,,,4.0,5.5,0,0,2,1,,,0/2,0/1,,,3.0,1.0,"University of California, Los Angeles Fertility Center",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTHERN CALIFORNIA,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,LOS ANGELES,CA,100%,0%,0%,0%,19%,3%,13%,5%,43%,2%,5%,14%,18%,Richard,J.,Paulson,", M.D.",16,18,18,21,8/16,6/18,6/18,14.3,8/16,5/18,6/18,4.8,,,,(0.0 - 13.9),8/15,5/16,6/18,4.8,8/15,5/16,6/18,4.8,1/16,2/18,0/18,0.0,3.2,3.9,4.7,5.6,1/8,4/6,2/6,0/3,3/8,0/6,2/6,0/3,4/8,4/5,1/6,0/1,2,3,3,7,2/2,1/3,1/3,0/7,3.5,2.7,3.7,3.4,1,2,2,42,1/1,2/2,2/2,47.6,2.0,3.5,3.0,3.1,1,1,3,30,0/1,0/1,0/3,33.3,2.0,1.0,2.3,4.0,University of Southern California Reproductive Endocrinology and Infertility,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
