PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,37%,0%,<1%,21%,<1%,16%,11%,0%,19%,7%,4%,11%,10%,"Timothy J. Gelety, M.D.",90,30,29,10,50,60,58.6,0.3,44.4,43.3,34.5,0.2,-20.5,-35.5,-34.6,=,47.1,44.8,37,0.25,51.3,50,37,0.25,24.4,26.9,22.2,0.25,5.6,3.3,6.9,0.2,3.7,4.1,4.2,3.9,33.3,0.277777778,0.235294118,0.333333333,20,0.222222222,0,0,52.5,0.461538462,0.4,0,48,10,5,4,33.3,0.3,0.2,0.25,4.3,3.1,4.4,5,18,29,0.555555556,44.8,3.7,4.6,Arizona Center for Reproductive Endocrinology & Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,21%,0%,0%,18%,5%,0%,6%,2%,17%,17%,3%,14%,18%,"Scot M. Hutchison, M.D.",33,18,15,9,45.5,0.222222222,0.133333333,0.111111111,42.4,0.166666667,0.133333333,0.111111111,-33.7,=,=,=,48.3,0.272727273,0.181818182,0.166666667,51.9,0.333333333,0.2,0.2,37,0.111111111,0.2,0.2,12.1,0.388888889,0.266666667,0.333333333,2.7,3,3.5,2.4,0.133333333,0.5,0,0,0.133333333,0,0,0,0.285714286,0.666666667,0,0,4,6,3,0,0,0.5,0,=,2,3.3,3.3,=,5,6,0.6,0,2.2,3.7,Reproductive Health Center,Yes,Yes,Yes,No,Yes,Yes,Yes
INTRA VAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,0%,0%,0%,40%,13%,0%,0%,0%,0%,0%,0%,40%,7%,"Francisco Batres, M.D.",13,2,0,0,0.153846154,0,=,=,0.076923077,0,=,=,=,=,=,=,0.083333333,0,=,=,0.090909091,0,=,=,0.090909091,0,=,=,0.076923077,0.5,=,=,3.4,1,=,=,0,=,=,=,0,=,=,=,0,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Intra Vaginal Culture Fertilization Program of Arkansas,No,No,No,No,No,Yes,Yes
GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,20%,0%,0%,13%,3%,18%,15%,10%,8%,3%,10%,10%,10%,"Brian C. Su, M.D.",11,5,4,6,0.363636364,0,0.5,0.333333333,0.181818182,0,0,0.333333333,=,=,=,=,0.181818182,0,0,0.5,0.2,0,0,0.5,0.2,0,0,0.25,0,0,0,0.333333333,3.6,3.3,2.3,3.3,0,=,0,0.5,0,=,0,0,0,=,=,0.5,5,1,0,0,0,1,=,=,2.2,3,=,=,0,1,=,0,=,2,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,74%,0%,0%,9%,5%,12%,3%,2%,9%,3%,6%,30%,21%,"Ryszard J. Chetkowski, M.D.",27,12,24,7,40.7,0.416666667,33.3,0.285714286,25.9,0.333333333,25,0.285714286,-33.1,=,-34.6,=,26.9,0.333333333,27.3,0.333333333,29.2,0.333333333,27.3,0.4,12.5,0.083333333,18.2,0.4,3.7,0,8.3,0.142857143,2.9,3.5,4.2,5.2,0.454545455,0.6,0.25,0,0,0,0,0,0.571428571,0.75,0.333333333,0,13,6,4,1,0.384615385,0,0.25,0,3.3,3.2,3,5,29,20,44.8,35,2.8,3.2,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,48%,0%,<1%,7%,<1%,21%,<1%,<1%,8%,0%,20%,24%,17%,"Sam Najmabadi, M.D.",41,20,21,14,63.4,60,47.6,0.428571429,48.8,45,38.1,0.357142857,-30.6,-43.6,-41.6,=,50,45,38.1,0.384615385,50,45,40,0.416666667,27.5,40,40,0.416666667,2.4,0,0,0.071428571,2.9,3.6,3.3,3.3,38.5,0.166666667,0.1,0.166666667,0,0,0.1,0,45,0.111111111,0,0,2,2,2,0,0,0,0.5,=,3.5,1.5,3.5,=,16,0,0.75,=,3.4,=,Center for Reproductive Health & Gynecology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,>99%,<1%,0%,0%,48%,0%,2%,7%,7%,19%,7%,2%,13%,7%,3%,18%,17%,"Mark W. Surrey, M.D.",76,71,42,25,53.9,52.1,35.7,20,50,47.9,23.8,16,-22.4,-23.2,-25.8,-28.8,55.1,50.7,26.3,16.7,62.3,58.6,33.3,0.25,32.8,50,30,0.25,9.2,5.6,9.5,4,2.6,2.6,2.8,3.1,41.5,10.8,0.066666667,0,7.3,5.4,0,0,47.4,14.7,0.1,0,13,4,7,5,0.384615385,0.25,0.285714286,0.2,2.8,3.3,2.4,2.6,25,6,64,0.833333333,2.4,3.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,>99%,0%,<1%,0%,42%,0%,0%,10%,4%,33%,2%,0%,12%,4%,15%,11%,9%,"Hal Danzer, M.D.",44,35,40,67,65.9,34.3,35,26.9,54.5,31.4,32.5,16.4,-29.5,-30.8,-29,-17.8,57.1,32.4,36.1,17.5,58.5,34.4,39.4,21.2,36.6,21.9,33.3,15.4,4.5,2.9,10,6,2.8,3.1,3,3.4,17.2,0.25,0.214285714,0.166666667,13.8,0.166666667,0.142857143,0,37.5,0.363636364,0.153846154,0.272727273,7,2,2,3,0.428571429,0.5,0.5,0,2.9,2.5,3.5,3.7,30,12,50,0.25,2.6,2.5,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,56%,2%,0%,7%,1%,14%,1%,1%,4%,10%,9%,28%,25%,"Michael Kamrava, M.D.",13,10,11,14,0.153846154,0.1,0,0,0.153846154,0.1,0,0,=,=,=,=,0.166666667,0.125,0,0,0.181818182,0.125,0,0,0.181818182,0.125,0,0,0.076923077,0.2,0,0.142857143,3.6,4.4,3.2,3.6,0,0,=,=,0,0,=,=,0,0,=,=,1,1,1,0,0,0,0,=,2,7,2,=,19,7,0.052631579,0,3.9,2.6,"West Coast Infertility Medical Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,84%,0%,0%,22%,0%,13%,0%,0%,21%,4%,32%,3%,5%,"C. Terence Lee, M.D.",23,12,10,5,39.1,0.583333333,0.2,0,30.4,0.5,0.2,0,-37.6,=,=,=,30.4,0.5,0.25,0,33.3,0.5,0.25,0,14.3,0.416666667,0.25,0,0,0,0.2,0.8,3,3.6,4.1,2,0.444444444,0.142857143,0,=,0,0,0,=,0.571428571,0.166666667,0,=,9,3,1,0,0.555555556,0,0,=,2,2,2,=,8,3,0.625,0.666666667,2.8,2.7,Fertility Care of Orange County,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTRAL CALIFORNIA IVF,,CLOVIS,CALIFORNIA,94%,3%,0%,3%,35%,0%,0%,8%,7%,12%,2%,0%,8%,1%,<1%,29%,32%,"H. Michael Synn, M.D.",68,31,25,22,36.8,25.8,4,13.6,33.8,19.4,4,4.5,-22.5,-27.9,-11.7,-13.2,38.3,20.7,4.8,0.0625,38.3,23.1,0.052631579,0.066666667,23.3,15.4,0.052631579,0.066666667,11.8,6.5,16,27.3,3.4,3.6,3.6,3.4,20,0.125,0,0,16,0.25,0,0,39.1,0.333333333,0,0,6,4,0,0,0,0,=,=,3,2,=,=,6,2,0,0,2.7,5,Central California IVF,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,92%,<1%,10%,9%,7%,6%,7%,4%,17%,26%,13%,2%,9%,"Christo Zouves, M.D.",86,64,69,51,44.2,40.6,34.8,17.6,40.7,34.4,29,11.8,-20.8,-23.3,-21.4,-17.7,41.2,34.9,29.9,12,44.3,35.5,30.3,14,24.1,21,24.2,14,1.2,1.6,2.9,2,3.4,3.3,3.2,3.1,31.6,34.6,20.8,0,15.8,0,4.2,0,45.7,40.9,20,0,35,11,11,7,37.1,0.181818182,0.454545455,0.285714286,4.3,4.1,5,4.9,83,25,57.8,40,3.3,4.1,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"GIL N. MILEIKOWSKY, M.D.",,ENCINO,CALIFORNIA,100%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,"Gil N. Mileikowsky, M.D.",0,0,1,0,=,=,0,=,=,=,0,=,=,=,=,=,=,=,0,=,=,=,0,=,=,=,0,=,=,=,0,=,=,=,3,=,=,=,=,=,=,=,=,=,=,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,1,=,0,=,2,"Gil N. Mileikowsky, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,None
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,98%,2%,<1%,0%,90%,0%,1%,8%,6%,7%,4%,<1%,13%,<1%,<1%,19%,41%,"David G. Diaz, M.D.",82,41,34,11,52.4,39,26.5,0.090909091,42.7,29.3,11.8,0.090909091,-21.4,-27.9,-21.7,=,44.3,30,12.9,0.1,46.1,30,12.9,0.1,31.6,20,6.5,0.1,3.7,2.4,8.8,0.090909091,3.5,3.5,3.3,3.3,30.2,0.25,0.333333333,0,4.7,0,0,0,31.4,0.333333333,0.5,0,25,17,5,0,20,0.176470588,0,=,4,3.8,3.2,=,21,11,47.6,0.454545455,3.6,4.1,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KATHLEEN L. KORNAFEL, M.D., PH.D.",,GLENDALE,CALIFORNIA,99%,0%,0%,1%,34%,0%,0%,7%,1%,24%,0%,1%,12%,3%,7%,24%,21%,"Kathleen L. Kornafel, M.D., Ph.D.",25,13,14,13,52,0.538461538,0.428571429,0.153846154,48,0.384615385,0.357142857,0,-39.2,=,=,=,48,0.416666667,0.416666667,0,54.5,0.416666667,0.454545455,0,27.3,0.166666667,0.181818182,0,0,0.076923077,0.142857143,0.461538462,3.7,3.8,5.2,3.8,0.230769231,0.285714286,0.5,0,0.307692308,0.285714286,0,0,0.5,0.6,0.6,=,1,0,3,1,0,=,0,0,1,=,2,1,17,7,0.588235294,0.142857143,3,4.1,"Kathleen L. Kornafel, M.D., Ph.D.",Yes,Yes,Yes,Yes,Yes,No,Yes
"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC.",,GREENBRAE,CALIFORNIA,100%,0%,0%,0%,51%,0%,3%,15%,4%,24%,1%,2%,19%,5%,7%,13%,10%,"Sae H. Sohn, M.D.",47,38,53,24,36.2,55.3,24.5,29.2,34,44.7,22.6,12.5,-27.1,-31.6,-22.5,-25.7,34.8,44.7,25.5,13.6,37.2,45.9,26.1,14.3,25.6,29.7,19.6,14.3,2.1,0,11.3,8.3,2.6,3.1,3.4,3.4,0.294117647,33.3,0.307692308,0,0.058823529,0,0.076923077,0,0.3125,0.352941176,0.25,0,18,15,5,2,0.333333333,0.333333333,0.4,0.5,2.4,2.8,3.6,2.5,31,16,54.8,0.375,2.4,3.6,"Advanced Fertility Associates Medical Group, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
"COASTAL FERTILITY MEDICAL CENTER, INC.",,IRVINE,CALIFORNIA,100%,0%,0%,0%,85%,0%,4%,3%,<1%,11%,3%,3%,31%,5%,5%,8%,30%,"Lawrence B. Werlin, M.D.",79,52,64,19,48.1,26.9,17.2,0.157894737,43,23.1,10.9,0.052631579,-21.9,-22.9,-15.3,=,43.6,24.5,13.2,0.0625,45.3,27.9,13.7,0.076923077,25.3,20.9,11.8,0.076923077,1.3,5.8,17.2,0.157894737,3.5,3.4,3.9,4,28.9,0.214285714,0,0,21.1,0,0.181818182,0,44.1,0.25,0.142857143,0,20,9,7,1,40,0.444444444,0.142857143,0,4.1,3.3,4.1,2,48,24,50,37.5,3.5,3.7,"Coastal Fertility Medical Center, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF SOUTHERN CALIFORNIA,,IRVINE,CALIFORNIA,100%,0%,0%,0%,76%,5%,2%,14%,5%,11%,5%,<1%,19%,14%,16%,7%,8%,"Ilene E. Hatch, M.D.",19,13,38,8,0.473684211,0.384615385,28.9,0.125,0.473684211,0.307692308,23.7,0,=,=,-27,=,0.5,0.333333333,30,0,0.6,0.4,31,0,0.266666667,0.2,17.2,0,0.052631579,0.076923077,21.1,0.375,3.1,4.6,4.5,5.4,0.444444444,0.4,0.454545455,0,0.222222222,0,0.272727273,0,0.555555556,0.5,0.444444444,=,12,5,3,6,0.5,0.4,0.333333333,0.333333333,4.4,3.4,4.7,3,12,5,0.666666667,0.4,2.8,3.2,Fertility Center of Southern California,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS--UNIVERSITY OF CALIFORNIA,SAN DIEGO REGIONAL FERTILITY CENTER,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,76%,0%,5%,4%,2%,2%,4%,3%,11%,26%,7%,9%,32%,"V. Gabriel Garzo, M.D.",62,36,29,23,50,58.3,37.9,34.8,41.9,44.4,24.1,17.4,-24.5,-32.5,-31.1,-31,44.8,51.6,31.8,0.25,45.6,51.6,33.3,0.266666667,31.6,32.3,33.3,0.133333333,6.5,13.9,24.1,30.4,2.3,2.9,4,4,32.3,28.6,0.181818182,0,3.2,4.8,0,0.25,30.8,0.375,0,0.5,15,12,7,0,0.4,0.25,0.285714286,=,2.5,2.3,3.4,=,30,22,56.7,50,2,2.5,"Reproductive Partners--University of California, San Diego Regional Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,35%,0%,23%,6%,<1%,13%,2%,1%,5%,8%,4%,41%,19%,"Samuel H. Wood, M.D., Ph.D.",10,4,4,6,0.4,0.5,0.25,0,0.3,0.5,0.25,0,=,=,=,=,0.428571429,0.666666667,0.25,0,0.5,0.666666667,0.25,0,0.333333333,0.333333333,0.25,0,0.3,0.25,0,0.5,2.5,2.7,3.5,2.5,0,0.5,0,=,0.25,0,0,=,0.333333333,0.5,0,=,5,4,1,1,0.4,0.25,1,0,2.6,3.3,4,5,48,41,54.2,58.5,2.8,3.3,Reproductive Sciences Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCRIPPS CLINIC FERTILITY CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,73%,0%,<1%,6%,3%,28%,3%,3%,7%,2%,3%,24%,21%,"Jeffrey S. Rakoff, M.D.",52,31,19,11,26.9,25.8,0.315789474,0.181818182,21.2,22.6,0.315789474,0.090909091,-22.2,-29.4,=,=,22.4,28,0.428571429,0.111111111,23.9,29.2,0.428571429,0.111111111,15.2,16.7,0.428571429,0.111111111,5.8,19.4,0.263157895,0.181818182,2.9,3.2,3,3.4,0.285714286,0.5,0,0,0,0,0,0,0.363636364,0.428571429,0,0,11,6,2,2,0,0,0,0,2.4,2.5,1.5,2,14,8,0.428571429,0.125,2.5,2.4,Scripps Clinic Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
