OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ADVANCED FERTILITY CARE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,48%,1%,0%,1%,8%,2%,3%,27%,4%,0%,13%,<1%,14%,5%,0.32,"Nathaniel Zoneraich, MD",48.00,23.00,17.00,3.00,0.00,60.80,52.30,28.10,0.50,=,64.60,60.90,0.41,0.67,=,58.30,60.90,0.29,0.33,=,(43.2Ð72.4),(38.5Ð80.3),,,,65.1,66.7,0.33,0.33,=,66.7,66.7,0.33,0.33,=,33.3,28.6,0.20,0.33,=,10.4,8.7,0.12,0.00,=,1.9,2.1,2.1,2,=,45.2,0.50,0.43,0.50,=,6.5,0.07,0.00,0.00,=,50,0.57,0.40,0.00,=,8,3,1,0,0,0.38,0.00,0.00,=,=,1.9,2,2,=,=,17,1,0.47,0.00,1.8,2,Advanced Fertility Care,Yes,No,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,84%,0%,<1%,0%,0%,3%,3%,8%,3%,2%,32%,<1%,11%,9%,0.29,"Ketan S. Patel, MD",58.00,39.00,20.00,10.00,1.00,42.30,28.20,16.30,0.07,=,58.60,51.30,50.00,0.10,0.00,46.60,41.00,35.00,0.10,0.00,(33.3Ð60.1),(25.6Ð57.9),(15.4Ð59.2),,,50.9,42.1,35,0.13,=,52.9,43.2,0.37,0.17,=,31.4,32.4,0.37,0.17,=,8.6,2.6,0,0.20,1.00,2,2.1,2.6,2.5,=,35.3,20,0.00,0.00,=,2.9,0,0.00,0.00,=,40.7,0.25,0.00,0.00,=,19,9,5,0,0,0.32,0.11,0.60,=,=,2.2,2.1,2.6,=,=,15,11,0.53,0.45,2,2.1,Arizona Associates for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,98%,0%,2%,27%,3%,2%,<1%,18%,0%,2%,16%,33%,10%,6%,0.11,"Jay S. Nemiro, MD",14.00,10.00,14.00,9.00,4.00,29.20,13.00,14.30,3.10,0.17,0.36,0.20,0.36,0.22,0.25,0.36,0.20,0.21,0.11,0.25,,,,,,0.36,0.20,0.21,0.11,0.33,0.45,0.25,0.27,0.13,0.50,0.27,0.13,0.27,0.13,0.50,0.00,0.00,0.00,0.00,0.25,2.2,2.9,2.5,4,3,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.50,0.00,0.00,0.00,13,2,3,4,1,0.31,0.50,0.00,0.25,0.00,2.6,3,3.7,3.5,3,21,18,42.9,0.39,2,2.6,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IVF PHOENIX,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,77%,0%,0%,0%,0%,17%,2%,9%,2%,2%,32%,5%,12%,15%,0.05,"John L. Couvaras, MD",17.00,5.00,12.00,1.00,0.00,32.30,0.18,12.00,0.00,=,0.35,0.40,0.25,0.00,=,0.29,0.40,0.17,0.00,=,,,,,,0.33,0.40,0.17,0.00,=,0.36,0.50,0.20,0.00,=,0.14,0.50,0.20,0.00,=,0.12,0.00,0.00,0.00,=,2.2,2.8,2.5,1,=,0.33,0.00,0.00,=,=,0.17,0.00,0.00,=,=,0.60,0.00,0.00,=,=,12,3,8,0,0,0.25,0.67,0.00,=,=,2.9,2.3,2.5,=,=,3,4,0.33,0.00,2,2.8,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,0%,0%,0%,97%,4%,1%,2%,0%,<1%,62%,23%,2%,<1%,5%,3%,<1%,2%,0.02,"Randall Craig, MD",60.00,33.00,27.00,10.00,10.00,33.10,18.90,15.70,9.10,0.13,46.70,42.40,33.30,0.30,0.20,43.30,36.40,18.50,0.20,0.20,(30.6Ð56.8),(20.4Ð54.9),(6.3Ð38.1),,,43.3,36.4,18.5,0.20,0.20,51,41.4,22.7,0.25,0.25,29.4,37.9,22.7,0.25,0.25,0,0,0,0.00,0.00,2.4,2.6,2.3,2.8,2,32.1,0.07,0.11,0.00,0.00,7.1,0.00,0.00,0.00,0.00,42.3,0.08,0.00,0.00,0.00,68,22,17,7,4,54.4,27.3,0.35,0.29,0.50,2.5,2.4,2.5,2.7,2,36,43,41.7,37.2,2,2.6,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,No,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,48%,0%,<1%,4%,<1%,12%,8%,13%,28%,1%,14%,5%,<1%,10%,0.08,"Timothy J. Gelety, MD",121.00,71.00,54.00,15.00,8.00,29.50,22.50,12.80,7.30,0.00,45.50,50.70,31.50,0.13,0.00,38.80,40.80,20.40,0.13,0.00,(30.1Ð48.1),(29.3Ð53.2),(10.6Ð33.5),,,39.5,42,20.4,0.13,0.00,46.5,44.6,22.9,0.14,0.00,33.7,32.3,18.8,0.07,0.00,1.7,2.8,0,0.00,0.25,2.4,3.1,3.1,2.9,2.8,21.8,19.4,0.18,0.50,=,7.3,5.6,0.00,0.00,=,27.7,27.6,0.18,0.50,=,68,33,14,2,7,27.9,33.3,0.14,0.00,0.00,3.6,3.7,3.6,1,2.4,7,11,0.29,0.64,2.9,3.6,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,92%,0%,4%,2%,24%,9%,8%,13%,5%,3%,13%,5%,10%,12%,0.22,"Scot M. Hutchison, MD",47.00,26.00,20.00,6.00,0.00,36.20,46.20,20.00,0.00,=,42.60,57.70,20.00,0.00,=,36.20,50.00,20.00,0.00,=,(22.7Ð51.5),(29.9Ð70.1),(5.7Ð43.7),,,38.6,52,20,0.00,=,45.9,61.9,0.29,0.00,=,40.5,52.4,0.21,0.00,=,6.4,3.8,0,0.33,=,1.6,1.9,1.8,1.5,=,15,0.27,0.25,=,=,0,0.00,0.00,=,=,0.12,0.15,0.25,=,=,20,7,10,6,1,40,0.14,0.10,0.00,0.00,1.5,1.3,2,1.7,2,19,17,0.58,0.18,1.5,1.2,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,33%,0%,0%,<1%,12%,16%,13%,6%,8%,<1%,18%,<1%,19%,7%,0.13,"Dean M. Moutos, MD",138.00,51.00,33.00,7.00,0.00,39.30,23.20,14.70,0.07,=,57.20,35.30,30.30,0.14,=,51.40,31.40,21.20,0.14,=,(42.8Ð60.0),(19.1Ð45.9),(9.0Ð38.9),,,54.6,34.8,23.3,0.17,=,55.5,39,25,0.20,=,43.8,26.8,21.4,0.20,=,5.8,9.8,9.1,0.14,=,1.9,2.3,2.7,3,=,22.8,0.22,0.10,0.00,=,0,0.06,0.00,0.00,=,21.1,0.31,0.14,0.00,=,46,12,16,6,0,28.3,0.17,0.13,0.00,=,1.9,1.8,1.8,2.3,=,20,11,75,0.18,1.8,1.8,Arkansas Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LIFESTART FERTILITY CENTER,,AGOURA HILLS,CALIFORNIA,100%,0%,0%,0%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,0%,8%,15%,0.39,"Anita P. Singh, MD",2.00,3.00,2.00,0.00,0.00,0.67,0.00,0.80,=,=,1.00,0.00,0.50,=,=,1.00,0.00,0.50,=,=,,,,,,1.00,0.00,0.50,=,=,1.00,0.00,0.50,=,=,0.00,0.00,0.50,=,=,0.00,0.00,0.00,=,=,3,3.3,2.5,=,=,1.00,=,0.00,=,=,0.00,=,1.00,=,=,1.00,=,0.00,=,=,2,1,2,0,0,0.50,1.00,0.00,=,=,2,2,2,=,=,1,0,1.00,=,2,=,LifeStart Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,69%,0%,0%,9%,0%,0%,5%,10%,7%,2%,20%,2%,10%,7%,0.37,"Brian C. Su, MD",9.00,10.00,8.00,5.00,2.00,0.32,34.60,12.50,13.60,0.00,0.56,0.50,0.38,0.40,0.00,0.44,0.50,0.25,0.00,0.00,,,,,,0.44,0.50,0.29,0.00,0.00,0.50,0.56,0.29,0.00,0.00,0.38,0.22,0.29,0.00,0.00,0.00,0.00,0.13,0.00,0.00,2.4,2.9,3.4,4.4,2.5,0.20,0.40,0.00,0.50,=,0.00,0.20,0.00,0.00,=,0.25,0.60,0.00,=,=,2,0,0,0,1,0.00,=,=,=,0.00,2.5,=,=,=,1,0,2,=,0.00,=,1.5,Garfield Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
