PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"ART LABORATORY, UNIVERSITY PHYSICIANS, INC.",THE UNIVERSITY OF ARIZONA,TUCSON,ARIZONA,100%,0%,0%,0%,21%,0%,11%,3%,11%,0%,0%,3%,0%,11%,31%,30%,"Scot Hutchison, M.D.",11,4,9,3,0.454545455,0.5,0.222222222,0.333333333,0.454545455,0.25,0.222222222,0.333333333,=,=,=,=,0.454545455,0.333333333,0.222222222,0.333333333,0.5,0.333333333,0.25,0.333333333,0,0.25,0,0,2.6,2.7,3.4,2.7,0.2,0.5,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,=,=,=,0,=,=,=,4,6,1,0.5,0,2.3,3,"ART Laboratory, University Physicians, Inc., The University of Arizona",Yes,No,Yes,No,Yes,Yes,Yes
INTRAVAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,0%,0%,28%,24%,0%,0%,0%,0%,0%,14%,29%,5%,"Francisco Batres, M.D.",15,5,1,0,0.066666667,0.4,0,=,0.066666667,0.4,0,=,=,=,=,=,0.1,0.4,0,=,0.1,0.4,0,=,0.333333333,0,0,=,2.5,2.8,0,=,0,0.5,=,=,0,0,=,=,0,0.5,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Intravaginal Culture Fertilization Program of Arkansas,No,No,No,No,No,Yes,Yes
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,,LITTLE ROCK,ARKANSAS,>99%,<1%,0%,0%,19%,0%,26%,10%,8%,15%,1%,12%,6%,2%,10%,10%,"Dean M. Moutos, M.D.",115,40,27,8,40.9,42.5,25.9,0,39.1,35,22.2,0,-17.9,-29.6,-31.4,=,45,41.2,27.3,0,46.4,43.8,30,0,13,15,18.5,0.625,2.3,2.2,2.9,3.5,36.2,0.235294118,0.714285714,=,8.5,0,0,=,37.8,0.071428571,0.666666667,=,38,12,3,0,26.3,0.166666667,0,=,2.8,2.8,2.3,=,8,4,0.375,0.25,2.5,2.5,University of Arkansas for Medical Sciences IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
GARFIELD FERTILITY CENTER,,ALHAMBRA ,CALIFORNIA,100%,0%,0%,0%,42%,0%,17%,4%,4%,4%,0%,26%,4%,9%,11%,21%,"Brian C. Su, M.D.",17,3,11,5,0.352941176,1,0.363636364,0.6,0.294117647,0.666666667,0.272727273,0.6,=,=,=,=,0.333333333,0.666666667,0.3,0.75,0.333333333,0.666666667,0.3,0.75,0.117647059,0,0.090909091,0.2,3.4,3.3,3.6,4.5,0,0,0.25,0.333333333,0.333333333,0,0,0,0.4,0,0.333333333,0.333333333,2,3,0,0,0,0,=,=,3,2,=,=,1,0,0,=,3,=,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
"GIL N. MILEIKOWSKY, M.D.",,BEL AIR    ,CALIFORNIA,95%,0%,5%,0%,15%,0%,4%,0%,0%,4%,9%,4%,22%,0%,39%,18%,"Gil N. Mileikowsky, M.D.",3,5,3,3,0,0.2,0.333333333,0.333333333,0,0,0.333333333,0,=,=,=,=,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,3,3.8,3.3,4.7,=,0,0,0,=,0,0,0,=,=,0,=,0,2,0,0,=,0.5,=,=,=,3,=,=,1,0,1,=,6,=,"Gil N. Mileikowsky, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,99%,1%,0%,0%,47%,0%,18%,3%,17%,4%,1%,8%,2%,9%,23%,15%,"Ryszard J. Chetkowski, M.D.",24,31,26,10,54.2,38.7,15.4,0.1,41.7,25.8,7.7,0.1,-39.5,-30.8,-17.9,=,45.5,29.6,8.7,0.1,45.5,29.6,8.7,0.1,8.3,12.9,11.5,0,2.9,3.5,3.7,4.7,0,0.083333333,0,0,0,0,0,0,0,0.125,0,0,7,8,1,1,0.285714286,0.125,0,0,2.3,2.8,3,1,26,10,34.6,0.3,2.7,1.7,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS    ,CALIFORNIA,>99%,<1%,0%,0%,30%,0%,11%,2%,15%,5%,3%,15%,7%,3%,22%,17%,"Mark W. Surrey, M.D.",56,37,48,14,53.6,35.1,45.8,0.214285714,46.4,29.7,33.3,0.214285714,-26.1,-29.5,-26.7,=,47.3,31.4,36.4,0.214285714,47.3,32.4,44.4,0.214285714,1.8,5.4,8.3,0,3,2.9,3.1,3.8,30,0.153846154,13.6,0,3.3,0,4.5,0,38.5,0.090909091,0.125,0,6,3,2,1,0.666666667,0.666666667,0.5,1,2.3,3.3,4,1,20,4,60,0.25,3.1,2.8,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Pending
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS    ,CALIFORNIA,>99%,0%,<1%,0%,34%,<1%,10%,7%,23%,5%,<1%,31%,2%,10%,2%,9%,"Hal Danzer, M.D.",35,27,18,12,54.3,40.7,0.333333333,0.25,54.3,40.7,0.333333333,0.25,-33,-37.1,=,=,55.9,40.7,0.333333333,0.272727273,57.6,42.3,0.333333333,0.272727273,2.9,0,0,0.083333333,3,3.3,3.8,3.6,0.578947368,0.181818182,0,0,0,0.090909091,0.166666667,0,0.473684211,0.272727273,0,0,5,5,2,0,0,0.2,0,=,2.2,3.4,4.5,=,13,1,0.615384615,0,2.8,3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,51%,0%,3%,23%,2%,3%,0%,18%,26%,18%,1%,6%,"Michael Kamrava, M.D.",30,23,8,3,20,13,0,0.333333333,20,4.3,0,0.333333333,-28.6,-12.7,=,=,22.2,4.8,0,0.333333333,22.2,4.8,0,0.333333333,10,8.7,0.25,0,3.7,3.6,2.2,2,0.166666667,0,=,0,0,0,=,0,0.166666667,0,=,0,1,0,0,1,0,=,=,0,5,=,=,3,13,2,0,0,3.5,4,"West Coast Infertility Medical Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,79%,0%,8%,3%,10%,11%,1%,19%,9%,25%,6%,8%,"Christo Zouves, M.D.",94,80,83,32,38.3,30,26.5,21.9,34,26.3,20.5,15.6,-19.1,-19.3,-17.4,-25.2,34.8,28,21.3,18.5,34.8,28.4,21.3,18.5,2.1,6.3,3.6,15.6,3.5,4.2,4.3,4.3,30.6,29.2,27.3,0.285714286,27.8,20.8,13.6,0,56.3,38.1,0.411764706,0.4,25,9,8,4,24,0.222222222,0.5,0,4.4,4.1,5.5,5,41,6,43.9,0.166666667,4,3.7,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Pending
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY    ,CALIFORNIA,>99%,0%,<1%,0%,89%,0%,16%,6%,12%,5%,<1%,18%,6%,3%,11%,22%,"David G. Diaz, M.D.",83,39,33,9,50.6,35.9,18.2,0.333333333,42.2,20.5,6.1,0.222222222,-21.3,-25.4,-14.2,=,42.2,20.5,6.5,0.222222222,42.7,21.6,7.4,0.222222222,0,0,6.1,0,4.2,4.9,5.2,5.3,45.2,0.357142857,0.166666667,0.333333333,14.3,0.142857143,0,0,42.9,0.5,0.5,0.5,22,3,8,2,36.4,0.666666667,0,0,5.4,4,5.9,5,9,10,0.333333333,0.4,3.7,6.5,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MARIN FERTILITY MEDICAL GROUP,,GREENBRAE    ,CALIFORNIA,100%,0%,0%,0%,56%,0%,7%,5%,12%,0%,3%,22%,9%,18%,11%,13%,"Sae H. Sohn, M.D.",11,14,15,7,0.272727273,0.357142857,0.533333333,0,0.272727273,0.214285714,0.333333333,0,=,=,=,=,0.272727273,0.214285714,0.333333333,0,0.272727273,0.214285714,0.333333333,0,0,0,0,0,3.1,3.8,3.7,3.7,0.333333333,0.6,0.25,=,0.333333333,0,0.25,=,0.666666667,0.333333333,0.8,=,1,6,0,0,0,0.333333333,=,=,3,3.8,=,=,3,2,0,0.5,3.3,3,Marin Fertility Medical Group,Yes,No,Yes,Yes,Yes,Yes,Yes
"COASTAL FERTILITY MEDICAL CENTER, INC.",,IRVINE,CALIFORNIA,100%,0%,0%,0%,54%,0%,11%,3%,8%,11%,3%,28%,2%,7%,8%,19%,"Lawrence B. Werlin, M.D.",80,72,60,22,31.3,34.7,25,13.6,25,26.4,21.7,9.1,-19,-20.4,-20.9,-21.1,26,29.7,24.1,10,26.7,29.7,25.5,10,3.8,11.1,10,9.1,4.2,4.4,4.5,4.2,32,20,0.2,0,16,24,0.133333333,0,55,0.473684211,0.307692308,0,11,7,10,3,0.272727273,0.285714286,0.1,0,3.8,3.9,4,3.7,22,13,45.5,0.153846154,4.5,3.4,"Coastal Fertility Medical Center, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
LA JOLLA IVF,SMOTRICH CENTER FOR REPRODUCTIVE ENHANCEMENT,LA JOLLA     ,CALIFORNIA,100%,0%,0%,0%,78%,0%,13%,1%,13%,5%,14%,12%,12%,0%,20%,10%,"David B. Smotrich, M.D.",18,8,9,2,0.444444444,0.125,0.333333333,0,0.333333333,0.125,0.222222222,0,=,=,=,=,0.333333333,0.125,0.222222222,0,0.333333333,0.125,0.25,=,0,0,0,0,4.2,4.4,4.1,=,0.375,0,0,=,0.25,0,0.333333333,=,0.333333333,0,0.5,=,6,1,1,0,0.5,0,0,=,3.8,2,5,=,11,0,0.363636364,=,4.6,=,"La Jolla IVF, Smotrich Center for Reproductive Enhancement",Yes,Yes,Yes,Yes,Yes,No,No
REPRODUCTIVE PARTNERS--SAN DIEGO,,LA JOLLA ,CALIFORNIA,100%,0%,0%,0%,52%,0%,12%,6%,<1%,7%,5%,18%,9%,8%,10%,24%,"Gabriel V. Garzo, M.D.",43,40,22,17,39.5,47.5,22.7,0.235294118,37.2,40,18.2,0.117647059,-28.9,-30.4,-32.2,=,42.1,44.4,0.25,0.142857143,44.4,47.1,0.285714286,0.142857143,11.6,10,27.3,0.176470588,2.6,3.3,3.8,3.8,0.470588235,0.210526316,0.2,0.25,0.058823529,0.052631579,0,0,0.5,0.1875,0.25,0,12,11,5,3,0.416666667,0.363636364,0,0,2.9,3.2,3.4,3,36,13,66.7,0.307692308,2.3,3,Reproductive Partners--San Diego,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA ,CALIFORNIA,100%,0%,0%,0%,47%,0%,6%,1%,21%,0%,5%,12%,4%,3%,23%,25%,"Samuel H. Wood, M.D., Ph.D.",18,14,13,6,0.388888889,0.571428571,0.384615385,0.166666667,0.333333333,0.428571429,0.307692308,0.166666667,=,=,=,=,0.4,0.5,0.363636364,0.2,0.428571429,0.545454545,0.444444444,0.25,0.166666667,0.142857143,0.153846154,0.166666667,2.8,3.7,3,3,0.285714286,0.625,0.4,1,0.142857143,0,0.2,0,0.166666667,0.666666667,0.25,1,5,1,2,0,0.8,1,0.5,=,3.8,4,5,=,14,8,0.5,0.5,3.5,4,Reproductive Sciences Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCRIPPS CLINIC FERTILITY CENTER,,LA JOLLA ,CALIFORNIA,100%,0%,0%,0%,68%,5%,8%,<1%,3%,4%,<1%,3%,<1%,0%,36%,44%,"Jeffrey S. Rakoff, M.D.",33,19,20,17,21.2,0.157894737,5,0.058823529,15.2,0.052631579,0,0,-24.5,=,-100,=,17.2,0.0625,0,0,17.2,0.066666667,0,0,12.1,0.157894737,15,0.176470588,3.3,3.3,3.2,2.6,0.428571429,0.333333333,0,0,0.142857143,0,0,0,0.6,0,=,=,7,1,5,2,0.142857143,0,0.2,0,2,3,3.6,1.5,10,11,0.1,0,3,3.2,Scripps Clinic Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"JANE L. FREDERICK, M.D., INC.",,LAGUNA HILLS,CALIFORNIA,100%,0%,0%,0%,73%,0%,7%,0%,3%,3%,3%,32%,0%,6%,23%,23%,"Jane L. Frederick, M.D.",9,5,6,1,0.111111111,0.2,0.166666667,1,0.111111111,0.2,0.166666667,0,=,=,=,=,0.111111111,0.2,0.166666667,0,0.111111111,0.2,0.166666667,0,0,0,0,0,3.2,3.8,4,6,1,0,1,0,0,1,0,0,1,1,0,=,3,2,0,0,0,0,=,=,3,2,=,=,1,0,0,=,3,=,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,,LOMA  LINDA     ,CALIFORNIA,>99%,<1%,0%,0%,61%,0%,22%,<1%,2%,4%,<1%,21%,1%,13%,18%,17%,"John D. Jacobson, M.D.",55,30,24,13,56.4,26.7,33.3,0.076923077,47.3,26.7,20.8,0.076923077,-26.4,-31.7,-32.5,=,53.1,29.6,25,0.111111111,56.5,29.6,25,0.125,10.9,10,16.7,0.307692308,3.1,3.6,3.9,3.5,19.4,0.125,0.375,0,0,0.25,0,0,11.5,0.375,0.6,0,5,7,2,0,0,0.428571429,0,=,3.8,3.3,4,=,9,2,0.333333333,0,3.1,2,Loma Linda University Center for Fertility and IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS--LONG BEACH,,LONG BEACH    ,CALIFORNIA,91%,9%,0%,<1%,34%,1%,15%,5%,12%,7%,2%,18%,9%,8%,11%,13%,"Bill Yee, M.D.",76,55,73,33,34.2,36.4,32.9,18.2,32.9,29.1,20.5,9.1,-21.2,-24,-18.5,-18.9,40.3,35.6,26.3,13.6,41,36.4,26.8,14.3,18.4,18.2,21.9,33.3,2.9,3.4,3.9,4.5,30.8,35,25,0,3.8,5,12.5,0,36,0.4375,0.333333333,0,34,15,8,8,23.5,0.2,0,0.125,3.5,3.1,3.9,2.4,20,11,25,0.454545455,2.6,3.4,Reproductive Partners--Long Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF CALIFORNIA--LOS ANGELES,FERTILITY CENTER,LOS ANGELES    ,CALIFORNIA,100%,0%,0%,0%,24%,0%,11%,3%,21%,0%,0%,14%,15%,19%,9%,8%,"Joseph C. Gambone, D.O., M.P.H.",33,29,19,19,18.2,31,0.263157895,0.105263158,18.2,13.8,0.052631579,0.105263158,-26.3,-25.1,=,=,18.8,15.4,0.058823529,0.133333333,18.8,0.210526316,0.058823529,0.142857143,3,10.3,0.105263158,0.210526316,3.4,3.9,3.3,3.5,0.166666667,0.111111111,0.2,0,0.166666667,0,0,0,0.333333333,0.25,0,0,10,1,0,0,0,1,=,=,2.8,4,=,=,10,4,0.1,0.25,3.3,3,"University of California--Los Angeles, Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTHERN CALIFORNIA,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,LOS ANGELES    ,CALIFORNIA,98%,<1%,<1%,0%,27%,0%,3%,<1%,17%,2%,3%,6%,29%,22%,8%,10%,"Richard J. Paulson, M.D.",32,28,30,25,43.8,28.6,36.7,20,43.8,21.4,20,12,-34.3,-30.4,-28.6,-24.7,50,25,23.1,14.3,50,25,23.1,14.3,12.5,14.3,13.3,16,3,3.5,4.3,5.1,0.285714286,0,0.090909091,0.2,0,0.25,0.090909091,0,0.214285714,0.333333333,0.166666667,0.333333333,3,3,5,3,0.333333333,0,0.2,0,2.3,2.3,3,4.3,46,24,41.3,29.2,2.2,3.3,University of Southern California Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Pending
REPRODUCTIVE SPECIALTY MEDICAL CENTER,,NEWPORT BEACH    ,CALIFORNIA,100%,0%,0%,0%,52%,0%,6%,9%,28%,3%,<1%,17%,2%,7%,9%,18%,"Beth A. Ary, M.D.",17,24,16,4,0.470588235,25,0.3125,0.25,0.352941176,20.8,0.25,0,=,-32.5,=,=,0.352941176,25,0.266666667,0,0.352941176,0.263157895,0.266666667,0,0,16.7,0.0625,0.25,3.4,3.6,3.9,4,0.125,0.166666667,0.4,0,0.375,0.333333333,0,0,0.666666667,0.6,0.25,=,10,3,1,0,0.4,0.333333333,1,=,2.9,2.3,6,=,17,8,0.529411765,0.125,3.5,3.4,Reproductive Specialty Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Pending
