OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
11,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,63%,0%,0%,6%,1%,11%,4%,<1%,7%,1%,2%,38%,28%,"Sujatha Gunnala, MD",60,21,16,2,33.3,33.3,0.375,0.5,28.3,28.6,0.375,0.5,(17.5Ð41.4),(11.3Ð52.2),,,28.3,28.6,0.375,0.5,28.3,0.333333333,0.375,0.5,21.7,0.222222222,0.3125,0.5,0,0,0,0,2.3,2.1,2.1,2.5,15,0.285714286,0.166666667,0,5,0,0,0,0.235294118,0.333333333,0.166666667,0,16,4,2,2,0.375,0.5,1,0.5,2.2,2,2.5,2,9,5,0.666666667,0.6,2.2,2,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
12,ADVANCED FERTILITY CARE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,56%,0%,0%,14%,10%,19%,0%,0%,19%,0%,0%,14%,24%,"Nathaniel Zoneraich, MD",12,1,2,0,0.5,1,0.5,=,0.5,1,0,=,,,,,0.5,1,0,=,0.545454545,1,0,=,0.090909091,1,0,=,0,0,0,=,2.4,2,2.5,=,0.833333333,0,0,=,0,0,0,=,0.833333333,0,=,=,2,0,1,0,1,=,0,=,2,=,2,=,2,0,0,=,2,=,Advanced Fertility Care,Yes,No,No,Yes,Yes,No,Yes,AZ
13,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,67%,0%,0%,8%,10%,18%,3%,0%,21%,5%,7%,3%,25%,"Ketan S. Patel, MD",29,13,11,4,44.8,0.461538462,0.272727273,0.5,41.4,0.384615385,0.181818182,0.25,(23.5Ð61.1),,,,50,0.416666667,0.181818182,0.333333333,52.2,0.454545455,0.181818182,0.333333333,34.8,0.272727273,0.090909091,0,17.2,0.076923077,0,0.25,2.3,2.5,2.5,4,0.307692308,0.166666667,0,0,0,0.166666667,0.333333333,0.5,0.333333333,0.4,0.5,1,8,4,0,3,0.5,0.75,=,0,2.4,3,=,3,10,5,0.3,0.4,2.1,2.8,Arizona Associates for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
14,ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,41%,0%,59%,0%,32%,<1%,1%,5%,0%,11%,5%,0%,11%,35%,14%,13%,7%,"Jay S. Nemiro, MD",59,37,40,17,27.1,13.5,30,0.235294118,22,5.4,15,0.058823529,(12.3Ð34.7),(0.7Ð18.2),(5.7Ð29.8),,24.1,6.1,16.2,0.058823529,28.9,8.3,25,0.083333333,20,8.3,16.7,0.083333333,8.5,10.8,7.5,0,2.4,2.5,2.9,2.6,0.25,0,0.166666667,0,0.0625,0.2,0,0,0.307692308,0,0.333333333,0,17,9,5,3,0.294117647,0.444444444,0.4,0,3.2,3.4,3.8,2.3,26,10,38.5,0,2.5,2.6,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
15,FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,0%,0%,0%,85%,<1%,0%,8%,13%,24%,6%,<1%,13%,8%,4%,12%,12%,"H. Randall Craig, MD",118,52,47,17,27.1,21.2,19.1,0.117647059,21.2,17.3,8.5,0.117647059,(14.2Ð29.7),(8.2Ð30.3),(2.4Ð20.4),,22.9,19.6,11.4,0.153846154,36.2,23.1,15.4,0.222222222,23.2,17.9,11.5,0.222222222,7.6,11.5,25.5,0.235294118,2.4,2.2,2.5,2.6,34.4,0.363636364,0.111111111,0,3.1,0,0,0,36,0.222222222,0.25,0,81,40,17,5,54.3,37.5,0.352941176,0.6,2.4,2.4,2.3,1.8,35,54,40,48.1,2.1,2.4,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,28%,0%,0%,19%,2%,14%,25%,<1%,14%,18%,0%,5%,3%,"Timothy J. Gelety, MD",124,64,32,14,53.2,53.1,46.9,0.428571429,46,42.2,34.4,0.214285714,(37.0Ð55.1),(29.9Ð55.2),(18.6Ð53.2),,47.9,43.5,36.7,0.214285714,59.4,46.6,39.3,0.214285714,33.3,36.2,21.4,0.214285714,4,3.1,6.3,0,2.8,3.1,3.1,3.4,31.8,14.7,0.333333333,0,6.1,2.9,0,0,43.9,22.2,0.454545455,0,58,24,10,6,44.8,12.5,0.1,0.333333333,3.9,3.7,3.5,3.7,11,20,0.545454545,30,2.6,3.9,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
17,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,85%,0%,0%,19%,1%,<1%,4%,<1%,18%,15%,18%,18%,6%,"Scot M. Hutchison, MD",56,22,17,7,25,22.7,0.176470588,0.142857143,23.2,18.2,0.176470588,0.142857143,(13.0Ð36.4),(5.2Ð40.3),,,24.1,0.210526316,0.2,0.142857143,26,0.222222222,0.214285714,0.2,24,0.111111111,0.214285714,0.2,3.6,13.6,0.117647059,0,2.4,2.9,2.9,3.8,0.142857143,0.4,0.333333333,0,0,0,0,0,0.076923077,0.5,0,0,7,3,6,1,0.285714286,0.333333333,0.166666667,0,1.7,3,3.7,5,9,13,0.111111111,0.307692308,2.2,1.8,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
18,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,28%,0%,1%,20%,2%,8%,5%,3%,22%,2%,31%,2%,5%,"Dean M. Moutos, MD",111,34,21,4,44.1,41.2,14.3,0.25,42.3,41.2,9.5,0.25,(33.0Ð52.1),(24.6Ð59.3),(1.2Ð30.4),,47.5,45.2,0.153846154,0.333333333,48.5,50,0.166666667,0.333333333,24.7,32.1,0.083333333,0.333333333,10.8,8.8,38.1,0.25,2.4,2.3,2.7,2.7,49,0.357142857,0.333333333,0,6.1,0,0,0,48.9,0.357142857,0.5,0,38,10,7,2,15.8,0.1,0.571428571,0,2.3,2.1,2.7,3,12,5,0.666666667,0.2,2.3,2.4,Arkansas Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,AR
19,LIFESTART FERTILITY CENTER,"ANITA SINGH, MD",AGOURA HILLS,CALIFORNIA,100%,0%,0%,0%,77%,0%,0%,5%,5%,10%,5%,5%,5%,0%,5%,14%,48%,"Anita P. Singh, MD",7,3,5,1,0.714285714,1,0.4,0,0.571428571,1,0.4,0,,,,,0.571428571,1,0.4,0,0.666666667,1,0.5,0,0.333333333,0.666666667,0.5,0,0,0,0,0,2.2,2.7,2.3,4,0,0.333333333,0,=,0.4,0,0,=,0.5,0.333333333,0,=,3,0,1,0,1,=,1,=,2,=,1,=,0,0,=,=,=,=,"Lifestart Fertility Center, Anita Singh, MD",Yes,Yes,Yes,Yes,Yes,No,Yes,CA
20,GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,33%,0%,0%,4%,8%,17%,0%,4%,12%,4%,14%,25%,14%,"Brian C. Su, MD",14,10,6,4,0.428571429,0.3,0.333333333,0.25,0.285714286,0.3,0.333333333,0.25,,,,,0.307692308,0.333333333,0.333333333,0.25,0.4,0.375,0.4,0.25,0.2,0.375,0.2,0,0.071428571,0.1,0,0,2.8,2.9,2.8,3,0.166666667,0.333333333,0,1,0.166666667,0,0.5,0,0.5,0,0.5,1,5,0,1,0,0.4,=,0,=,2.2,=,3,=,4,1,1,1,2,1,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,CA
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,84%,0%,3%,6%,7%,26%,4%,2%,6%,9%,4%,21%,16%,"Ryszard J. Chetkowski, MD",18,10,17,13,0.388888889,0.5,0.352941176,0.461538462,0.333333333,0.5,0.176470588,0.230769231,,,,,0.428571429,0.555555556,0.176470588,0.230769231,0.5,0.625,0.1875,0.25,0.416666667,0.5,0.1875,0.25,0.222222222,0.1,0,0,2.7,2.5,3.1,4.1,0.142857143,0.2,0,0,0,0,0,0,0.166666667,0.2,0,0,5,9,4,8,0,0.333333333,0.5,0.25,2.6,2.3,3.5,2.9,15,22,0.533333333,40.9,2.3,2.4,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
22,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,46%,0%,3%,8%,7%,25%,9%,3%,19%,8%,11%,3%,9%,"Sam Najmabadi, MD",39,32,27,20,69.2,59.4,37,40,66.7,46.9,29.6,25,(49.8Ð80.9),(29.1Ð65.3),(13.8Ð50.2),(8.7Ð49.1),66.7,46.9,29.6,25,68.4,50,29.6,25,52.6,43.3,22.2,20,0,0,0,0,1.8,1.7,1.7,1.5,33.3,0.157894737,0.2,0.125,0,0,0,0,23.1,0.133333333,0.25,0.2,11,6,2,1,0.636363636,0.5,1,1,2.2,2.2,1.5,3,11,4,0.818181818,1,1.9,2,"Center for Reproductive Health & Gynecology, (CRH&G)",Yes,No,Yes,Yes,Yes,Yes,Yes,CA
23,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,50%,0%,0%,8%,5%,24%,8%,1%,17%,10%,12%,10%,6%,"Hal Danzer, MD",31,29,42,17,67.7,31,31,0.294117647,67.7,31,23.8,0.235294118,(48.6Ð83.3),(15.3Ð50.8),(12.1Ð39.5),,70,33.3,25,0.25,70,34.6,27,0.285714286,56.7,26.9,18.9,0.142857143,3.2,6.9,4.8,0.058823529,1.9,2.3,2.8,3.1,23.8,0.222222222,0.153846154,0.4,4.8,0,0.076923077,0,19,0.222222222,0.3,0.5,9,6,4,3,0.444444444,0,0,0.333333333,2.3,2.2,2.8,2.7,19,7,0.526315789,0.428571429,1.9,2.7,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
24,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,55%,0%,3%,6%,5%,4%,2%,1%,6%,9%,3%,36%,26%,"Mark W. Surrey, MD",61,42,65,33,54.1,50,27.7,39.4,47.5,47.6,21.5,27.3,(34.6Ð60.7),(32.0Ð63.6),(12.3Ð33.5),(13.3Ð45.5),49.2,48.8,23,28.1,51.8,58.8,27.5,30,33.9,47.1,25.5,23.3,3.3,2.4,6.2,3,2.1,2.4,2.2,2.6,24.2,14.3,0.111111111,0.230769231,6.1,9.5,0.055555556,0,34.5,20,0.071428571,0.222222222,10,13,5,1,0.3,0.307692308,0,0,2.5,2.1,2.2,3,30,7,60,0.571428571,1.9,2.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
25,"WEST COAST IVF CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,77%,0%,0%,15%,0%,0%,10%,2%,15%,7%,18%,12%,23%,"Michael Kamrava, MD",20,9,13,10,20,0,0.076923077,0,10,0,0,0,(1.2Ð31.7),,,,0.111111111,0,0,0,0.133333333,0,0,0,0.066666667,0,0,0,10,0.222222222,0.076923077,0.2,3.5,2.3,2.3,2.5,0.25,=,0,=,0,=,0,=,0.5,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,3,1,0,0,3,2,"West Coast IVF Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,CA
26,FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,66%,0%,4%,7%,3%,27%,2%,0%,15%,4%,27%,2%,13%,"C. Terence Lee, MD",37,21,19,10,35.1,28.6,0.315789474,0.2,35.1,19,0.210526316,0.1,(20.2Ð52.5),(5.4Ð41.9),,,44.8,0.285714286,0.285714286,0.111111111,48.1,0.285714286,0.285714286,0.111111111,18.5,0.142857143,0.214285714,0.111111111,21.6,33.3,0.263157895,0.1,3.2,3.6,4.1,3.8,0.538461538,0.166666667,0.166666667,0,0.076923077,0.166666667,0.166666667,0,0.615384615,0.5,0.25,0,11,8,1,1,0.272727273,0,0,0,2.5,2.3,2,4,9,4,0.555555556,0,2,1.8,Fertility Care of Orange County,Yes,No,Yes,Yes,Yes,No,Yes,CA
27,CENTRAL CALIFORNIA IVF PROGRAM,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,96%,4%,0%,0%,45%,0%,0%,13%,7%,16%,1%,0%,18%,3%,4%,15%,22%,"H. Michael Synn, MD",63,31,28,17,33.3,32.3,10.7,0,28.6,22.6,7.1,0,(17.9Ð41.3),(9.6Ð41.1),(0.9Ð23.5),,34.6,26.9,9.1,0,35.3,26.9,10,0,19.6,11.5,10,0,17.5,16.1,21.4,0.470588235,2.7,3,3.5,3.3,38.1,0.5,0.333333333,=,9.5,0,0,=,0.444444444,0.571428571,0,=,4,2,2,0,0,0,0,=,2,3,2.5,=,12,0,0.166666667,=,3.2,=,"Central California IVF Program, Women's Specialty and Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
28,ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,96%,0%,8%,4%,11%,21%,5%,2%,9%,11%,5%,15%,19%,"Christo Zouves, MD",68,78,92,52,47.1,43.6,37,17.3,45.6,38.5,30.4,11.5,(33.5Ð58.1),(27.7Ð50.2),(21.3Ð40.9),(4.4Ð23.4),46.3,39,31.8,11.8,47,41.1,36.8,14,27.3,26,21.1,14,1.5,1.3,4.3,1.9,2.9,3.2,3.1,2.3,34.4,29.4,29.4,0.111111111,9.4,2.9,8.8,0,41.9,36.7,42.9,0,39,19,7,1,35.9,0.210526316,0.142857143,0,3.5,3.5,3,5,84,62,51.2,33.9,2.6,3.5,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
29,"CALIFORNIA IVF: DAVIS FERTILITY CENTER, INC.",,DAVIS,CALIFORNIA,100%,0%,0%,0%,55%,0%,0%,9%,6%,16%,6%,<1%,23%,0%,7%,12%,21%,"Ernest J. Zeringue, MD",43,31,14,10,39.5,29,0.428571429,0.1,37.2,19.4,0.214285714,0,(23.0Ð53.3),(7.5Ð37.5),,,39,23.1,0.214285714,0,43.2,24,0.230769231,0,29.7,24,0.153846154,0,4.7,16.1,0,0.3,2.1,2.4,2.6,2.2,0.294117647,0,0.5,0,0.058823529,0,0,0,0.3125,0,0.333333333,=,17,3,3,0,0.294117647,0.666666667,0.333333333,=,2.2,2,3,=,7,0,0.714285714,=,2,=,"California IVF: Davis Fertility Center, Inc.",Yes,Yes,Yes,Yes,Yes,No,No,CA
30,"THE FERTILITY INSTITUTESÐCALIFORNIA, NEVADA",,ENCINO,CALIFORNIA,100%,0%,0%,0%,76%,0%,2%,10%,1%,7%,0%,1%,8%,51%,5%,13%,5%,"Jeffrey Steinberg, MD",57,40,28,2,59.6,65,42.9,0.5,54.4,57.5,39.3,0.5,(40.7Ð67.6),(40.9Ð73.0),(21.5Ð59.4),,57.4,65.7,52.4,0.5,57.4,65.7,52.4,0.5,33.3,48.6,42.9,0.5,5.3,12.5,25,0,2.6,2.8,2.5,2,35.3,23.1,0.083333333,0,8.8,0,0.083333333,0,41.9,26.1,0.181818182,0,6,7,2,3,0,0.285714286,0.5,0,2.8,2.6,3,3.3,38,15,44.7,0.4,3,3.2,"The Fertility InstitutesÐCalifornia, Nevada",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
