OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
11,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,62%,0%,1%,0%,5%,2%,3%,2%,2%,4%,2%,3%,47%,31%,"Sujatha Gunnala, MD",50,24,7,7,1,48,25,0.142857143,0.285714286,0,40,12.5,0,0.285714286,0,(26.4Ð54.8),(2.7Ð32.4),,,,40.8,12.5,0,0.285714286,0,41.7,13,0,0.285714286,0,22.9,13,0,0.142857143,0,2,0,0,0,0,2.5,2.5,2.6,3.1,2,37.5,0,0,0.5,=,4.2,0,0,0,=,45,0,=,0.5,=,15,7,3,2,0,0.466666667,0.142857143,0.666666667,0.5,=,2.8,2.7,3.3,2,=,4,6,0.25,0.333333333,2,2.7,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
12,ADVANCED FERTILITY CARE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,44%,0%,0%,0%,5%,2%,15%,2%,0%,17%,2%,5%,19%,33%,"Nathaniel Zoneraich, MD",60,15,13,1,0,56.7,0.666666667,0.538461538,0,=,48.3,0.666666667,0.230769231,0,=,(35.2Ð61.6),,,,,51.8,0.714285714,0.333333333,0,=,52.7,0.714285714,0.375,0,=,29.1,0.428571429,0.375,0,=,6.7,0.066666667,0.307692308,0,=,2.1,2.1,2.5,3,=,50,0.4,0,=,=,0,0,0,=,=,44.8,0.4,0,=,=,9,1,1,0,0,0.666666667,1,1,=,=,2.2,3,2,=,=,11,2,0.727272727,0.5,2,2,Advanced Fertility Care,Yes,No,No,Yes,Yes,Yes,Yes,AZ
13,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,81%,0%,1%,0%,6%,5%,14%,0%,0%,26%,<1%,16%,3%,29%,"Ketan S. Patel, MD",37,15,26,7,5,56.8,0.266666667,30.8,0.285714286,0,45.9,0.066666667,19.2,0.285714286,0,(29.5Ð63.1),,(6.6Ð39.4),,,47.2,0.083333333,25,0.333333333,0,50,0.090909091,0.263157895,0.333333333,0,26.5,0,0.157894737,0.333333333,0,2.7,0.2,23.1,0.142857143,0.2,2.1,2.3,2.6,2.7,3,38.1,0.25,0.125,0,=,4.8,0,0.125,0,=,0.470588235,1,0.4,0,=,12,2,3,0,1,0.666666667,0,0.333333333,=,0,2.5,2,2.3,=,3,5,6,0.8,0.166666667,2,2.3,Arizona Associates for Reproductive Health,Yes,No,Yes,Yes,Yes,Yes,Yes,AZ
14,ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,72%,<1%,27%,0%,26%,<1%,0%,3%,6%,1%,15%,7%,0%,16%,23%,9%,16%,6%,"Jay S. Nemiro, MD",36,27,29,11,1,33.3,18.5,20.7,0,0,33.3,18.5,17.2,0,0,(18.6Ð51.0),(6.3Ð38.1),(5.8Ð35.8),,,40,23.8,23.8,0,0,50,0.294117647,0.263157895,0,0,37.5,0.294117647,0.263157895,0,0,16.7,22.2,27.6,0.363636364,0,2.4,3.1,3.3,1.8,2,0.166666667,0,0.166666667,=,=,0.083333333,0,0,=,=,0.25,0,0,=,=,8,6,1,1,0,0.25,0.333333333,1,0,=,2.6,3.2,2,3,=,32,18,37.5,0.388888889,2.7,2.5,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
15,FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,0%,0%,0%,84%,1%,<1%,6%,11%,46%,9%,5%,2%,11%,4%,4%,4%,6%,"Randall Craig, MD",91,42,64,24,10,27.5,23.8,14.1,12.5,0.1,25.3,21.4,9.4,8.3,0,(16.7Ð35.5),(10.3Ð36.8),(3.5Ð19.3),(1.0Ð27.0),,28.8,24.3,11.3,0.105263158,0,31.1,29,13.3,0.166666667,0,17.6,19.4,8.9,0.166666667,0,12.1,11.9,17.2,20.8,0.2,2.6,2.4,2.5,2.6,2.9,44,0.3,0.222222222,0,0,8,0,0,0,0,43.5,0.333333333,0.333333333,0,=,72,32,14,12,3,41.7,34.4,0.428571429,0.083333333,0.333333333,2.4,2.6,2.6,2.3,3.7,23,48,60.9,35.4,2.1,2.5,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,No,Yes,AZ
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,33%,0%,0%,3%,14%,5%,11%,20%,3%,15%,16%,<1%,5%,11%,"Timothy J. Gelety, MD",129,58,44,15,11,47.3,39.7,22.7,0.133333333,0,38,27.6,11.4,0.066666667,0,(29.6Ð46.9),(16.7Ð40.9),(3.8Ð24.6),,,38.9,28.6,12.2,0.071428571,0,45.4,32.7,13.9,0.076923077,0,27.8,20.4,8.3,0.076923077,0,2.3,3.4,6.8,0.066666667,0.181818182,2.8,3.1,3.3,3.4,2.7,27.9,30.4,0.2,0,=,4.9,0,0,0,=,38.8,0.375,0.4,0,=,62,24,24,7,2,30.6,20.8,25,0.142857143,0.5,3.7,4,3.9,4,2.5,14,13,0.571428571,0.307692308,3.1,4.2,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
17,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,91%,0%,1%,0%,21%,6%,7%,4%,4%,17%,14%,10%,6%,10%,"Scot M. Hutchison, MD",48,23,12,2,1,41.7,26.1,0.25,0,0,31.3,17.4,0.083333333,0,0,(18.7Ð46.3),(5.0Ð38.8),,,,31.9,18.2,0.083333333,0,0,34.1,0.235294118,0.111111111,0,=,25,0.117647059,0.111111111,0,=,2.1,4.3,0,0,0,2.2,2.2,2.2,2.5,=,20,0.333333333,0,=,=,0,0.166666667,0,=,=,0.266666667,0.5,0,=,=,15,5,2,4,1,0.466666667,0.6,0.5,0,1,2,2.4,2.5,2.5,2,16,8,0.5625,0.125,2.1,1.8,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
18,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,32%,0%,0%,2%,15%,11%,8%,7%,2%,17%,2%,26%,4%,9%,"Dean M. Moutos, MD",107,48,36,5,2,53.3,35.4,16.7,0,0,48.6,33.3,16.7,0,0,(38.8Ð58.5),(20.4Ð48.4),(6.4Ð32.8),,,54.7,38.1,22.2,0,0,56.5,41,22.2,0,0,35.9,30.8,18.5,0,0,11.2,12.5,25,0.2,0,2.2,2.3,2.3,2.3,2.5,47.4,0.352941176,0.166666667,=,=,5.3,0,0,=,=,36.5,0.25,0.166666667,=,=,27,23,16,1,2,25.9,4.3,0.25,0,0,2.1,2,2.3,4,2,10,7,0.5,0.142857143,1.9,1.9,Arkansas Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AR
19,LIFESTART FERTILITY CENTER,"ANITA SINGH, MD",AGOURA HILLS,CALIFORNIA,100%,0%,0%,0%,35%,0%,0%,10%,4%,0%,20%,0%,0%,12%,8%,12%,12%,32%,"Anita P. Singh, MD",6,3,7,1,3,0.333333333,0,0.571428571,0,0,0.333333333,0,0.428571429,0,0,,,,,,0.333333333,0,0.428571429,0,0,0.5,0,0.428571429,0,0,0.25,0,0.285714286,0,0,0,0,0,0,0,2.3,3,2.6,4,3,0.5,=,0,=,=,0,=,0.25,=,=,0.5,=,0.333333333,=,=,2,0,0,0,1,1,=,=,=,0,2,=,=,=,1,0,2,=,0.5,=,1.5,"LifeStart Fertility Center, Anita Singh, MD",Yes,Yes,Yes,Yes,Yes,No,Yes,CA
20,GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,35%,0%,0%,7%,2%,4%,24%,2%,0%,9%,7%,15%,26%,11%,"Brian C. Su, MD",9,12,12,7,2,0.888888889,0.583333333,0.25,0,0,0.888888889,0.583333333,0.166666667,0,0,,,,,,0.888888889,0.583333333,0.181818182,0,0,1,0.7,0.181818182,0,0,0.75,0.4,0.090909091,0,0,0,0,0.083333333,0,0,2.9,3,3.2,4,1,0.375,0.285714286,0.666666667,=,=,0,0.142857143,0,=,=,0.25,0.428571429,0.5,=,=,3,1,0,0,0,0,1,=,=,=,2.3,3,=,=,=,5,1,0.6,0,2.2,2,Garfield Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,CA
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,83%,0%,1%,0%,3%,9%,18%,4%,10%,7%,5%,7%,23%,15%,"Ryszard J. Chetkowski, MD",9,17,24,19,2,0.333333333,0.352941176,33.3,0.157894737,0,0.333333333,0.294117647,16.7,0.157894737,0,,,(4.7Ð37.4),,,0.333333333,0.3125,19,0.214285714,0,0.333333333,0.357142857,20,0.230769231,0,0.222222222,0.214285714,20,0.153846154,0,0,0.058823529,12.5,0.263157895,0,2.9,3,3.3,2.6,5,0.333333333,0.333333333,0.125,0.333333333,=,0,0,0,0,=,0.333333333,0.4,0,0.333333333,=,12,6,12,4,0,0.416666667,0.333333333,0.083333333,0,=,2,1.8,3.4,2.3,=,15,14,0.466666667,0.214285714,2.5,2.4,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
22,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,55%,0%,0%,27%,8%,4%,23%,4%,2%,9%,3%,12%,26%,9%,"Sam Najmabadi, MD",36,29,25,14,14,80.6,65.5,56,0.5,0.285714286,58.3,62.1,48,0.214285714,0.214285714,(40.8Ð74.5),(42.3Ð79.3),(27.8Ð68.7),,,58.3,62.1,48,0.272727273,0.25,61.8,62.1,50,0.272727273,0.5,38.2,55.2,37.5,0.272727273,0.5,0,0,0,0.214285714,0.142857143,1.6,2,1.7,2,1.7,31,0.105263158,0.214285714,0,0,0,0,0,0,0,38.1,0.111111111,0.25,0,0,8,10,6,4,0,0.375,0.6,0.333333333,0.5,=,3.9,2,2.5,2.3,=,16,7,0.75,1,1.8,2.6,"Center for Reproductive Health & Gynecology, (CRH&G)",Yes,No,Yes,Yes,Yes,Yes,Yes,CA
23,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,51%,0%,4%,25%,5%,6%,39%,2%,0%,10%,9%,10%,12%,9%,"Hal Danzer, MD",32,22,30,34,19,65.6,50,43.3,17.6,0.157894737,62.5,31.8,43.3,14.7,0.052631579,(43.7Ð78.9),(13.9Ð54.9),(25.5Ð62.6),(5.0Ð31.1),,62.5,35,48.1,17.2,0.058823529,64.5,0.388888889,52,17.2,0.071428571,45.2,0.277777778,36,17.2,0.071428571,0,9.1,10,14.7,0.105263158,2,2.4,2.8,2.8,2.5,28.6,0.272727273,0.538461538,0,0,0,0.090909091,0,0,0,30,0.285714286,0.307692308,0,0,11,6,2,3,3,0.272727273,0.666666667,0.5,0.333333333,0,2.4,2.2,2.5,2.3,2,34,11,79.4,0.272727273,1.7,2.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
24,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,58%,0%,2%,39%,8%,6%,13%,1%,2%,13%,10%,8%,18%,21%,"Mark W. Surrey, MD",78,56,45,20,11,56.4,60.7,53.3,35,0.181818182,51.3,46.4,31.1,20,0.090909091,(39.7Ð62.8),(33.0Ð60.3),(18.2Ð46.6),(5.7Ð43.7),,51.9,48.1,31.8,20,0.1,56.3,53.1,35.9,0.210526316,0.2,39.4,30.6,20.5,0.157894737,0.2,1.3,3.6,2.2,0,0.090909091,2.2,2.4,2.2,2.2,1.8,22.7,44.1,20.8,0.142857143,0,6.8,5.9,4.2,0,0,30,42.3,0.428571429,0.25,0,21,8,10,3,0,47.6,0.625,0.6,0,=,2.2,2.3,2.5,1,=,28,9,75,0.666666667,2.2,2.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
25,"WEST COAST IVF CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,52%,0%,0%,0%,21%,0%,2%,5%,0%,16%,5%,25%,11%,16%,"Michael Kamrava, MD",19,9,11,4,1,0.105263158,0.111111111,0.090909091,0,0,0.052631579,0.111111111,0.090909091,0,0,,,,,,0.058823529,0.166666667,0.111111111,0,0,0.0625,0.166666667,0.125,0,0,0.0625,0,0,0,0,0.105263158,0.333333333,0.181818182,0.25,0,4.1,4.3,3.3,2.5,5,0,1,1,=,=,0,0,0,=,=,0,1,1,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,7,2,0.285714286,0,4.9,4,"West Coast IVF Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,CA
26,FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,75%,0%,1%,0%,9%,6%,23%,5%,0%,16%,4%,21%,5%,11%,"Terence Lee, MD",32,27,22,8,5,59.4,29.6,22.7,0.25,0.2,50,22.2,18.2,0.25,0.2,(31.9Ð68.1),(8.6Ð42.3),(5.2Ð40.3),,,53.3,27.3,0.285714286,0.4,0.333333333,57.1,27.3,0.307692308,0.4,0.333333333,42.9,13.6,0.230769231,0.4,0.333333333,6.3,18.5,36.4,0.375,0.4,2.8,3.3,3.2,3.8,3,0.315789474,0.375,0,0,0,0,0.125,0.2,0,0,0.25,0.5,0.25,0,0,9,4,4,1,0,0.333333333,0.25,0,1,=,2.7,2.3,3,1,=,8,4,0.5,0.25,2.4,2.3,Fertility Care of Orange County,Yes,Yes,Yes,Yes,Yes,No,Yes,CA
