PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
NOVA IN VITRO FERTILIZATION,,PALO ALTO,CALIFORNIA,100%,0%,0%,0%,41%,2%,18%,6%,17%,2%,1%,8%,<1%,16%,16%,16%,"Francis F. Polansky, M.D.",43,43,36,16,53.5,46.5,33.3,0.4375,46.5,37.2,25,0.25,-29.8,-28.9,-28.2,=,54.1,43.2,30,0.285714286,55.6,47.1,31,0.285714286,14,14,16.7,0.125,2.7,3.6,4.2,3.7,30.4,35,0.333333333,0.142857143,8.7,0,0.083333333,0.142857143,35,0.25,0.555555556,0.25,3,5,0,1,0.666666667,0,=,0,4.3,2.4,=,2,12,5,0.583333333,0.4,3.4,2.6,Nova In Vitro Fertilization,Yes,No,Yes,No,Yes,Yes,Yes
INTRAVAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,0%,0%,30%,0%,0%,17%,0%,9%,0%,9%,26%,9%,"Francisco Batres, M.D.",15,8,0,0,0.266666667,0.125,=,=,0.2,0.125,=,=,=,=,=,=,0.2,0.142857143,=,=,0.2,0.142857143,=,=,0,0.125,=,=,3,2.9,=,=,0,0,=,=,0,0,=,=,0,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Intravaginal Culture Fertilization Program of Arkansas,No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,,LITTLE ROCK,ARKANSAS,>99%,0%,<1%,0%,26%,0%,20%,10%,6%,13%,<1%,14%,13%,3%,11%,10%,"Dean M. Moutos, M.D.",92,36,28,5,37,38.9,21.4,0.2,30.4,36.1,17.9,0.2,-18.8,-31.4,-28.3,=,33.3,40.6,22.7,0.333333333,34.1,44.8,23.8,0.333333333,8.7,11.1,21.4,0.4,2.8,2.8,3.3,3.3,47.1,0.285714286,0.166666667,0,5.9,0.071428571,0,0,57.1,0.307692308,0.2,0,36,11,8,2,16.7,0.181818182,0,0,3.1,2.8,3.4,1,9,6,0.555555556,0.166666667,3.1,3.5,University of Arkansas for Medical Sciences IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,38%,0%,11%,<1%,13%,7%,2%,17%,4%,1%,18%,26%,"Ryszard J. Chetkowski, M.D.",26,17,30,15,34.6,0.411764706,20,0.266666667,30.8,0.411764706,13.3,0.133333333,-35.5,=,-24.3,=,34.8,0.411764706,13.8,0.181818182,36.4,0.4375,13.8,0.181818182,11.5,0,3.3,0.266666667,2.9,3,4,4.9,0.111111111,0.285714286,0.166666667,0,0,0,0.333333333,0,0.125,0.285714286,0.75,0,8,3,4,1,0.25,0,0.25,0,2.6,2,1.8,1,23,10,52.2,0.1,2.6,2.3,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & SURGERY ASSOCIATES,,BEVERLY HILLS,CALIFORNIA,95%,3%,<1%,<1%,28%,<1%,8%,<1%,15%,4%,3%,16%,4%,2%,26%,21%,"Mark W. Surrey, M.D.",71,58,62,40,36.6,39.7,22.6,25,33.8,32.8,16.1,15,-22,-24.1,-18.3,-22.2,37.5,33.9,17.2,16.2,40,37.3,19.6,17.1,9.9,3.4,6.5,7.5,3.3,3.7,3.3,4,34.6,30.4,0.285714286,0,26.9,8.7,0,0,45.8,0.421052632,0.2,0,16,10,16,1,0.25,0,0.25,0,3.3,3.7,4.2,6,22,8,31.8,0.125,3.3,3,Reproductive Medicine & Surgery Associates,Yes,Yes,Yes,Yes,Yes,Yes,Pending
REPRODUCTIVE MEDICINE & SURGERY ASSOCIATES,,BEVERLY HILLS,CALIFORNIA,93%,5%,0%,2%,41%,0%,3%,<1%,30%,4%,0%,18%,0%,11%,5%,28%,"Hal Danzer, M.D.",13,6,15,9,0.461538462,0.166666667,0.066666667,0,0.307692308,0.166666667,0.066666667,0,=,=,=,=,0.333333333,0.2,0.076923077,0,0.363636364,0.25,0.090909091,0,0.076923077,0.166666667,0.133333333,0,3.5,3.3,4.5,3.2,0.333333333,0,0,=,0,0,0,=,0.5,0,0,=,6,2,3,1,0.333333333,0,0,0,4,3.5,3.3,5,18,8,0.444444444,0.625,3.3,3.6,Reproductive Medicine & Surgery Associates,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,36%,0%,23%,1%,11%,5%,0%,20%,0%,17%,6%,17%,"Michael Kamrava, M.D.",15,21,8,0,0.066666667,19,0,=,0.066666667,14.3,0,=,=,-29.3,=,=,0.071428571,15,0,=,0.071428571,0.166666667,0,=,0.066666667,4.8,0,=,4.4,4.4,4.7,=,0,0,=,=,0,0,=,=,0,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,17,0,0.294117647,=,4.8,=,"West Coast Infertility Medical Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,90%,8%,<1%,<1%,63%,0%,18%,9%,10%,9%,2%,13%,<1%,6%,20%,12%,"David G. Diaz, M.D.",65,20,17,11,36.9,30,0.235294118,0.181818182,33.8,30,0.176470588,0.090909091,-23,-40.2,=,=,34.9,30,0.176470588,0.1,38.6,0.333333333,0.2,0.125,3.1,0,0,0.090909091,5,5,4.3,3.9,25,0.333333333,0.25,0,16.7,0,0,0,31.8,0.333333333,0.333333333,0,10,7,3,3,0.5,0.142857143,0.333333333,0.333333333,4.5,4.1,4,4.7,20,6,40,0,4.9,5,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERSÐSAN DIEGO,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,50%,0%,15%,9%,<1%,3%,7%,21%,23%,<1%,6%,14%,"Gabriel V. Garzo, M.D.",51,29,29,11,51,37.9,41.4,0.272727273,47.1,31,34.5,0.181818182,-27.4,-33.7,-34.6,=,50,40.9,40,0.2,52.2,42.9,40,0.2,5.9,24.1,13.8,0.090909091,2.6,2.9,3.6,3.8,19.2,0.454545455,0.083333333,0,7.7,0,0.166666667,0,29.2,0.444444444,0.2,0,3,4,3,0,0.333333333,0.5,0,=,3.7,3,2.3,=,34,7,44.1,0.142857143,2.4,3,Reproductive PartnersÐSan Diego,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,55%,0%,4%,2%,18%,3%,9%,18%,3%,2%,8%,33%,"Samuel H. Wood, M.D., Ph.D.",45,20,23,6,40,35,34.8,0,37.8,30,30.4,0,-28.3,-40.2,-37.6,=,45.9,0.333333333,33.3,0,48.6,0.352941176,35,0,17.8,10,8.7,0.166666667,3.5,3.4,3.6,3.5,0.333333333,0.142857143,0.125,=,0.166666667,0,0,=,0.352941176,0,0.142857143,=,7,5,4,0,0,0.2,0,=,3.3,3.2,4,=,25,7,44,0.285714286,3.5,3.6,Reproductive Sciences Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCRIPPS CLINIC FERTILITY CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,78%,0%,4%,2%,2%,4%,0%,6%,2%,0%,32%,48%,"Jeffrey S. Rakoff, M.D.",30,10,16,3,23.3,0.2,0.1875,0,16.7,0.2,0.0625,0,-26.7,=,=,=,17.9,0.2,0.0625,0,19.2,0.222222222,0.0625,0,6.7,0,0,0.333333333,2.5,2.2,3.1,1,0.285714286,0.5,0,=,0,0,0,=,0.2,0,0,=,6,3,2,0,0,0,0.5,=,2.2,2.7,2.5,=,10,6,0,0,2.4,2.5,Scripps Clinic Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
"JANE L. FREDERICK, M.D., INC.",,LAGUNA HILLS,CALIFORNIA,100%,0%,0%,0%,43%,0%,12%,0%,3%,3%,6%,17%,0%,5%,27%,27%,"Jane L. Frederick, M.D.",18,14,10,5,0.333333333,0.142857143,0.2,0,0.333333333,0.071428571,0.2,0,=,=,=,=,0.333333333,0.083333333,0.25,0,0.333333333,0.083333333,0.285714286,0,0,0.142857143,0.2,0.4,2.8,2.9,2.7,2.5,0.333333333,0.5,0.5,=,0,0,0,=,0.166666667,0,0.5,=,7,6,1,0,0,0.166666667,0,=,2.1,2.7,3,=,2,6,0.5,0,2,1.8,"Jane L. Frederick, M.D., Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
HUNTINGTON REPRODUCTIVE CENTER,,PASADENA,CALIFORNIA,98%,0%,1%,<1%,65%,<1%,10%,2%,13%,5%,7%,14%,12%,5%,21%,11%,"Joel H. Batzofin, M.D.",164,101,120,38,42.1,46.5,28.3,21.1,33.5,39.6,20,10.5,-14.5,-19,-14.4,-19.5,35.5,42.1,21.6,11.4,36.4,44,23.1,12.5,5.5,5.9,7.5,7.9,4,3.9,4.1,3.7,37.7,27.7,35.3,0,8.7,8.5,5.9,0,49.1,40,45.8,0,17,6,5,3,0.294117647,0.5,0.2,0,3.4,3.7,3,2,108,26,51.9,15.4,3.6,3.6,Huntington Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR ADVANCED REPRODUCTIVE AND ENDOCRINOLOGY SERVICES,,REDDING,CALIFORNIA,100%,0%,0%,0%,0%,0%,20%,0%,10%,30%,10%,20%,10%,0%,0%,0%,"Robert A. Greene, M.D.",3,2,0,0,0.333333333,0,=,=,0.333333333,0,=,=,=,=,=,=,0.333333333,=,=,=,0.5,=,=,=,0,1,=,=,3.5,=,=,=,0,=,=,=,0,=,=,=,0,=,=,=,0,2,1,0,=,0,0,=,=,3,3,=,0,0,=,=,=,=,Center for Advanced Reproductive and Endocrinology Services,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERSÐREDONDO BEACH,,REDONDO BEACH,CALIFORNIA,94%,6%,0%,0%,49%,0%,13%,4%,<1%,4%,2%,17%,14%,4%,18%,23%,"Bill Yee, M.D.",43,43,65,36,41.9,32.6,33.8,13.9,32.6,27.9,26.2,5.6,-28,-26.8,-21.3,-13,35,35.3,30.4,7.1,35,35.3,31.5,7.4,7,20.9,13.8,22.2,3.1,3.4,3.9,5.7,0.333333333,0.357142857,27.3,0,0.111111111,0.071428571,4.5,0,0.428571429,0.25,0.235294118,0,14,8,14,7,0.142857143,0.25,0.071428571,0.142857143,3.9,3.8,2.9,4.4,28,26,50,11.5,2.8,2.7,Reproductive PartnersÐRedondo Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,,ROSEVILLE,CALIFORNIA,100%,0%,0%,0%,50%,0%,20%,4%,8%,6%,<1%,17%,12%,3%,13%,16%,"Carlos E. Soto-Albors, M.D.",139,76,65,18,40.3,30.3,23.1,0.111111111,36.7,26.3,18.5,0.111111111,-16,-19.8,-18.9,=,38.6,29,20,0.133333333,39.5,29.9,22.6,0.142857143,5,9.2,7.7,0.166666667,2.5,3,2.8,2.4,28.6,34.8,0.2,0,7.1,0,0.066666667,0,31.4,30,0.166666667,0,31,12,7,4,9.7,0.166666667,0.142857143,0,3.6,3.5,2.9,2,63,20,30.2,5,2.5,2.8,Northern California Fertility Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY OF CALIFORNIA, DAVIS",ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,SACRAMENTO,CALIFORNIA,100%,0%,0%,0%,4%,0%,39%,5%,5%,10%,0%,2%,4%,19%,10%,6%,"Stephen P. Boyers, M.D.",21,10,12,5,28.6,0.2,0.583333333,0.4,19,0.2,0.25,0.2,-33.5,=,=,=,0.235294118,0.333333333,0.375,0.25,0.25,0.333333333,0.375,0.25,19,0.4,0.333333333,0.2,3.5,4.5,4,3.3,0,1,0,0,0.166666667,0,0.142857143,0,0.25,0.5,0.333333333,0,3,1,2,1,0,0,0,0,4.3,2,3.5,1,4,4,0.75,0.25,3.3,4.8,"University of California, Davis, Assisted Reproductive Technology Program",Yes,No,Yes,No,Yes,Yes,Yes
THE FERTILITY AND GYNECOLOGY CENTER,,SALINAS,CALIFORNIA,100%,0%,0%,0%,69%,0%,33%,0%,0%,13%,0%,7%,0%,0%,40%,7%,"Edward J. Ramirez, M.D.",7,2,3,0,0.571428571,0.5,0.666666667,=,0.428571429,0,0.666666667,=,=,=,=,=,0.428571429,0,0.666666667,=,0.428571429,0,0.666666667,=,0,0,0,=,5,5,5,=,0.25,0,0.5,=,0.25,1,0,=,0.333333333,=,0.5,=,0,0,0,0,=,=,=,=,=,=,=,=,1,0,0,=,3,=,The Fertility and Gynecology Center,Yes,Yes,Yes,Yes,Yes,Yes,No
IGO MEDICAL GROUP OF SAN DIEGO,,SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,56%,0%,19%,0%,6%,2%,0%,19%,2%,3%,28%,21%,"Benito Villanueva, M.D.",18,7,13,1,0.166666667,0,0.230769231,0,0.111111111,0,0.153846154,0,=,=,=,=,0.153846154,0,0.166666667,0,0.181818182,0,0.166666667,0,0.277777778,0,0.076923077,0,3.5,3.6,4.7,2,0,=,0,=,0,=,0.333333333,=,0,=,0.5,=,6,3,3,1,0,0,0.333333333,0,4,4.3,4,4,5,0,0.4,=,4.2,=,IGO Medical Group of San Diego,Yes,No,Yes,Yes,Yes,Yes,Yes
INFERTILITY CLINIC,"NAVAL MEDICAL CENTER, SAN DIEGO",SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,45%,0%,66%,<1%,<1%,<1%,0%,16%,0%,8%,4%,3%,"Thomas J. Kim, M.D.",60,13,16,7,40,0.384615385,0.25,0,35,0.384615385,0.1875,0,-24.2,=,=,=,38.2,0.384615385,0.214285714,0,38.2,0.384615385,0.214285714,0,8.3,0,0.125,0,2.3,2.8,3,3.7,20.8,0.4,0.5,=,0,0.2,0,=,23.8,0.6,0.333333333,=,5,1,1,0,0,0,1,=,2.6,2,4,=,0,1,=,0,=,2,"Infertility Clinic, Naval Medical Center, San Diego",No,No,Yes,No,Yes,Yes,Yes
REPRODUCTIVE ENDOCRINE ASSOCIATES,,SAN DIEGO,CALIFORNIA,100%,0%,0%,0%,80%,0%,5%,0%,2%,0%,7%,6%,6%,0%,48%,26%,"Steven A. Brody, M.D.",24,12,18,5,45.8,0.583333333,0.333333333,0,41.7,0.416666667,0.166666667,0,-39.5,=,=,=,41.7,0.416666667,0.166666667,0,45.5,0.416666667,0.176470588,0,0,0,0,0,4.3,4.8,5,3.8,0.454545455,0.428571429,0.166666667,=,0.090909091,0,0.166666667,=,0.6,0.4,0.666666667,=,5,1,3,0,0,0,0,=,4,4,4,=,9,0,0.444444444,=,4.4,=,The Advanced Fertility Institute,Yes,No,Yes,Yes,Yes,Yes,No
SHARP FERTILITY CENTER,,SAN DIEGO,CALIFORNIA,99%,1%,0%,0%,79%,0%,10%,<1%,0%,2%,<1%,12%,5%,2%,35%,33%,"Arlene Morales, M.D.",64,64,60,26,34.4,31.3,11.7,15.4,28.1,25,6.7,7.7,-22,-21.2,-12.6,-17.9,30,27.1,8.7,10,30.5,29.1,8.9,0.117647059,6.3,7.8,23.3,23.1,2.7,2.9,3.2,3.5,45.5,20,0.142857143,0,0,5,0,0,0.388888889,0.0625,0,0,13,7,5,2,0.230769231,0.142857143,0,0,2.7,2.9,3.8,2.5,46,10,39.1,0.2,2.5,2.3,Sharp Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
ASTARTE FERTILITY CENTER,,SAN FRANCISCO,CALIFORNIA,93%,0%,7%,0%,68%,0%,7%,<1%,8%,8%,<1%,16%,5%,4%,13%,38%,"Alex J. Steinleitner, M.D.",42,25,36,14,31,24,33.3,0.142857143,23.8,20,19.4,0.071428571,-25.8,-31.4,-25.9,=,27,21.7,20.6,0.071428571,31.3,21.7,22.6,0.071428571,11.9,8,5.6,0,3.2,3.4,3.7,4,0.153846154,0.333333333,0.166666667,0,0.076923077,0,0.166666667,0,0.3,0.4,0.428571429,0,2,1,2,4,0,0,0,0.25,1.5,3,2,3,54,3,29.6,0.666666667,3.1,3,Astarte Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
