PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,25%,2%,0%,24%,1%,21%,5%,4%,21%,6%,10%,2%,6%,"Timothy J. Gelety, M.D.",48,22,28,7,27.1,31.8,21.4,0.142857143,18.8,18.2,17.9,0,-22.1,-32.2,-28.3,=,20,0.235294118,22.7,0,23.1,0.235294118,22.7,0,12.8,0.117647059,18.2,0,6.3,22.7,21.4,0.285714286,4.5,4.6,4.1,4.2,0.384615385,0.285714286,0.166666667,0,0.076923077,0,0,0,0.444444444,0.5,0.2,=,22,11,7,2,22.7,0.181818182,0.142857143,0,4.4,5.3,4.9,4.5,9,12,0.111111111,0.25,4.2,5,Arizona Center for Reproductive Endocrinology & Infertility,Yes,Yes,Yes,No,Yes,Yes,Yes
"ART LABORATORY, UNIVERSITY PHYSICIANS, INC.",THE UNIVERSITY OF ARIZONA,TUCSON,ARIZONA,100%,0%,0%,0%,44%,0%,0%,9%,7%,20%,7%,0%,20%,5%,6%,11%,15%,"Scot Hutchison, M.D.",22,13,7,4,36.4,0.384615385,0.428571429,0.25,36.4,0.384615385,0.428571429,0,-40.2,=,=,=,36.4,0.384615385,0.428571429,0,38.1,0.384615385,0.428571429,0,28.6,0.307692308,0.285714286,0,0,0,0,0,2.9,3.2,3.4,4.8,0.25,0.4,0.333333333,0,0,0,0,0,0.25,0.2,0.333333333,=,5,5,5,4,0.4,0,0,0,3.2,3,3.4,3.5,9,5,0.333333333,0.4,2.1,3.6,"ART Laboratory, University Physicians, Inc., The University of Arizona",Yes,Yes,Yes,No,Yes,Yes,Yes
INTRA VAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,0%,0%,0%,24%,19%,5%,14%,0%,0%,0%,19%,19%,0%,"Francisco Batres, M.D.",15,5,1,0,0.066666667,0,0,=,0.066666667,0,0,=,=,=,=,=,0.090909091,0,0,=,0.090909091,0,0,=,0.090909091,0,0,=,0.266666667,0,0,=,2.6,2.8,1,=,0,=,=,=,0,=,=,=,0,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Intra Vaginal Culture Fertilization Program of Arkansas,No,No,No,No,No,Yes,Yes
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,34%,0%,1%,22%,7%,4%,13%,1%,22%,2%,9%,9%,11%,"Dean M. Moutos, M.D.",152,38,34,3,50,28.9,26.5,0,44.7,28.9,17.6,0,-15.8,-28.9,-25.7,=,46.3,36.7,24,0,47.6,39.3,25,0,28,28.6,25,0,3.3,21.1,26.5,0,2.5,2.8,2.8,3.5,43.4,0.272727273,0,=,2.6,0.090909091,0.111111111,=,41.2,0.272727273,0,=,32,11,6,1,46.9,0.272727273,0.166666667,0,2.6,2.5,2.7,3,6,0,0.333333333,=,2.7,=,University of Arkansas for Medical Sciences IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,17%,0%,0%,12%,9%,25%,2%,0%,9%,2%,4%,21%,16%,"Brian C. Su, M.D.",14,12,9,4,0.428571429,0.25,0.333333333,0,0.357142857,0.25,0.333333333,0,=,=,=,=,0.416666667,0.3,0.375,0,0.454545455,0.375,0.5,0,0.454545455,0,0.166666667,0,0.142857143,0.166666667,0.111111111,0.25,3,3.8,3.7,2,0,1,0.333333333,=,0,0,0.333333333,=,0,1,0.666666667,=,1,2,0,0,0,0.5,=,=,1,2,=,=,5,2,0.6,0,2.4,2,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,63%,0%,0%,7%,6%,13%,<1%,2%,19%,2%,9%,13%,28%,"Ryszard J. Chetkowski, M.D.",20,17,22,10,15,0.411764706,13.6,0,15,0.294117647,4.5,0,-30.6,=,-13.2,=,15,0.3125,0.0625,0,15,0.333333333,0.0625,0,5,0.133333333,0.0625,0,0,0.058823529,27.3,0.2,2.8,3.5,3.6,3.8,0.333333333,0.428571429,0,=,0.333333333,0,0,=,0.666666667,0.6,0,=,4,4,7,0,0.75,0,0.142857143,=,3.8,2.3,3,=,20,7,35,0.571428571,3.1,3.1,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,38%,0%,0%,6%,2%,11%,2%,0%,21%,5%,16%,27%,10%,"Sam Najmabadi, M.D.",33,16,35,6,75.8,0.3125,31.4,0.5,48.5,0.1875,17.1,0.5,-34.1,=,-24.9,=,51.6,0.1875,23.1,1,51.6,0.1875,23.1,1,38.7,0.125,19.2,1,6.1,0,25.7,0.5,3.6,3.4,4.3,3.7,12,0,0.272727273,0.333333333,8,0.2,0,0,0.25,0.333333333,0.166666667,0,4,2,4,1,0.5,0,0.25,1,4,3.5,4.5,4,12,1,0.583333333,0,3.8,6,Center for Reproductive Health & Gynecology,Yes,Yes,Yes,Yes,Yes,No,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,98%,2%,0%,0%,27%,0%,0%,7%,6%,24%,5%,2%,24%,4%,13%,3%,12%,"Hal Danzer, M.D.",39,22,42,28,56.4,59.1,40.5,28.6,53.8,54.5,31,25,-31.3,-41.7,-27.9,-32,53.8,54.5,31,25,56.8,57.1,34.2,31.8,40.5,38.1,21.1,27.3,0,0,0,0,2.9,3.3,3.2,3.7,36.4,0.307692308,0.235294118,0.25,9.1,0.153846154,0.117647059,0,28.6,0.333333333,0.384615385,0.142857143,5,7,3,2,0.6,0.285714286,0,0,3.4,3,2.3,3,15,3,0.666666667,0.333333333,2.5,2.3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,22%,0%,<1%,11%,4%,18%,3%,2%,9%,6%,1%,31%,15%,"Mark W. Surrey, M.D.",49,40,53,22,59.2,47.5,35.8,31.8,55.1,42.5,26.4,31.8,-27.8,-30.6,-23.8,-38.9,57.4,43.6,30.4,0.411764706,60,45.9,32.6,0.4375,42.2,27,25.6,0.3125,4.1,2.5,13.2,22.7,2.6,2.8,2.8,3.6,27.6,0.368421053,0.315789474,0.285714286,3.4,0.052631579,0.052631579,0.142857143,29.6,0.411764706,0.214285714,0.285714286,3,6,2,1,0.333333333,0.166666667,0.5,0,2,2.7,5,2,26,6,50,0.5,2.5,3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,69%,3%,0%,4%,3%,19%,0%,4%,8%,11%,26%,4%,21%,"Michael Kamrava, M.D.",22,12,10,8,27.3,0,0.2,0,18.2,0,0.1,0,-32.2,=,=,=,18.2,0,0.111111111,0,18.2,0,0.125,0,18.2,0,0.125,0,0,0,0.1,0,3.6,3.6,2.5,4.4,0,=,0,=,0,=,0,=,0,=,0,=,0,1,0,0,=,0,=,=,=,6,=,=,11,1,0.272727273,0,6.9,1,"West Coast Infertility Medical Clinic, Inc.",Yes,No,Yes,Yes,Yes,No,Yes
FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,45%,0%,0%,23%,3%,11%,3%,1%,5%,0%,24%,17%,13%,"C. Terence Lee, M.D.",18,17,15,5,0.333333333,0.235294118,0.266666667,0.6,0.333333333,0.176470588,0.2,0.4,=,=,=,=,0.4,0.25,0.272727273,0.666666667,0.428571429,0.272727273,0.272727273,0.666666667,0.142857143,0.090909091,0,0.333333333,0.166666667,0.294117647,0.266666667,0.4,3.2,4.3,3.5,6,0.5,0.5,0.75,0.333333333,0.333333333,0,0,0,0.666666667,0.666666667,1,0.5,4,5,0,1,0.25,0.2,=,0,3.5,3.6,=,1,1,4,1,0.25,3,3,Fertility Care Of Orange County,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTRAL CALIFORNIA IVF,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,98%,2%,0%,0%,42%,2%,0%,17%,6%,4%,4%,0%,22%,<1%,12%,9%,25%,"H. Michael Synn, M.D.",44,20,18,9,31.8,25,0.055555556,0.111111111,20.5,20,0.055555556,0,-23.9,-35,=,=,25.7,0.307692308,0.111111111,0,27.3,0.363636364,0.111111111,0,18.2,0.090909091,0,0,20.5,35,0.5,0.222222222,3,3.4,3.2,3.2,0.142857143,0.4,1,1,0.142857143,0.2,0,0,0.333333333,0.75,1,=,3,3,1,0,0,0,0,=,2.7,3,4,=,3,0,0,=,4.7,=,Central California IVF Women's Specialty and Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,81%,<1%,11%,11%,4%,5%,8%,3%,17%,10%,29%,5%,8%,"Christo Zouves, M.D.",106,75,78,44,55.7,33.3,33.3,25,49.1,26.7,28.2,11.4,-19.1,-20,-20,-18.7,51,27.4,29.3,12.5,52.5,27.4,30.6,12.8,18.2,20.5,22.2,10.3,3.8,2.7,3.8,9.1,3.5,3.7,4.2,4.5,49.2,16,23.1,0.272727273,20.3,12,7.7,0,65.4,25,27.3,0.2,27,22,10,13,40.7,18.2,0.2,0.307692308,4.4,4,3.9,5.3,54,22,50,31.8,3.4,4.6,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"GIL N. MILEIKOWSKY, M.D.",,ENCINO,CALIFORNIA,100%,0%,0%,0%,7%,0%,0%,20%,10%,0%,10%,0%,0%,20%,0%,25%,15%,"Gil N. Mileikowsky, M.D.",4,3,3,2,0.25,0.333333333,0,0,0.25,0.333333333,0,0,=,=,=,=,0.25,0.333333333,0,0,0.25,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0.5,4.3,4,3.5,7,0,1,=,=,1,0,=,=,1,1,=,=,1,3,0,0,0,0.333333333,=,=,2,3,=,=,1,1,0,0,4,4,"Gil N. Mileikowsky, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,None
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,>99%,0%,<1%,<1%,76%,0%,<1%,14%,6%,10%,4%,<1%,16%,2%,3%,13%,31%,"David G. Diaz, M.D.",118,50,30,6,49.2,44,23.3,0,40.7,36,20,0,-17.7,-26.6,-28.6,=,42.1,38.3,24,0,44.4,39.1,27.3,0,25,21.7,13.6,0,3.4,6,16.7,0.166666667,3.8,3.9,4,3.4,32.8,40.9,0.428571429,=,10.3,9.1,0.142857143,=,43.8,0.444444444,0.5,=,34,9,9,2,14.7,0.111111111,0,0.5,4.6,5,4.6,4.5,25,6,64,0,3.8,3.2,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KATHLEEN L. KORNAFEL, M.D., PH.D.",,GLENDALE,CALIFORNIA,100%,0%,0%,0%,48%,0%,0%,5%,2%,15%,0%,7%,23%,1%,5%,11%,31%,"Kathleen L. Kornafel, M.D., Ph.D.",21,14,11,10,42.9,0.357142857,0.363636364,0.4,38.1,0.285714286,0.272727273,0.2,-41.6,=,=,=,38.1,0.285714286,0.272727273,0.2,0.421052632,0.307692308,0.3,0.222222222,0.210526316,0.230769231,0.2,0.222222222,0,0,0,0,3.1,4,3.6,5,0.444444444,0,0,0,0.111111111,0.2,0.25,0,0.5,0.25,0.333333333,0,6,2,0,1,0.5,0,=,0,2.7,3.5,=,7,9,1,0.888888889,0,3.9,3,"Kathleen L. Kornafel, M.D., Ph.D.",Yes,No,Yes,No,Yes,Yes,Yes
MARIN FERTILITY MEDICAL GROUP,,GREENBRAE,CALIFORNIA,100%,0%,0%,0%,53%,0%,0%,7%,9%,20%,0%,3%,14%,14%,9%,13%,11%,"Sae H. Sohn, M.D.",11,6,12,7,0.363636364,0.5,0.416666667,0.142857143,0.363636364,0.333333333,0.333333333,0,=,=,=,=,0.363636364,0.333333333,0.333333333,0,0.363636364,0.333333333,0.363636364,0,0.272727273,0,0.181818182,0,0,0,0,0,3.5,3.8,2.9,3.9,0.25,0.666666667,0.4,0,0.25,0,0,0,0.25,1,0.5,=,2,1,1,1,0,0,0,0,4.5,2,5,5,14,4,0.285714286,0.75,3.1,3.3,Advanced Fertility Associates Medical Group,Yes,No,Yes,Yes,Yes,No,Yes
FERTILITY CENTER OF SOUTHERN CALIFORNIA,,IRVINE,CALIFORNIA,100%,0%,0%,0%,68%,0%,1%,12%,<1%,10%,10%,<1%,18%,5%,10%,23%,10%,"Ilene E. Hatch, M.D.",20,19,24,20,35,0.473684211,37.5,20,35,0.421052632,29.2,15,-41.8,=,-36.4,-30.6,0.368421053,0.421052632,29.2,0.214285714,0.466666667,0.470588235,31.8,0.230769231,0.2,0.294117647,4.5,0.153846154,5,0,0,30,3.9,4.3,4.7,4.2,0.285714286,0.444444444,0.444444444,0.25,0.285714286,0,0.222222222,0,0.571428571,0.375,0.857142857,0.333333333,6,3,3,2,0.5,0,0,0,4.3,3,2.7,2.5,6,3,0.666666667,0.333333333,3.7,4.3,Fertility Center of Southern California,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LA JOLLA IVF,SMOTRICH CENTER FOR REPRODUCTIVE ENHANCEMENT,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,80%,0%,20%,2%,4%,23%,3%,14%,6%,6%,0%,33%,9%,"David B. Smotrich, M.D.",9,15,12,5,0.222222222,0.2,0.083333333,0.2,0.111111111,0.133333333,0.083333333,0.2,=,=,=,=,0.111111111,0.153846154,0.1,0.2,0.111111111,0.153846154,0.111111111,0.2,0,0,0.111111111,0,0,0.133333333,0.166666667,0,4.6,4.5,4,5.2,0.5,0.333333333,1,1,0,0.333333333,0,0,1,1,0,1,1,3,0,1,0,0.333333333,=,0,3,2.7,=,4,30,2,20,0,4.3,4.5,"La Jolla IVF, Smotrich Center for Reproductive Enhancement",Yes,Yes,Yes,Yes,Yes,No,None
REPRODUCTIVE PARTNERS--SAN DIEGO,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,65%,0%,4%,5%,3%,3%,6%,5%,23%,15%,12%,12%,16%,"V. Gabriel Garzo, M.D.",61,31,34,8,49.2,48.4,26.5,0.375,44.3,41.9,23.5,0.25,-24.9,-34.7,-28.5,=,49.1,44.8,28.6,0.25,51.9,44.8,29.6,0.25,36.5,27.6,29.6,0.25,9.8,6.5,17.6,0,2.5,3.4,4.1,3.5,26.7,0.333333333,0.222222222,0,3.3,0,0,0,29.6,0.384615385,0,0,12,7,6,3,0.25,0.428571429,0,0,2.8,3.9,3.2,3,35,24,62.9,45.8,2.2,3,Reproductive Partners--San Diego,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,42%,0%,5%,2%,6%,13%,<1%,6%,13%,2%,6%,28%,23%,"Samuel H. Wood, M.D., Ph.D.",31,9,6,8,51.6,0.555555556,0.5,0.125,45.2,0.444444444,0.5,0.125,-35.1,=,=,=,53.8,0.5,0.6,0.25,56,0.5,0.6,0.333333333,28,0.25,0.4,0.333333333,16.1,0.111111111,0.166666667,0.5,3.2,3.6,4,4,0.375,0.6,0.666666667,0,0.125,0,0.333333333,0,0.5,0.5,0.333333333,0,7,0,6,1,1,=,0.166666667,0,3.9,=,4.5,3,31,12,71,0.5,3.2,4.1,Reproductive Sciences Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
