PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,55%,0%,0%,5%,3%,8%,8%,<1%,1%,6%,5%,38%,25%,"Sujatha Gunnala, MD",58,24,21,7,43.1,37.5,9.5,0.285714286,36.2,33.3,4.8,0.142857143,(24.0Ð49.9),(15.6Ð55.3),(0.1Ð23.8),,37.5,33.3,5,0.142857143,37.5,33.3,0.052631579,0.166666667,26.8,29.2,0.052631579,0.166666667,3.4,0,4.8,0,2.3,2.6,2.8,3.2,24,0.222222222,0,0,4,0,0,0,28.6,0.125,0,0,17,5,2,1,0.235294118,0.6,0,0,2.3,2.6,2,4,8,2,0.625,1,2.4,2.5,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,100%,0%,0%,14%,0%,0%,0%,0%,43%,0%,29%,0%,14%,"Ketan S. Patel, MD",2,1,0,1,0.5,1,=,0,0.5,1,=,0,,,,,0.5,1,=,0,1,1,=,0,0,0,=,0,0,0,=,0,2,2,=,1,1,1,=,=,0,0,=,=,1,1,=,=,0,2,0,0,=,0.5,=,=,=,2.5,=,=,0,1,=,0,=,3,Arizona Associates for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,33%,<1%,66%,0%,11%,0%,1%,8%,<1%,8%,4%,<1%,12%,36%,15%,9%,6%,"Jay S. Nemiro, MD",60,27,32,17,28.3,29.6,18.8,0.117647059,21.7,18.5,15.6,0.058823529,(12.1Ð34.2),(6.3Ð38.1),(5.3Ð32.8),,27.7,0.263157895,22.7,0.066666667,27.7,0.263157895,22.7,0.066666667,19.1,0.052631579,22.7,0.066666667,21.7,29.6,31.3,0.117647059,3.1,2.6,3,4.1,0.176470588,0.375,0,0,0.117647059,0.125,0,0,0.307692308,0.8,0,0,12,5,5,1,0.333333333,0.2,0.2,0,3.7,3,5.8,5,23,11,69.6,0.181818182,3.3,3.1,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,0%,0%,0%,83%,<1%,0%,7%,17%,20%,5%,<1%,6%,4%,2%,22%,17%,"H. Randall Craig, MD",87,45,60,12,21.8,22.2,16.7,0.083333333,19.5,17.8,11.7,0.083333333,(11.8Ð29.4),(8.0Ð32.1),(4.8Ð22.6),,21.8,20.5,15.2,0.125,32.7,25,17.9,0.166666667,23.1,21.9,15.4,0.166666667,10.3,13.3,23.3,0.333333333,2.2,2.2,2.2,1.8,0.368421053,0.1,0.3,0,0,0,0,0,0.294117647,0.125,0.142857143,0,55,37,12,2,36.4,32.4,0.166666667,0,2.1,2.4,2.3,2.5,35,36,57.1,36.1,2.1,2.3,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,25%,0%,0%,11%,2%,7%,14%,1%,11%,14%,35%,4%,2%,"Timothy J. Gelety, MD",130,48,35,14,53.8,47.9,22.9,0.071428571,44.6,33.3,11.4,0.071428571,(35.9Ð53.6),(20.4Ð48.4),(3.2Ð26.7),,49.2,37.2,14.8,0.090909091,54.2,40,15.4,0.090909091,44.9,27.5,11.5,0.090909091,9.2,10.4,22.9,0.214285714,3.2,3.2,3.7,4.3,11.4,17.4,0,0,8.6,8.7,0.125,0,17.2,0.3125,0.25,0,61,7,10,6,27.9,0.285714286,0.2,0.333333333,3.8,3.6,4.2,4,9,21,0.555555556,33.3,3,4,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,50%,0%,0%,14%,4%,2%,6%,0%,20%,15%,14%,11%,14%,"Scot M. Hutchison, MD",66,35,16,6,25.8,22.9,0.1875,0,25.8,14.3,0.1875,0,(15.8Ð38.0),(4.8Ð30.3),,,30.9,18.5,0.214285714,0,32.7,18.5,0.230769231,0,26.9,14.8,0.153846154,0,16.7,22.9,0.125,0,2.6,2.5,2.7,2.5,0.235294118,0.125,0.333333333,=,0,0,0,=,0.176470588,0.2,0.333333333,=,14,7,3,1,0.071428571,0.142857143,0,0,2.8,2.7,2.3,3,14,3,0.428571429,0.333333333,1.9,2.7,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,27%,0%,5%,17%,2%,10%,6%,1%,16%,4%,34%,2%,7%,"Michael M. Miller, MD",124,41,23,5,41.9,34.1,30.4,0.2,37.9,29.3,26.1,0.2,(29.3Ð47.1),(16.1Ð45.5),(10.2Ð48.4),,40.5,32.4,27.3,0.2,42,33.3,28.6,0.2,24.1,22.2,28.6,0.2,6.5,9.8,4.3,0,2.4,2.5,2.4,2.8,42.3,0.428571429,0.142857143,0,0,0,0,0,42.6,0.333333333,0,0,47,13,6,2,14.9,0.153846154,0.166666667,0,2.2,1.9,2.5,3,11,10,0.454545455,0,2.6,2.4,Arkansas Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AR,
"UAMS WOMEN'S HEALTH CENTER, DEPARTMENT OF REPRODUCTIVE ENDOCRINOLOGY",,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,60%,0%,3%,30%,2%,2%,9%,2%,28%,4%,11%,4%,8%,"Aida Shanti, MD",23,7,6,3,60.9,0.142857143,0.5,0,47.8,0.142857143,0.333333333,0,(26.8Ð69.4),,,,52.4,0.142857143,0.333333333,0,55,0.2,0.5,0,40,0.2,0.5,0,8.7,0,0,0.333333333,2.6,2.6,3.3,2.5,0.214285714,0,0.333333333,=,0.142857143,0,0,=,0.272727273,0,0,=,6,3,1,0,0.666666667,0.333333333,1,=,2.8,2.3,3,=,2,1,1,0,2,2,"UAMS Women's Health Center, Department of Reproductive Endocrinology",Yes,No,No,Yes,Yes,No,Yes,AR,
LIFESTART FERTILITY CENTER,"ANITA SINGH, MD",AGOURA HILLS,CALIFORNIA,100%,0%,0%,0%,86%,0%,0%,14%,0%,43%,0%,0%,14%,0%,0%,14%,14%,"Anita P. Singh, MD",2,2,1,0,1,0.5,1,=,1,0.5,0,=,,,,,1,0.5,0,=,1,1,0,=,1,0,0,=,0,0,0,=,2.5,4,4,=,0.5,1,0,=,0,0,0,=,0,1,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"LifeStart Fertility Center, Anita Singh, MD",Yes,Yes,Yes,Yes,Yes,No,Yes,CA,
GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,27%,0%,0%,2%,7%,16%,4%,7%,20%,4%,7%,30%,4%,"Brian C. Su, MD",11,15,9,3,0.545454545,0.6,0,0.333333333,0.454545455,0.533333333,0,0,,,,,0.5,0.571428571,0,0,0.555555556,0.615384615,0,0,0.222222222,0.538461538,0,0,0.090909091,0.066666667,0.222222222,0.333333333,2.7,3.3,3.6,4,0.5,0.111111111,=,0,0,0.111111111,=,0,0.6,0.125,=,=,1,4,2,0,0,0.5,0,=,3,2.5,3,=,4,0,0.5,=,2.8,=,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,CA,
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,39%,0%,<1%,6%,4%,15%,4%,1%,7%,4%,11%,28%,19%,"Sam Najmabadi, MD",30,30,40,24,50,40,27.5,33.3,33.3,26.7,20,20.8,(17.3Ð52.8),(12.3Ð45.9),(9.1Ð35.6),(7.1Ð42.2),34.5,29.6,22.9,25,35.7,32,28.6,0.294117647,21.4,28,17.9,0.294117647,3.3,10,12.5,16.7,2.1,2.2,2.3,2.8,0.333333333,0.166666667,0.545454545,0.25,0,0,0,0,0.4,0.125,0.375,0,6,10,6,2,0.5,0.2,0.166666667,1,2.8,2.8,2.5,2.5,12,3,0.583333333,0.333333333,2.1,2.7,"Center for Reproductive Health & Gynecology, (CRH&G)",Yes,No,Yes,Yes,Yes,Yes,Yes,CA,
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,52%,0%,2%,8%,6%,24%,2%,2%,14%,6%,8%,17%,13%,"Mark W. Surrey, MD",68,56,50,23,55.9,48.2,42,34.8,51.5,42.9,28,21.7,(39.0Ð63.8),(29.7Ð56.8),(16.2Ð42.5),(7.5Ð43.7),52.2,43.6,29.8,22.7,61.4,49,40,0.263157895,40.4,26.5,34.3,0.263157895,1.5,1.8,6,4.3,2.3,2.5,2.3,2.8,26.3,51.9,9.5,0,10.5,3.7,0,0,34.3,45.8,0.142857143,0,15,4,5,2,0.533333333,0.25,0.4,0.5,2.6,2.5,2.4,2.5,20,6,70,0,2.2,2.8,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,99%,<1%,<1%,0%,42%,0%,0%,4%,4%,26%,4%,2%,11%,15%,18%,7%,9%,"Hal C. Danzer, MD",32,31,49,32,62.5,35.5,40.8,31.3,56.3,32.3,28.6,12.5,(37.7Ð73.6),(16.7Ð51.4),(16.6Ð43.3),(3.5Ð29.0),56.3,32.3,31.1,12.9,60,38.5,33.3,15.4,50,26.9,33.3,15.4,0,0,8.2,3.1,1.8,2.6,2.7,2.5,25,0.181818182,5,0.1,0,0.181818182,0,0,0.166666667,0.3,0,0,11,9,6,2,0.181818182,0.333333333,0.333333333,0,1.8,2.4,2.2,3.5,18,7,0.722222222,0.142857143,1.9,2.1,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,71%,0%,16%,11%,2%,22%,<1%,0%,17%,2%,18%,11%,18%,"Changnin Terence Lee, MD",29,17,20,5,13.8,0.411764706,30,0.6,10.3,0.352941176,15,0.4,(2.2Ð27.4),,(3.2Ð37.9),,13.6,0.428571429,0.1875,0.4,0.157894737,0.428571429,0.1875,0.4,0.157894737,0.428571429,0.125,0,24.1,0.176470588,20,0,2.9,3.5,4.3,4.6,0,0.142857143,0.166666667,0.333333333,0,0,0.166666667,0.333333333,0,0,0.333333333,1,12,3,2,1,0.416666667,0.333333333,0,1,2.3,2.3,1.5,4,4,3,0.75,0.333333333,3,2,Fertility Care of Orange County,No,No,Yes,Yes,Yes,No,Yes,CA,
CENTRAL CALIFORNIA IVF PROGRAM,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,96%,4%,0%,0%,39%,0%,0%,14%,4%,7%,4%,2%,15%,1%,4%,25%,24%,"H. Michael Synn, MD",76,36,32,15,38.2,36.1,6.3,0.066666667,34.2,30.6,6.3,0.066666667,(23.7Ð46.0),(16.3Ð48.1),(0.8Ð20.8),,36.6,32.4,6.5,0.071428571,36.6,34.4,6.7,0.090909091,21.1,31.3,6.7,0,6.6,5.6,3.1,0.066666667,3.1,3.1,3.3,3.6,31,0.153846154,0.5,1,13.8,0,0,0,42.3,0.090909091,0,1,6,3,2,2,0.166666667,0,0,0,2.7,3,1,1.5,4,0,0.25,=,3.5,=,"Central California IVF Program, Women's Specialty and Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,94%,0%,6%,4%,12%,23%,8%,3%,9%,11%,5%,13%,14%,"Christo G. Zouves, MD",116,58,89,44,51.7,51.7,39.3,11.4,47.4,48.3,32.6,9.1,(38.1Ð56.9),(35.0Ð61.8),(23.0Ð43.3),(2.5Ð21.7),47.8,49.1,32.6,9.8,49.1,52.8,35.4,11.8,25.9,34,28,5.9,0.9,1.7,0,6.8,3.2,3.8,3.4,3.1,33.3,33.3,20,0.4,11.7,3.3,5.7,0,47.3,35.7,20.7,0.5,29,18,8,1,37.9,0.222222222,0.375,1,4.3,4.6,5,4,91,50,50.5,38,2.9,3.7,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
"THE FERTILITY INSTITUTESÐCALIFORNIA, NEVADA",,ENCINO,CALIFORNIA,100%,0%,0%,0%,70%,0%,3%,13%,2%,11%,0%,3%,8%,50%,10%,2%,4%,"Jeffrey M. Steinberg, MD",65,42,26,8,43.1,47.6,42.3,0,32.3,33.3,30.8,0,(21.2Ð45.1),(19.6Ð49.5),(14.3Ð51.8),,35.6,35,30.8,0,38.2,37.8,30.8,0,27.3,21.6,26.9,0,9.2,4.8,0,0.125,2.7,2.8,2.8,3,21.4,15,0.090909091,=,3.6,25,0,=,28.6,0.428571429,0.125,=,1,7,3,1,0,0.142857143,0,0,3,3.3,3,3,29,9,44.8,0.111111111,3.3,3.9,"The Fertility InstitutesÐCalifornia, Nevada",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,100%,0%,0%,0%,89%,0%,1%,13%,9%,6%,3%,<1%,11%,3%,2%,22%,31%,"David G. Diaz, MD",97,59,43,17,40.2,35.6,20.9,0.235294118,32,28.8,16.3,0.117647059,(22.9Ð42.2),(17.8Ð42.1),(6.8Ð30.7),,33.3,32.1,16.7,0.133333333,37.3,32.7,18.4,0.142857143,20.5,26.9,13.2,0.142857143,4.1,10.2,2.3,0.117647059,3.4,3.5,3.9,3.9,15.4,14.3,0.333333333,0.25,23.1,9.5,0,0,45.2,0.176470588,0.285714286,0,35,13,6,2,40,0.153846154,0.166666667,0,3.9,3.3,2.7,2,20,23,40,34.8,3.7,4,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA,
KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH,,FREMONT,CALIFORNIA,100%,0%,0%,0%,74%,0%,0%,12%,8%,12%,4%,<1%,11%,9%,5%,15%,23%,"Wen-Hui Shen, MD",79,52,41,8,46.8,59.6,48.8,0.125,41.8,48.1,31.7,0,(30.8Ð53.4),(34.0Ð62.4),(18.1Ð48.1),,47.8,59.5,38.2,0,52.4,65.8,40.6,0,25.4,36.8,25,0,12.7,19.2,17.1,0.25,2.4,3,3.5,3.3,48.6,29,30,0,2.7,6.5,0,0,51.5,44,0.384615385,=,19,6,4,1,0.473684211,0.333333333,0.5,0,2.4,3,2.3,1,5,0,0.4,=,1.8,=,Kaiser Permanente Center for Reproductive Health,Yes,No,Yes,No,Yes,Yes,Yes,CA,
"KATHLEEN L. KORNAFEL, MD, PHD",,GLENDALE,CALIFORNIA,100%,0%,0%,0%,48%,0%,0%,1%,6%,6%,2%,0%,26%,28%,16%,4%,10%,"Kathleen L. Kornafel, MD, PhD",16,16,19,5,0.625,0.375,0.263157895,0.4,0.0625,0.125,0,0,,,,,0.0625,0.125,0,0,0.0625,0.142857143,0,0,0.0625,0,0,0,0,0,0,0,3,2.9,3.2,2.6,0.4,0.666666667,0.2,0,0,0,0.2,0,0,1,=,=,8,8,3,2,0.25,0,0,0,2.9,2.6,2.7,4,8,5,0,0,3.5,3,"Kathleen L. Kornafel, MD, PhD",Yes,Yes,Yes,Yes,No,No,Yes,CA,
