PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"WEST COAST INFERTILITY CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,78%,0%,2%,13%,3%,18%,12%,4%,12%,4%,14%,13%,9%,"Michael M. Kamrava, MD",21,4,9,9,23.8,0,0,0,19,0,0,0,(5.4-41.9),,,,0.222222222,0,0,0,0.222222222,0,0,0,0.166666667,0,0,0,14.3,0,0.111111111,0.222222222,3.8,5.3,3.5,2.4,0.2,=,=,=,0.2,=,=,=,0.25,=,=,=,1,1,0,1,0,0,=,0,1,4,=,4,18,4,0.111111111,0,4,3,"West Coast Infertility Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,68%,0%,1%,6%,3%,20%,3%,<1%,20%,2%,23%,9%,14%,"Terence Lee, MD",39,19,21,8,46.2,0.157894737,23.8,0.375,30.8,0.105263158,14.3,0.375,(17.0-47.6),,(3.0-36.3),,35.3,0.153846154,0.272727273,0.428571429,36.4,0.153846154,0.272727273,0.428571429,18.2,0.153846154,0.181818182,0.428571429,12.8,0.315789474,47.6,0.125,3.2,3.8,3.2,3.9,0.444444444,0,0.2,0,0,0,0,0,0.5,0,0.333333333,0,12,5,0,1,0.333333333,0.4,=,0,2.3,2.8,=,5,2,4,0.5,0.25,2.5,2.3,Fertility Care of Orange County,Yes,Yes,Yes,Yes,Yes,No,Yes
CENTRAL CALIFORNIA IVF PROGRAM,WOMEN'S SPECIALTY AND FERTILITY CENTER,CLOVIS,CALIFORNIA,96%,3%,0%,2%,34%,0%,0%,7%,8%,12%,2%,0%,6%,<1%,1%,23%,41%,"H. Michael Synn, MD",62,28,31,11,37.1,28.6,19.4,0.090909091,35.5,25,12.9,0.090909091,(23.7-48.7),(10.7-44.9),(3.6-29.8),,38.6,30.4,16.7,0.125,40.7,31.8,17.4,0.125,24.1,13.6,13,0.125,8.1,17.9,22.6,0.272727273,3.1,3.4,3.1,3.4,39.1,0.125,0.166666667,0,8.7,0.375,0,0,40.9,0.571428571,0.25,0,4,2,1,0,0,0,0,=,2.3,2,2,=,9,2,0.222222222,0,3.4,1.5,"Central California IVF Program, Women's Specialty and Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,88%,<1%,7%,6%,10%,11%,8%,6%,16%,21%,6%,6%,11%,"Christo Zouves, MD",90,73,83,62,43.3,53.4,26.5,17.7,41.1,46.6,22.9,11.3,(30.8-52.0),(34.8-58.6),(14.4-33.4),(4.7-21.9),41.6,47.2,23.8,12.1,43.5,50,26.8,13.5,23.5,33.8,15.5,13.5,1.1,1.4,3.6,6.5,3.3,3.4,3.4,3.2,41,23.1,36.4,0.181818182,7.7,10.3,9.1,0,45.9,32.4,0.421052632,0,20,20,12,1,25,45,0.083333333,1,3.8,3.7,4.2,3,81,39,51.9,28.2,3.1,4.2,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"THE FERTILITY INSTITUTES Ð CALIFORNIA, NEVADA",,ENCINO,CALIFORNIA,100%,0%,0%,0%,61%,0%,5%,21%,7%,9%,0%,2%,7%,28%,13%,4%,9%,"Jeffrey M. Steinberg, MD",89,36,23,5,68.5,55.6,47.8,0.4,65.2,55.6,34.8,0.2,(54.3-75.0),(38.1-72.1),(16.4-57.3),,71.6,57.1,0.5,0.2,74.4,57.1,0.5,0.25,56.4,48.6,0.375,0.25,9,2.8,30.4,0,2.9,2.9,2.8,4.5,21.3,15,0.181818182,0,1.6,0,0,0,24.1,15,0.25,0,3,2,1,1,0.666666667,0.5,1,0,3.3,3.5,4,4,26,3,84.6,0.666666667,3.5,3,"The Fertility Institutes Ð California, Nevada",Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,>99%,0%,<1%,0%,98%,0%,0%,19%,10%,6%,4%,2%,11%,3%,1%,23%,22%,"David G. Diaz, MD",86,56,37,9,52.3,33.9,40.5,0.333333333,41.9,26.8,18.9,0.333333333,(31.3-53.0),(15.8-40.3),(8.0-35.2),,41.9,26.8,18.9,0.333333333,42.9,28.3,20,0.375,27.4,13.2,11.4,0.375,0,0,0,0,3.4,4.3,3.8,2.5,24.4,0.368421053,0.2,0,11.1,0.052631579,0.133333333,0,36.1,0.533333333,0.428571429,0,26,16,4,4,30.8,0.25,0.25,0.25,3.6,3.2,2.8,4.3,16,8,0.4375,0.375,3.6,3.9,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KATHLEEN L. KORNAFEL, MD, PhD",,GLENDALE,CALIFORNIA,99%,0%,0%,1%,40%,0%,0%,6%,8%,21%,<1%,2%,7%,<1%,10%,20%,25%,"Kathleen L. Kornafel, MD, PhD",33,5,22,9,57.6,0.8,27.3,0.111111111,48.5,0.4,22.7,0,(30.8-66.5),,(7.8-45.4),,50,0.4,22.7,0,50,0.4,0.263157895,0,25,0.4,0.210526316,0,3,0,0,0.111111111,3.3,3.4,4.4,3.1,0.315789474,0,0.333333333,0,0.157894737,0,0,0,0.5,0,0.2,=,7,3,6,0,0.428571429,0,0.5,=,3.4,2.7,3.3,=,17,8,0.588235294,0.75,3.2,3.5,"Kathleen L. Kornafel, MD, PhD",Yes,No,Yes,Yes,Yes,No,Yes
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE - LOS ANGELES,,GLENDALE,CALIFORNIA,100%,0%,0%,0%,90%,0%,<1%,8%,6%,2%,3%,1%,9%,7%,4%,39%,22%,"Brian Acacio, MD",84,53,58,23,46.4,26.4,27.6,21.7,26.2,17,17.2,13,(17.2-36.9),(8.1-29.8),(8.6-29.4),(2.8-33.6),27.8,18,17.9,15,29.7,19.1,19.2,0.166666667,17.6,10.6,9.6,0.111111111,6,5.7,3.4,13,3.4,3.2,3.2,3.3,33.3,0.214285714,0.375,0,7.7,0.071428571,0.125,0.2,40.9,0.444444444,0.5,0.333333333,8,3,2,1,0.375,0,0,0,3.5,2.7,2,4,20,11,30,0,3.7,2.9,Sher Institute for Reproductive Medicine Ð Los Angeles,Yes,Yes,Yes,Yes,Yes,No,Yes
ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP,,GREENBRAE,CALIFORNIA,100%,0%,0%,0%,47%,0%,2%,15%,4%,21%,<1%,4%,24%,5%,15%,4%,7%,"Sae H. Sohn, MD",56,48,56,32,53.6,39.6,32.1,25,46.4,35.4,23.2,12.5,(33.0-60.3),(22.2-50.5),(13.0-36.4),(3.5-29.0),51,37,25.5,14.3,54.2,37,26,14.3,29.2,23.9,16,7.1,8.9,4.2,8.9,12.5,2.2,2.6,3.4,3.6,36.7,0.315789474,0.222222222,0.125,6.7,0.052631579,0.166666667,0.25,46.2,0.352941176,0.384615385,0.5,27,13,14,9,29.6,0.230769231,0.214285714,0.222222222,2.6,3.1,3.4,3.1,33,11,42.4,0.363636364,2.2,3.2,This clinic has closed or reorganized since 2004.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,
"COASTAL FERTILITY MEDICAL CENTER, INC.",,IRVINE,CALIFORNIA,100%,0%,0%,0%,82%,0%,1%,4%,4%,19%,5%,2%,21%,4%,7%,10%,23%,"Lawrence B. Werlin, MD",83,62,59,38,41,37.1,35.6,15.8,34.9,30.6,30.5,13.2,(24.8-46.2),(19.6-43.7),(19.2-43.9),(4.4-28.1),36.7,33.9,32.7,17.2,37.7,34.5,34.6,21.7,23.4,21.8,25,17.4,4.8,9.7,6.8,23.7,3.1,2.9,3.2,2.4,38.2,34.8,33.3,0.166666667,8.8,8.7,4.8,0,37.9,0.368421053,0.277777778,0.2,30,12,7,3,30,0.333333333,0.428571429,0.333333333,3.7,4,3.6,3.7,36,28,36.1,14.3,2.9,3.4,"Coastal Fertility Medical Center, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF SOUTHERN CALIFORNIA,,IRVINE,CALIFORNIA,100%,0%,0%,0%,71%,0%,0%,26%,3%,28%,3%,<1%,8%,1%,24%,2%,5%,"Ilene E. Hatch, MD",28,20,26,15,53.6,30,15.4,0.2,53.6,30,11.5,0.2,(33.9-72.5),(11.9-54.3),(2.4-30.2),,62.5,0.375,15,0.333333333,65.2,0.4,0.2,0.375,30.4,0.333333333,0.066666667,0.375,14.3,20,23.1,0.4,3.2,3.7,4.5,4.6,0.6,0.166666667,0.25,0,0,0,0.25,0.333333333,0.533333333,0.166666667,0.666666667,0,3,8,10,3,0.333333333,0.25,0.3,0,4.7,3.3,4,4.7,18,7,0.666666667,0.571428571,2.9,4.1,Fertility Center of Southern California,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS Ð UCSD REGIONAL FERTILITY CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,79%,0%,3%,6%,2%,2%,3%,3%,16%,8%,2%,12%,48%,"V. Gabriel Garzo, MD",62,40,54,18,67.7,57.5,44.4,0.333333333,59.7,45,25.9,0.111111111,(46.4-71.9),(29.3-61.5),(15.0-39.7),,63.8,47.4,33.3,0.153846154,67.3,47.4,36.8,0.2,38.2,34.2,23.7,0.2,6.5,5,22.2,0.277777778,2.3,2.5,3.5,3.3,42.9,26.1,12.5,0,2.4,0,16.7,0,43.2,0.277777778,0.357142857,0,19,13,9,4,0.421052632,0.461538462,0.222222222,0.5,2.9,2.8,4.1,4.3,42,24,61.9,25,2,2.8,Reproductive Partners Ð UCSD Regional Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCES CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,35%,0%,21%,3%,2%,17%,1%,7%,8%,5%,3%,31%,23%,"Samuel H. Wood, MD, PhD",7,12,14,3,0.428571429,0.333333333,0.214285714,0,0.428571429,0.333333333,0.214285714,0,,,,,0.5,0.444444444,0.375,0,0.5,0.5,0.375,0,0.333333333,0.25,0.375,0,0.142857143,0.25,0.428571429,0,2.8,3.4,2.5,2.7,0,0.25,0,=,0.333333333,0.5,0,=,0.333333333,0.5,0,=,12,2,2,3,0.333333333,0.5,0.5,0,3.4,3,2.5,3.7,50,33,58,51.5,2.8,3.2,Reproductive Sciences Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCRIPPS CLINIC FERTILITY CENTER,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,83%,1%,3%,6%,5%,14%,7%,5%,12%,<1%,2%,14%,34%,"Jeffrey S. Rakoff, MD",52,16,19,6,25,0.125,0.052631579,0,19.2,0.125,0.052631579,0,(9.6-32.5),,,,20,0.125,0.055555556,0,22.2,0.125,0.058823529,0,17.8,0.0625,0.058823529,0,3.8,0,0.052631579,0.333333333,3,3,3.1,3.5,0.153846154,0.5,0,=,0,0,0,=,0.2,0.5,0,=,7,2,1,1,0,0,0,0,2.9,3,2,3,10,2,0.1,0.5,3.5,2.5,Scripps Clinic Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
