PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,34%,0%,0%,17%,5%,13%,11%,0%,18%,5%,7%,12%,12%,"Timothy J. Gelety, M.D.",87,32,30,11,48.3,43.8,30,0.272727273,36.8,34.4,26.7,0.090909091,(26.6 - 46.9),(17.9 - 50.8),(10.8 - 42.5),,38.6,36.7,30.8,0.125,38.6,36.7,30.8,0.125,21.7,23.3,19.2,0.125,4.6,6.3,13.3,0.272727273,3.7,4.3,4.7,4.3,26.2,0.214285714,0.333333333,0,9.5,0.071428571,0.111111111,0,43.8,0.363636364,0.375,0,49,6,5,2,32.7,0,0,0,4.8,4.2,4.4,5,9,18,0.333333333,0.277777778,3.4,4.7,Arizona Center for Reproductive Endocrinology & Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,38%,0%,0%,22%,0%,2%,2%,3%,18%,20%,5%,13%,15%,"Scot M. Hutchison, M.D.",30,16,15,5,36.7,0.25,0.2,0.2,33.3,0.25,0.2,0.2,(16.5 - 50.2),,,,41.7,0.25,0.230769231,0.2,41.7,0.25,0.3,0.2,29.2,0.125,0.2,0.2,20,0,0.133333333,0,2.8,2.7,3.6,3.2,0.272727273,0.5,0.333333333,0,0,0,0,0,0.3,0.5,0.333333333,0,9,7,3,2,0.333333333,0,0,0,2.9,3,3,2.5,13,5,0.307692308,0.4,2.2,2.2,Reproductive Health Center,Yes,Yes,Yes,No,Yes,Yes,Yes
INTRA VAGINAL CULTURE FERTILIZATION PROGRAM OF ARKANSAS,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,0%,0%,0%,20%,10%,0%,0%,0%,0%,0%,10%,40%,20%,"Francisco Batres, M.D.",9,1,0,0,0.222222222,0,=,=,0.111111111,0,=,=,,,,,0.111111111,=,=,=,0.125,=,=,=,0,=,=,=,0,1,=,=,3.1,=,=,=,0.5,=,=,=,0,=,=,=,1,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Intra Vaginal Culture Fertilization Program of Arkansas,No,No,No,No,No,Yes,Yes
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,39%,0%,<1%,23%,6%,5%,10%,1%,20%,2%,7%,12%,14%,"Dean M. Moutos, M.D.",145,36,20,1,39.3,27.8,15,0,34.5,25,15,0,(26.7 - 42.2),(10.9 - 39.1),(0.0 - 30.6),,38.2,30,0.176470588,0,40.3,32.1,0.176470588,0,25.8,17.9,0.176470588,0,9.7,16.7,15,0,2.4,2.4,2.5,3,26.3,0.4,0,=,8.8,0,0,=,36,0.444444444,0,=,39,22,8,0,7.7,18.2,0,=,2.6,2.2,2.5,=,10,9,0.5,0.333333333,2.5,2.3,University of Arkansas for Medical Sciences IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,21%,0%,2%,13%,4%,26%,4%,7%,11%,6%,7%,13%,9%,"Brian C. Su, M.D.",13,7,11,7,0.461538462,0.285714286,0.090909091,0.142857143,0.384615385,0.142857143,0.090909091,0,,,,,0.416666667,0.142857143,0.125,0,0.416666667,0.166666667,0.142857143,0,0.333333333,0,0.142857143,0,0.076923077,0,0.272727273,0.142857143,3.3,3.5,2.6,3.8,0.333333333,0.5,0,0,0,0,0,0,0.2,1,0,=,0,1,0,0,=,0,=,=,=,1,=,=,8,0,0.75,=,3.1,=,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,70%,0%,0%,11%,4%,20%,3%,1%,11%,<1%,7%,14%,28%,"Ryszard J. Chetkowski, M.D.",20,21,26,5,45,42.9,11.5,0.2,35,42.9,11.5,0,(14.1 - 55.9),(21.7 - 64.0),(0.0 - 23.8),,35,0.5,12.5,0,0.368421053,0.529411765,14.3,0,0.263157895,0.352941176,14.3,0,0,14.3,7.7,0,2.7,3.8,4.1,4.6,0.222222222,0.222222222,0,0,0,0.111111111,0,0,0.285714286,0.333333333,0,=,7,4,2,1,0.571428571,0,0.5,0,3.1,1.8,4,3,30,13,36.7,0.538461538,2.5,3.5,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,55%,0%,0%,8%,2%,31%,<1%,<1%,9%,3%,15%,10%,20%,"Sam Najmabadi, M.D.",27,12,19,11,51.9,0.583333333,0.578947368,0.181818182,44.4,0.416666667,0.315789474,0.181818182,(25.7 - 63.2),,,,44.4,0.416666667,0.315789474,0.2,54.5,0.5,0.333333333,0.2,36.4,0.2,0.277777778,0.2,0,0,0,0.090909091,3.9,3.5,3.7,3.4,0.285714286,0.428571429,0.090909091,0,0.214285714,0.142857143,0,0,0.333333333,0.6,0.166666667,0,8,1,3,0,0.375,1,0.333333333,=,3.5,3,4,=,15,6,0.466666667,0.5,3.1,3.8,Center for Reproductive Health & Gynecology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,>99%,<1%,0%,0%,32%,0%,<1%,9%,4%,23%,1%,<1%,8%,5%,1%,28%,20%,"Mark W. Surrey, M.D.",48,26,36,32,54.2,38.5,38.9,18.8,45.8,34.6,33.3,12.5,(31.7 - 59.9),(16.3 - 52.9),(17.9 - 48.7),(1.0 - 24.0),45.8,34.6,34.3,13.8,55,0.473684211,37.5,17.4,30,0.315789474,28.1,8.7,0,0,2.8,9.4,2.8,3.2,2.7,3.1,30.8,0.3,0.285714286,0.333333333,19.2,0,0,0,45.5,0.333333333,0.25,0.5,5,9,6,2,0.2,0.222222222,0.666666667,0,2.6,2.7,2.8,3.5,20,2,65,0,2.7,2.5,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,>99%,<1%,0%,0%,35%,0%,0%,11%,2%,28%,4%,<1%,17%,9%,13%,7%,9%,"Hal Danzer, M.D.",40,25,73,42,67.5,56,28.8,23.8,67.5,56,26,21.4,(53.0 - 82.0),(36.5 - 75.5),(16.0 - 36.1),(9.0 - 33.8),69.2,56,26,21.4,71.1,56,30.6,22,52.6,36,24.2,17.1,2.5,0,0,0,2.3,2.9,3.3,3.4,37,0.214285714,33.3,0.2,0,0.142857143,9.5,0.1,25.9,0.357142857,0.210526316,0.222222222,3,1,6,5,0,0,0.166666667,0,3.3,3,2.3,2.2,18,4,0.388888889,0.25,2.2,3,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,56%,0%,0%,16%,4%,14%,7%,2%,6%,2%,14%,10%,25%,"Michael Kamrava, M.D.",32,10,16,7,25,0,0,0.142857143,18.8,0,0,0,(5.2 - 32.3),,,,20,0,0,0,21.4,0,0,0,17.9,0,0,0,6.3,0,0.125,0,3.7,3.4,3.6,3,0,=,=,0,0.125,=,=,0,0.166666667,=,=,=,1,1,1,1,0,0,0,1,6,4,6,1,15,1,0.2,0,4.1,4,"West Coast Infertility Medical Clinic, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,98%,2%,0%,0%,62%,0%,0%,26%,3%,12%,4%,3%,11%,4%,25%,5%,7%,"C. Terence Lee, M.D.",22,21,10,7,50,33.3,0.4,0.142857143,36.4,28.6,0.3,0.142857143,(16.3 - 56.5),(9.2 - 47.9),,,38.1,0.375,0.3,0.25,40,0.375,0.3,0.25,25,0.3125,0,0.25,4.5,23.8,0,0.428571429,3.6,4,4.1,3,0.272727273,0.142857143,0.25,0,0,0,0.5,0,0.375,0.166666667,1,0,4,5,0,1,0.75,0.6,=,0,3.3,2.8,=,2,0,1,=,0,=,3,Fertility Care of Orange County,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTRAL CALIFORNIA IVF,,CLOVIS,CALIFORNIA,96%,<1%,<1%,2%,29%,<1%,0%,12%,6%,8%,2%,0%,14%,2%,<1%,29%,26%,"H. Michael Synn, M.D.",49,36,22,8,32.7,16.7,31.8,0.125,28.6,16.7,27.3,0.125,(15.9 - 41.2),(4.5 - 28.8),(8.7 - 45.9),,32.6,26.1,0.375,0.2,35,26.1,0.4,0.2,20,26.1,0.066666667,0.2,12.2,36.1,27.3,0.375,3.7,3.7,3.6,3.4,0.3125,0,0.428571429,0,0.0625,0,0.285714286,0,0.428571429,0,0.833333333,0,9,1,1,0,0,0,0,=,2.2,3,3,=,6,0,0.166666667,=,3.7,=,Central California IVF ,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ZOUVES FERTILITY CENTER,,DALY CITY,CALIFORNIA,100%,0%,0%,0%,83%,0%,5%,11%,5%,1%,10%,2%,24%,17%,23%,2%,5%,"Christo Zouves, M.D.",107,89,79,59,52.3,40.4,32.9,13.6,48.6,37.1,26.6,13.6,(39.1 - 58.1),(27.0 - 47.1),(16.8 - 36.3),(4.8 - 22.3),49.5,37.5,27.6,14.8,51.5,41.3,30.4,18.2,24.8,21.3,24.6,15.9,1.9,1.1,3.8,8.5,3.7,4,3.4,2.5,41.1,33.3,15.4,0,16.1,16.7,11.5,0.125,51.9,48.5,19,0.125,20,9,14,6,40,0.444444444,0.285714286,0.333333333,4.1,4.3,3.6,4.7,66,22,51.5,31.8,3.4,4,Zouves Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"GIL N. MILEIKOWSKY, M.D.",,ENCINO,CALIFORNIA,100%,0%,0%,0%,13%,0%,0%,11%,5%,0%,17%,0%,5%,6%,0%,50%,6%,"Gil N. Mileikowsky, M.D.",4,4,0,2,0.5,0.5,=,0,0.5,0.5,=,0,,,,,0.5,0.5,=,0,0.5,0.5,=,0,0,0,=,0,0,0,=,0.5,4.8,4.3,=,4,1,1,=,=,0,0,=,=,1,1,=,=,0,0,0,0,=,=,=,=,=,=,=,=,1,1,0,0,5,4,"Gil N. Mileikowsky, M.D.",Yes,Yes,Yes,Yes,Yes,No,None
WEST COAST FERTILITY CENTERS,,FOUNTAIN VALLEY,CALIFORNIA,>99%,0%,0%,<1%,80%,0%,<1%,10%,6%,10%,3%,0%,19%,2%,5%,14%,31%,"David G. Diaz, M.D.",96,45,41,13,44.8,48.9,36.6,0.230769231,40.6,44.4,26.8,0.153846154,(30.8 - 50.4),(29.9 - 59.0),(13.3 - 40.4),,42.4,47.6,28.9,0.222222222,44.3,47.6,28.9,0.285714286,23.9,28.6,15.8,0.142857143,4.2,6.7,7.3,0.307692308,3.8,4.1,4.7,3.7,20.9,27.3,0.4,0,23.3,18.2,0.066666667,0.333333333,46.2,40,0.454545455,0.5,33,10,5,1,39.4,0.3,0.2,0,3.7,4,2.8,2,18,5,0.5,0.4,3.5,4.2,West Coast Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KATHLEEN L. KORNAFEL, M.D., PH.D.",,GLENDALE,CALIFORNIA,100%,0%,0%,0%,45%,0%,0%,2%,4%,19%,0%,0%,10%,0%,8%,21%,36%,"Kathleen L. Kornafel, M.D., Ph.D.",20,8,13,17,50,0.375,0.384615385,0.411764706,45,0.25,0.307692308,0.235294118,(23.2 - 66.8),,,,45,0.25,0.307692308,0.235294118,0.473684211,0.285714286,0.363636364,0.266666667,0.263157895,0.285714286,0.090909091,0.266666667,0,0,0,0,3.5,3.6,3.9,4.3,0.2,0,0.4,0.142857143,0.3,0,0.2,0,0.444444444,0,0.75,0,5,5,0,0,0.2,0.2,=,=,3.2,4.2,=,=,11,6,0.636363636,0.166666667,3.5,3,"Kathleen L. Kornafel, M.D., Ph.D.",Yes,Yes,Yes,Yes,Yes,No,Yes
"MARIN FERTILITY MEDICAL GROUP, INC.",,GREENBRAE,CALIFORNIA,100%,0%,0%,0%,43%,0%,0%,10%,1%,19%,1%,5%,12%,8%,11%,15%,18%,"Sae H. Sohn, M.D.",13,15,17,4,0.615384615,0.333333333,0.294117647,0.25,0.615384615,0.333333333,0.117647059,0.25,,,,,0.615384615,0.357142857,0.133333333,0.25,0.666666667,0.384615385,0.142857143,0.333333333,0.333333333,0.153846154,0.142857143,0,0,0.066666667,0.117647059,0,2.3,2.7,3,4,0.25,0.6,0,1,0.25,0,0,0,0.5,0.6,0,1,5,2,3,1,0.6,0,0.333333333,0,3.6,5,4,3,17,6,0.588235294,0,2.5,3.5,Advanced Fertility Associates Medical Group,Yes,No,Yes,Yes,Yes,Yes,Yes
"COASTAL FERTILITY MEDICAL CENTER, INC.",,IRVINE,CALIFORNIA,>99%,<1%,0%,0%,77%,0%,2%,7%,<1%,10%,4%,2%,30%,4%,6%,7%,29%,"Lawrence B. Werlin, M.D.",74,67,58,34,36.5,26.9,17.2,8.8,29.7,17.9,15.5,2.9,(19.3 - 40.1),(8.7 - 27.1),(6.2 - 24.8),(0.0 - 8.6),30.6,19,17.3,3.6,31,20,17.3,3.8,21.1,11.7,11.5,3.8,2.7,6,10.3,17.6,4.1,4.1,4.2,3.3,29.6,0.333333333,0.3,0,3.7,0.055555556,0.1,0,31.8,0.416666667,0.333333333,0,13,7,6,3,0.230769231,0,0,0,3.7,3.4,3,3.7,31,26,45.2,15.4,3.9,4.1,"Coastal Fertility Medical Center, Inc.",Yes,Yes,Yes,Yes,Yes,No,Yes
FERTILITY CENTER OF SOUTHERN CALIFORNIA,,IRVINE,CALIFORNIA,100%,0%,0%,0%,69%,0%,0%,11%,4%,20%,7%,<1%,11%,5%,20%,10%,11%,"Ilene E. Hatch, M.D.",34,19,25,9,67.6,0.315789474,28,0.111111111,64.7,0.315789474,24,0.111111111,(48.6 - 80.8),,(7.3 - 40.7),,68.8,0.4,0.333333333,0.111111111,78.6,0.461538462,0.375,0.125,35.7,0.307692308,0.125,0.125,5.9,0.210526316,28,0,3.9,4.2,4.5,5.1,30.4,0,0.714285714,0,26.1,0.333333333,0,0,54.5,0.333333333,0.666666667,0,7,2,4,1,0.285714286,0,0.5,0,4.3,6,4,4,21,3,61.9,1,2.9,4.3,Fertility Center of Southern California,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS--SAN DIEGO,,LA JOLLA,CALIFORNIA,100%,0%,0%,0%,68%,0%,4%,8%,5%,<1%,4%,5%,18%,19%,9%,11%,20%,"V. Gabriel Garzo, M.D.",66,41,39,19,57.6,43.9,46.2,0.157894737,50,34.1,38.5,0.052631579,(37.9 - 62.1),(19.6 - 48.7),(23.2 - 53.7),,57.9,36.8,45.5,0.071428571,57.9,37.8,46.9,0.076923077,43.9,21.6,34.4,0.076923077,13.6,7.3,15.4,0.263157895,2.5,3.1,4,4.2,21.1,0.222222222,0.277777778,0,2.6,0.111111111,0,0,24.2,0.428571429,0.266666667,0,14,15,5,7,0.357142857,0.266666667,0.4,0.142857143,3.2,3.4,3.8,4.1,26,19,57.7,0.368421053,2.4,2.6,"Reproductive Partners--University of California, San Diego Regional Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
