OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
11,ADVANCED FERTILITY CARE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,48%,0%,0%,2%,5%,3%,6%,20%,3%,0%,14%,2%,8%,12%,33%,"Nathaniel Zoneraich, MD",53,20,12,2,1,50.5,34.3,44.4,0.4,=,64.2,45,0.583333333,1,0,60.4,40,0.5,0.5,0,(46.0Ð73.5),(19.1Ð63.9),,,,64,0.470588235,0.5,0.5,=,65.3,0.5,0.5,0.5,=,32.7,0.375,0.083333333,0.5,=,5.7,15,0,0,1,2.1,2.2,2.3,2.5,=,47.1,0.333333333,0.714285714,0,=,2.9,0,0,0,=,50,0.25,0.833333333,0,=,7,3,0,0,0,0.142857143,0,=,=,=,1.7,1.7,=,=,=,15,1,0.733333333,0,1.7,1,Advanced Fertility Care,Yes,No,Yes,Yes,Yes,Yes,Yes,AZ
12,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,73%,0%,0%,1%,2%,5%,6%,10%,1%,0%,26%,3%,15%,9%,25%,"Ketan S. Patel, MD",37,18,26,6,5,44.1,18.2,18.2,0,0.214285714,56.8,0.333333333,26.9,0,0.6,45.9,0.277777778,23.1,0,0.2,(29.5Ð63.1),,(9.0Ð43.6),,,48.6,0.3125,0.315789474,0,0.25,53.1,0.333333333,0.352941176,0,0.25,34.4,0.266666667,0.235294118,0,0.25,5.4,0.111111111,26.9,0,0.2,2.1,2.2,2.6,2.8,3.5,33.3,0.166666667,0.285714286,=,0.333333333,9.5,0,0,=,0,0.352941176,0.2,0.333333333,=,0,19,5,3,2,1,0.526315789,0.4,0,0,0,2.2,2,2,2,3,14,8,0.428571429,0.25,2.1,2,Arizona Associates for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
13,ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,87%,1%,0%,7%,0%,7%,1%,23%,2%,0%,13%,26%,14%,8%,6%,"Jay S. Nemiro, MD",30,20,17,8,3,44.8,25.9,9.4,0.142857143,0,60,60,0.176470588,0.125,0,56.7,40,0.058823529,0.125,0,(37.4Ð74.5),(19.1Ð63.9),,,,56.7,0.421052632,0.071428571,0.166666667,0,68,0.444444444,0.125,0.25,0,52,0.333333333,0.125,0.25,0,0,5,0.176470588,0.25,0,2.3,3.2,4,1.8,3,0.222222222,0.083333333,0.333333333,0,=,0.111111111,0.083333333,0,0,=,0.235294118,0.25,0,0,=,10,3,8,0,0,0.5,0,0.25,=,=,3,3,3.6,=,=,15,22,0.333333333,27.3,2.6,2.9,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
14,IVF PHOENIX,,SCOTTSDALE,ARIZONA,97%,0%,3%,0%,68%,0%,6%,0%,3%,12%,5%,3%,5%,0%,14%,7%,28%,16%,10%,"John L. Couvaras, MD",15,7,11,0,1,8.3,30,8,=,0.25,0.133333333,0.571428571,0.090909091,=,1,0.133333333,0.428571429,0.090909091,=,0,,,,,,0.133333333,0.428571429,0.090909091,=,0,0.142857143,0.5,0.111111111,=,0,0.071428571,0.333333333,0,=,0,0,0,0,=,0,2.6,3.3,2.8,=,4,0.5,0.5,1,=,0,0,0,0,=,0,0.5,0.333333333,1,=,=,10,1,2,2,0,0.1,0,0,0,=,3.4,4,3.5,3,=,3,4,0.333333333,0,2.3,2.8,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
15,FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,0%,0%,0%,99%,<1%,<1%,7%,1%,4%,62%,10%,3%,1%,7%,3%,1%,4%,5%,"Randall Craig, MD",83,48,40,15,8,24.1,18.8,14.1,7.9,0,44.6,33.3,25,0.266666667,0,39.8,29.2,20,0.066666667,0,(29.2Ð51.1),(17.0Ð44.1),(9.1Ð35.6),,,39.8,29.2,20.5,0.066666667,0,42.3,32.6,25.8,0.076923077,0,29.5,25.6,22.6,0.076923077,0,0,0,2.5,0,0,2.5,2.3,2.5,2.9,2.3,24.3,0.125,0.2,0,=,2.7,0.0625,0,0,=,30.3,0.214285714,0.125,0,=,81,37,26,6,1,45.7,32.4,42.3,0.166666667,1,2.4,2.4,2.5,2.5,3,36,31,69.4,48.4,2.1,2.6,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,No,Yes,AZ
16,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,0%,0%,0%,35%,0%,0%,8%,0%,17%,5%,16%,25%,<1%,11%,8%,<1%,7%,8%,"Timothy J. Gelety, MD",120,70,34,14,7,30.1,28.7,10.8,3.6,0.071428571,53.3,48.6,29.4,0.071428571,0.142857143,44.2,35.7,20.6,0.071428571,0,(35.1Ð53.5),(24.6Ð48.1),(8.7Ð37.9),,,45.7,36.2,21.9,0.071428571,0,53,43.9,23.3,0.111111111,0,36,21.1,20,0.111111111,0,3.3,1.4,5.9,0,0,2.9,3.1,3.4,3.1,3.5,17.2,32.4,0.1,0,0,9.4,8.8,0,0,0,32.1,52,0.142857143,0,=,57,21,15,5,2,38.6,28.6,0.133333333,0.4,0,3.6,4,3.5,4.8,4,11,18,0.363636364,0.444444444,2.5,3.6,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
17,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,0%,0%,0%,89%,<1%,3%,3%,14%,16%,8%,8%,3%,5%,21%,5%,10%,11%,12%,"Scot M. Hutchison, MD",51,20,30,15,2,50,22.9,16.7,0.117647059,0,51,30,30,0.2,0,45.1,25,10,0.066666667,0,(31.1Ð59.7),(8.7Ð49.1),(2.1Ð26.5),,,47.9,25,12,0.083333333,0,54.8,0.277777778,15,0.111111111,0,31,0.222222222,15,0.111111111,0,5.9,0,16.7,0.2,0,1.7,1.9,1.8,1.9,1,42.3,0.333333333,0,0,=,0,0,0,0,=,43.5,0.2,0,0,=,11,11,6,5,0,0.272727273,0.272727273,0.166666667,0,=,1.7,1.8,1.2,1.8,=,12,10,0.333333333,0.5,1.8,1.6,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
18,ARKANSAS FERTILITY CENTER,,LITTLE ROCK,ARKANSAS,100%,0%,0%,0%,42%,0%,<1%,<1%,5%,12%,10%,10%,6%,2%,22%,2%,27%,3%,9%,"Dean Moutos, MD",143,51,32,9,1,30.3,24.7,25,0.166666667,0,44.1,37.3,37.5,0.222222222,0,41.3,33.3,18.8,0.111111111,0,(33.1Ð49.8),(20.8Ð47.9),(7.2Ð36.4),,,43.7,44.7,24,0.166666667,0,45.7,45.9,25,0.2,0,34.1,45.9,16.7,0.2,0,5.6,25.5,21.9,0.333333333,0,2.1,2.3,2.5,2.4,3,30.2,0.105263158,0.083333333,0,=,0,0,0.083333333,0,=,25.4,0,0.333333333,0,=,44,24,14,4,2,22.7,37.5,0.142857143,0.25,0,1.9,2.1,1.9,1.5,2,22,11,59.1,0,2,2,Arkansas Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,AR
19,LIFESTART FERTILITY CENTER,,AGOURA HILLS,CALIFORNIA,100%,0%,0%,0%,20%,0%,0%,0%,0%,4%,4%,35%,0%,4%,0%,0%,8%,8%,39%,"Anita P. Singh, MD",7,6,5,1,1,0.222222222,0.363636364,0.375,0,0.2,0.571428571,0.5,0.4,0,1,0.428571429,0.166666667,0.4,0,0,,,,,,0.428571429,0.166666667,0.5,0,0,0.428571429,0.25,0.666666667,0,0,0.285714286,0,0.333333333,0,0,0,0,0.2,0,0,2.6,2.8,2.7,1,5,0.25,0.333333333,0.5,=,0,0,0,0,=,0,0.333333333,1,0.5,=,=,2,0,0,0,0,0,=,=,=,=,2.5,=,=,=,=,3,1,1,0,2.7,2,LifeStart Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,CA
20,GARFIELD FERTILITY CENTER,,ALHAMBRA,CALIFORNIA,100%,0%,0%,0%,71%,0%,3%,0%,0%,5%,3%,10%,3%,0%,18%,3%,3%,23%,35%,"Brian C. Su, MD",5,12,11,1,2,0.538461538,3.3,8.6,0,0,0.8,0.083333333,0.090909091,0,0,0.6,0.083333333,0.090909091,0,0,,,,,,0.6,0.090909091,0.1,0,0,0.6,0.111111111,0.1,0,0,0.6,0.111111111,0,0,0,0,0.083333333,0.090909091,0,0,2.6,3.3,3.5,6,2,0.5,0,0,=,=,0.25,0,1,=,=,0,0,1,=,=,1,3,1,0,0,0,0.666666667,0,=,=,2,2.7,2,=,=,3,0,0,=,3,=,Garfield Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,0%,0%,0%,76%,0%,0%,0%,0%,0%,8%,22%,<1%,6%,10%,11%,3%,26%,14%,"Ryszard J. Chetkowski, MD",12,8,10,15,4,19,0.4375,0.375,0,0.076923077,0.25,0.5,0.1,0,0.25,0.25,0.5,0.1,0,0.25,,,,,,0.272727273,0.571428571,0.2,0,0.25,0.3,0.571428571,0.25,0,0.25,0.2,0.428571429,0,0,0.25,0.083333333,0.125,0.5,0.066666667,0,2.1,2.3,2,3,3.3,0.333333333,0.25,0,=,0,0,0.25,1,=,0,0.333333333,0.25,1,=,0,2,8,3,2,0,0,0.375,0.333333333,0.5,=,1,2.5,1.7,5.5,=,12,27,0.666666667,29.6,2,2,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
22,CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,(CRH&G),BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,56%,0%,2%,33%,6%,7%,2%,12%,9%,<1%,10%,7%,3%,17%,33%,"Sam Najmabadi, MD",31,24,32,15,12,51.9,35.7,35.8,18.2,0,58.1,58.3,56.3,0.333333333,0,54.8,50,46.9,0.133333333,0,(36.0Ð72.7),(29.1Ð70.9),(29.1Ð65.3),,,56.7,52.2,50,0.142857143,0,58.6,52.2,50,0.153846154,0,31,47.8,43.3,0.153846154,0,3.2,4.2,6.3,0.066666667,0.083333333,1.9,1.8,1.8,1.7,1.3,0.444444444,0.142857143,0.166666667,0,=,0.055555556,0,0,0,=,0.470588235,0.083333333,0.133333333,0,=,8,2,5,3,3,0.75,0.5,0.2,0.666666667,0,2,2,2.2,1.7,2,9,6,0.777777778,0.833333333,1.7,1.8,"Center for Reproductive Health & Gynecology, (CRH&G)",Yes,No,Yes,Yes,Yes,Yes,Yes,CA
23,SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,56%,0%,2%,33%,7%,7%,4%,18%,1%,3%,16%,5%,10%,20%,19%,"Mark W. Surrey, MD",117,90,125,36,12,42.4,33.3,26,27.4,22.2,59,51.1,41.6,47.2,0.333333333,53,46.7,37.6,33.3,0.333333333,(43.5Ð62.3),(36.1Ð57.5),(29.1Ð46.7),(18.6Ð51.0),,53.9,48.8,38.8,34.3,0.363636364,57.9,53.2,43.1,37.5,0.4,41.1,48.1,30.3,28.1,0.4,1.7,4.4,3.2,2.8,0.083333333,2.1,2.4,2.7,3,2.7,39.1,15.2,21.2,0.411764706,0,0,10.9,13.5,0.058823529,0.25,29,9.5,29.8,0.25,0,33,6,15,8,0,48.5,0.5,0.4,0.25,=,2,2.3,2.2,2.3,=,40,16,72.5,0.5625,2.1,2.2,Southern California Reproductive Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CA
24,"WEST COAST IVF CLINIC, INC.",,BEVERLY HILLS,CALIFORNIA,100%,0%,0%,0%,45%,0%,0%,5%,0%,8%,2%,12%,2%,0%,20%,12%,13%,8%,23%,"Michael M. Kamrava, MD",17,8,6,5,3,20,10,0,0,0,0.294117647,0.5,0.166666667,0,0,0.294117647,0.25,0,0,0,,,,,,0.384615385,0.285714286,0,0,0,0.384615385,0.285714286,0,0,0,0.230769231,0.285714286,0,0,0,0.235294118,0.125,0,0.4,0.666666667,5.4,4.3,4.3,1.5,1,0.4,0.25,0,=,=,0.2,0,0,=,=,0.4,0,=,=,=,2,0,0,0,0,0,=,=,=,=,4,=,=,=,=,9,2,0.333333333,0,4.1,3.5,"West Coast IVF Clinic, Inc.",Yes,Yes,Yes,Yes,Yes,No,Yes,CA
25,FERTILITY CARE OF ORANGE COUNTY,,BREA,CALIFORNIA,100%,0%,0%,0%,74%,0%,3%,1%,0%,8%,7%,37%,2%,2%,12%,2%,22%,2%,7%,"Terence Lee, MD",27,26,21,5,6,32.8,31.7,4,0,5,51.9,42.3,19,0,0.166666667,40.7,34.6,9.5,0,0,(22.4Ð61.2),(17.2Ð55.7),(1.2Ð30.4),,,44,45,0.142857143,0,0,47.8,45,0.153846154,0,0,21.7,25,0.153846154,0,0,7.4,23.1,33.3,0.4,0.166666667,2.7,3,3.8,3.3,4,0.285714286,0.545454545,0,=,0,0.142857143,0.090909091,0,=,0,0.545454545,0.444444444,0,=,=,10,7,4,0,0,0.3,0.285714286,0.25,=,=,2.4,2.6,3.8,=,=,4,7,0.5,0.142857143,2.5,2.7,Fertility Care of Orange County,Yes,Yes,Yes,Yes,Yes,No,Yes,CA
